id,need_point,index,last_need_point,minus_point,max_index,type_index,last_point,item1_type,reward1_type,reward1_num,item2_type,reward2_type,reward2_num,next_id,name,altas,frame,level_color
v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:string,v:string,v:number
id,需要积分数量,第几段,上一段所需要的分数,差值,段数,轮数分类,,奖励1类型-item类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包),奖励1种类,奖励1数量,奖励2类型-item类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包),奖励2种类,奖励2数量,下一个id,名称,图集,图框,品阶颜色：2-绿；3-蓝；4-紫；5-橙
1001,100,1,,100,12,0,1,2,10002,15,9,60001,1,1002,初识壁垒I,acheivement_atlas,chengjiu_tubiao1,2
1002,500,2,100,400,12,1,1,2,10002,20,9,60001,2,1003,初识壁垒II,acheivement_atlas,chengjiu_tubiao1,2
1003,900,3,500,400,12,1,1,2,10002,25,9,60002,1,1004,重建家园I,acheivement_atlas,chengjiu_tubiao2,3
1004,1300,4,900,400,12,1,1,2,10002,30,9,60002,2,1005,重建家园II,acheivement_atlas,chengjiu_tubiao2,3
1005,1700,5,1300,400,12,1,1,2,10002,35,17,140001,1,1006,复兴之路I,acheivement_atlas,chengjiu_tubiao3,4
1006,2100,6,1700,400,12,1,1,2,10002,40,17,140001,1,1007,复兴之路II,acheivement_atlas,chengjiu_tubiao3,4
1007,2500,7,2100,400,12,1,1,2,10002,45,17,140001,1,1008,复兴之路III,acheivement_atlas,chengjiu_tubiao3,4
1008,2900,8,2500,400,12,1,1,2,10002,50,17,140001,1,1009,复兴之路IV,acheivement_atlas,chengjiu_tubiao3,4
1009,3200,9,2900,300,12,1,1,2,10002,55,17,140001,1,1010,繁荣昌盛I,acheivement_atlas,chengjiu_tubiao4,5
1010,3800,10,3200,600,12,1,1,2,10002,60,17,140001,1,1011,繁荣昌盛II,acheivement_atlas,chengjiu_tubiao4,5
1011,4200,11,3800,400,12,1,1,2,10002,65,17,140001,1,1012,繁荣昌盛III,acheivement_atlas,chengjiu_tubiao4,5
1012,5000,12,4200,,12,1,1,2,10002,70,17,140001,1,,繁荣昌盛IV,acheivement_atlas,chengjiu_tubiao4,5
