id,item_type,item_id,name,item_num,need_trophies,slot_id
v:number,v:number,v:number,v:string,v:number,v:number,v:number
奖励序号,类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包/29-联盟币/30-联盟积分/31-联盟声望/40-家具/41-店主装饰/42-英雄卡/43-制作槽位数/44-冒险队列数/45-店铺等级/46-英雄栏位数/47-交易栏位数/48-巧匠奖杯),奖励1道具id,道具名字,奖励1数量,所需巧匠奖杯,兑换槽位id
1,16,167130,8阶G3SG1狙击步枪,1,390,1
2,16,171200,8阶外骨骼装甲,1,390,1
3,16,165180,8阶温彻斯特步枪,1,380,1
4,16,180180,8阶肾上腺素注射器,1,380,1
5,16,176200,8阶外骨骼腿甲,1,390,1
6,16,170150,7阶凛冬狩猎衣,1,340,1
7,16,171150,7阶士官长装甲,1,350,1
8,16,176150,7阶士官长腿甲,1,350,1
9,16,174200,7阶凛冬狩猎帽,1,340,1
10,16,161160,6阶源氏刃,1,280,2
11,16,182130,6阶麻醉手表,1,280,2
12,16,170120,6阶曼达洛甲,1,280,2
13,16,173180,6阶外骨骼头盔,1,290,2
14,16,178170,6阶外骨骼护靴,1,290,2
15,16,181150,6阶便携式充电箱,1,270,2
16,16,168170,6阶ZB26轻机枪,1,270,2
17,16,167110,5阶VSS狙击步枪,1,260,2
18,16,168140,5阶M249,1,240,2
19,16,185190,5阶防弹车门,1,260,2
20,16,172170,5阶保暖大衣,1,260,2
21,16,175180,5阶凛冬狩猎裤,1,250,2
22,16,177190,5阶凛冬狩猎鞋,1,250,2
23,16,183150,4阶莫洛托夫鸡尾酒,1,190,3
24,16,181140,4阶战术望远镜,1,180,3
25,16,161190,4阶钢爪,1,180,3
26,16,164150,4阶爆能手枪,1,160,3
27,16,162180,3阶折凳,1,140,3
28,16,167120,3阶SSG轻型狙击步枪,1,150,3
29,16,174140,3阶海盗眼罩,1,130,3
30,40,413010,子弹箱,1,60,4
31,40,413011,木制地下室,1,50,4
32,40,413019,钢琴,1,120,4
33,40,414007,童年秋千,1,150,4
34,40,414038,破旧滑梯,1,140,4
35,40,413067,叉腰的柜子,1,190,4
36,40,413068,标本挂画,1,80,4
37,40,413069,懒人沙发,1,160,4
38,40,414039,蹦床,1,110,4
39,40,413070,复古船舵,1,130,4
