id,weight,weight_1_lv,weight_1,weight_2_lv,weight_2,type_instru,aitalk_times,furniture1_probability,furniture2_probability,pets_probability,end_probability,talk_type
v:number,v:number,list:number,v:number,list:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:number
id,权重,权重1-等级区间(例：1：10),权重(1区间数值),权重2-等级区间(例：11：99),权重(2区间数值),类型说明,aitalk弹出上限,装饰概率,货架概率,宠物概率,闲逛结束聊天概率,闲逛结束聊天类型
1001,200,1:20,0,21:99,200,顾客随机选择{1~3}个装饰参观顺序以装饰物的，参观顺序随机。,1,50,0,0,0,0
1002,200,1:20,0,21:99,200,随机选择1个室内装饰，直接走到该装饰处完成参观后离开。,1,100,0,0,0,0
1003,200,1:20,200,21:99,200,货架有顾客购买的装备时，随机选择1~2室内装饰物，先参观装饰物，最后去往货架选择道具后购买产品。,1,100,0,0,0,0
2001,1000,1:20,1000,21:99,1000,货架有货状态，顾客直接走到自己需要购买的货架购买商品，并有一定概率跳出aitalk。,1,0,40,0,0,0
2002,1000,1:20,1000,21:99,1000,随机选择1个室内装饰，并走到自己的目标货架，选择完毕后到柜台。途中每到1处弹出一次aitalk,-1,30,30,30,0,0
2003,1000,1:20,1000,21:99,1000,随机选择1~3个柜台闲逛，当发现有空柜台时弹aitalk，只出现1次，最终走到自己的需要购买的道具柜台。,1,0,100,0,0,0
3001,1000,1:20,1000,21:99,1000,随机选择多个柜台（1~3个随机)闲逛，当逛到最后一个货架时（没有自己需要的货），吐槽并离开,1,0,0,0,0,0
4001,500,1:20,500,21:99,500,直接走向宠物并观赏，观赏时弹出aitalk，而后购买自己需要的装备。只在观赏宠物时弹aitalk,1,0,0,100,0,0
4002,200,1:20,200,21:99,200,条件：店铺内有1宠物+1装饰。顾客先观赏宠物+装饰各1次，然后去到自己购买的货架购买。宠物处会出现1次aitalk,1,0,0,100,0,0
5001,1000,1:20,1000,21:99,1000,有空货架时，行走至空货架附近空地后，站立并停止。,1,0,100,0,0,0
5002,1000,1:20,1000,21:99,1000,常规状态（无视是否有空货架）闲逛后在空地站立并停止。,1,0,100,0,0,0
5003,1000,1:20,1000,21:99,1000,店主闲逛后站立行走至空货架旁站立并停止。,0,0,0,0,0,0
5004,1000,1:20,1000,21:99,1000,店主闲逛后站立在空第站立并停止。,0,0,0,0,0,0
5005,500,1:20,500,21:99,500,店主走到宠物处停留并说话。说完话后原地停留。,1,0,0,100,0,0
