id,shopkeeper_lv_min,shopkeeper_lv_max,sales_num_min,sales_num_max,type,charge_type,equip_type_minlv,equip_type_maxlv,equip_num_min,equip_num_max
v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
序号,店主等级_区间_最小,店主等级_区间_最大,触发条件：买卖最小次数：以上一个同类型NPC离开时开始计算/每天第一次为从上线开始计算,触发条件：买卖最大次数：以上一个同类型NPC离开时开始计算/每天第一次为从上线开始计算,贩卖类型 1-卖出多件白装/2-绿装/3-蓝装,收费类型：1-半价/2-免费,所卖装备为随机后的装备分类的最高阶装备减少等阶/最低为1阶,所卖装备为随机后的装备分类的最高阶装备增加等阶/最高为10阶,最小卖出数量,最大卖出数量
1,8,30,5,10,1,1,1,1,5,7
2,8,30,11,30,1,1,1,1,6,8
3,8,30,31,60,1,1,1,1,7,9
4,8,30,61,100,1,1,1,1,8,10
5,8,30,101,150,1,2,1,1,5,10
6,31,50,5,10,1,1,2,1,5,7
7,31,50,11,30,1,1,2,1,6,8
8,31,50,31,60,1,1,2,1,7,9
9,31,50,61,100,1,2,2,1,5,10
10,51,99,5,10,1,1,2,0,5,7
11,51,99,11,30,1,1,2,0,6,8
12,51,99,31,60,1,1,2,0,7,9
13,51,99,61,100,1,2,2,0,5,10
