artisan_lv,artisan_exp,crafting_speed_bonus
v:number,v:number,v:number
工匠等级,所需经验,制造速度加成百分比（等级之间非累加，用减法）
1,0,0
2,20,100
3,60,300
4,100,400
5,180,600
6,275,700
7,375,900
8,625,1000
9,900,1200
10,1500,1300
11,2000,1500
12,2750,1600
13,3250,1800
14,4500,1900
15,6000,2100
16,7750,2200
17,10000,2400
18,12500,2500
19,15000,2700
20,17500,2800
21,22500,3000
22,27500,3100
23,32500,3300
24,37500,3400
25,42500,3600
26,50000,3700
27,55000,3900
28,65000,4000
29,72500,4200
30,82500,4300
31,92500,4500
32,100000,4600
33,125000,4800
34,125000,4900
35,150000,5100
36,150000,5200
37,175000,5400
38,200000,5500
39,200000,5700
40,225000,6000
