id,name,type,effect,num,priority,icon_atlas,icon,audio,flow_atlas,flow_text,flow_name,,,
v:number,v:string,v:number,v:number,v:number,v:number,v:string,v:string,v:number,v:string,v:number,v:string,,,
序号,名称,组别,特效id,辅助参数,优先级,图集,图标名称,音效,图集,是否飘字,飘字名称,,,
10001,回复生命根据已损失生命按一定百分比回复,100,1001,1,1,,,,Artistic_CN,0,,,,
10002,恢复生命根据生命上限一定百分比回复,100,1001,2,1,,,,Artistic_CN,0,,,,
10003,击杀回复血量，根据自身已损失血量按一定百分比回复,100,1001,3,1,,,,Artistic_CN,0,,,,
10101,提高生命上限，根据自身生命按一定数值提高（也加血，扣除上限--！！！）,101,1001,1,1,,,,Artistic_CN,0,,,,
10201,根据释放者的攻击力提升一定百分比护甲,102,1003,1,1,,,,Artistic_CN,0,,,,
10202,根据释放者的生命上限提升一定百分比护甲,102,1003,2,1,,,,Artistic_CN,0,,,,
10301,攻击提升一定百分比增加,103,2123,1,1,,,,Artistic_CN,1,zhandou_gongji_zeng,,,
10302,根据生命损失的常数增加一定百分比攻击(例~损失血量1000，+1000*0.1=增加攻击值),103,1004,2,1,,,,Artistic_CN,1,zhandou_gongji_zeng,,,
10303,根据友方数量，每人增加一定百分比攻击(例~队伍中除自己外有2名队友，每人可以给自己加5%攻击，2*0.05*自身攻击力=增加攻击值),103,1004,3,1,,,,Artistic_CN,1,zhandou_gongji_zeng,,,
10304,减少一定百分比攻击,103,1104,4,1,,,,Artistic_CN,1,zhandou_gongji_jian,,,
10401,护甲增加一定百分比,104,2024,1,1,,,,Artistic_CN,1,zhandou_hujia_zeng,,,
10402,护甲减少一定百分比,104,2124,2,1,,,,Artistic_CN,1,zhandou_hujia_jian,,,
10403,根据已损失血量的常数，增加一定百分比护甲(例~损失血量1000，+1000*0.1=增加护甲值),104,2024,3,1,,,,Artistic_CN,1,zhandou_hujia_zeng,,,
10404,根据友方数量，每人增加一定百分比护甲(例~队伍中除自己外有2名队友，每人可以给自己加5%护甲，2*0.05*自身护甲=增加护甲值),104,2024,4,1,,,,Artistic_CN,1,zhandou_hujia_zeng,,,
10501,暴击值（常数）增加一定百分比,105,2024,1,1,,,,Artistic_CN,0,,,,
10601,抗暴击率，按一定数值增减,106,,1,1,,,,Artistic_CN,0,,,,
10701,闪避值（常数）增加一定百分比,107,2024,1,1,,,,Artistic_CN,0,,,,
10801,命中值（常数）增加一定百分比,108,2024,1,1,,,,Artistic_CN,0,,,,
10901,dot伤害/毒性，根据释放方攻击按一定百分比(自身攻击力百分比)扣血,109,1006,1,1,,,,Artistic_CN,0,,,,
11001,dot伤害/献祭，根据释放方攻击按一定百分比(自身攻击力百分比)扣血,110,1007,1,1,,,,Artistic_CN,0,,,,
11101,dot伤害/流血，根据释放方攻击按一定百分比(自身攻击力百分比)扣血,111,1008,1,1,,,,Artistic_CN,0,,,,
11201,收到的实际伤害按照一定百分比减少,112,2024,1,1,,,,Artistic_CN,0,,,,
11202,减少受到的伤害按一定数值增减,112,,2,1,,,,Artistic_CN,0,,,,
11203,减少受到的伤害按一定数值增减,112,,3,1,,,,Artistic_CN,0,,,,
11204,减少受到的伤害按一定数值增减,112,2024,4,1,,,,Artistic_CN,0,,,,
11205,减少受到的伤害按一定数值增减,112,2024,5,1,,,,Artistic_CN,0,,,,
11301,吸血，按造成实际伤害的百分比吸血,113,1001,1,1,,,,Artistic_CN,0,,,,
11302,吸血，按一定数值增减,113,1001,2,1,,,,Artistic_CN,0,,,,
11401,控制/眩晕，无法攻击，无法移动,114,1010,1,1,,,,Artistic_CN,0,,,,
11501,控制/冰冻，无法攻击，无法移动,115,1014,1,1,,,,Artistic_CN,0,,,,
11601,控制/束缚，无法攻击，无法移动,116,,1,1,,,,Artistic_CN,0,,,,
11701,睡眠，无法攻击，无法移动,117,1011,1,1,,,,Artistic_CN,0,,,,
11801,无敌，针对特定伤害和控制免疫,118,1009,1,1,,,,Artistic_CN,0,,,,
11802,无敌，针对特定伤害和控制免疫,118,1009,2,1,,,,Artistic_CN,0,,,,
11803,无敌，针对特定伤害和控制免疫,118,1009,3,1,,,,Artistic_CN,0,,,,
11804,无敌，针对特定伤害和控制免疫,118,1009,4,1,,,,Artistic_CN,0,,,,
11805,无敌，针对特定伤害和控制免疫,118,1009,5,1,,,,Artistic_CN,0,,,,
11901,能量按一定数值增减,119,2025,1,1,,,,Artistic_CN,0,,,,
11902,能量按一定数值增减,119,,2,1,,,,Artistic_CN,0,,,,
12001,驱散,120,1012,1,1,,,,Artistic_CN,0,,,,
12101,穿刺，无视护甲，只可以被穿刺抗性减免，这里后端做成了扣血,121,,1,1,,,,Artistic_CN,0,,,,
12201,穿刺抗性,122,,1,1,,,,Artistic_CN,0,,,,
12301,燃烧伤害，无视护甲，燃烧火焰伤害，只可以被燃烧抗性减免,123,,1,1,,,,Artistic_CN,0,,,,
12401,燃烧抗性,124,,1,1,,,,Artistic_CN,0,,,,
12501,精神伤害，无视护甲，精神伤害，只可以被精神抗性减免,125,,1,1,,,,Artistic_CN,0,,,,
12601,精神抗性,126,,1,1,,,,Artistic_CN,0,,,,
12701,电击伤害，无视护甲，电击伤害只可以被电击抗性减免,127,,1,1,,,,Artistic_CN,0,,,,
12801,电击抗性,128,,1,1,,,,Artistic_CN,0,,,,
12901,辐射伤害，无视护甲，辐射伤害，只可以被辐射抗性减免,129,,1,1,,,,Artistic_CN,0,,,,
13001,辐射抗性,130,,1,1,,,,Artistic_CN,0,,,,
13101, 韧性,131,,1,1,,,,Artistic_CN,0,,,,
13201, 钝器（装备效果加成）,132,,1,1,,,,Artistic_CN,0,,,,
13301, 重型盔甲（装备效果加成）,133,,1,1,,,,Artistic_CN,0,,,,
13401, 头盔（装备效果加成）,134,,1,1,,,,Artistic_CN,0,,,,
13501, 重装裤（装备效果加成）,135,,1,1,,,,Artistic_CN,0,,,,
13601, 靴子（装备效果加成）,136,,1,1,,,,Artistic_CN,0,,,,
13701, 利刃（装备效果加成）,137,,1,1,,,,Artistic_CN,0,,,,
13801, 攻速,138,1005,1,1,,,,Artistic_CN,0,,,,
13901, 弓弩（装备效果加成）,139,,1,1,,,,Artistic_CN,0,,,,
14001, 轻型盔甲（装备效果加成）,140,,1,1,,,,Artistic_CN,0,,,,
