id,type,level,zoom1,x_revise,y_revise,zoom2,x_revise_landscape,y_revise_landscape
v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
id,类型,lv,镜头高度上限（公式N/100),x偏移,Y偏移,扩建镜头转移高度（公式N/100),x偏移_横版,Y偏移_横版
101,1,1,650,2,0,600,2,0
102,1,2,700,2,0,650,2,0
103,1,3,750,2,0,700,2,0
104,1,4,800,2,0,750,2,0
105,1,5,850,3,0,800,3,0
106,1,6,900,3,0,850,3,0
107,1,7,950,3,0,900,3,0
108,1,8,1000,3,0,950,3,0
109,1,9,1050,3,0,1000,3,0
110,1,10,1100,3,0,1050,3,0
111,1,11,1100,2,0,1050,2,0
112,1,12,1100,3,0,1050,3,0
113,1,13,1100,4,0,1050,4,0
114,1,14,1100,4,0,1050,4,0
115,1,15,1100,4,0,1050,4,0
116,2,,1200,0,0,400,0,0
117,3,,1200,0,-0.2,400,0,0.5
118,4,,850,,,400,,
