keeper_level,drop_group
v:number,v:number
店主等级,掉落组id
1,180001
2,180002
3,180003
4,180004
5,180005
6,180006
7,180007
8,180008
9,180009
10,180010
11,180011
12,180012
13,180013
14,180014
15,180015
16,180016
17,180017
18,180018
19,180019
20,180020
21,180021
22,180022
23,180023
24,180024
25,180025
26,180026
27,180027
28,180028
29,180029
30,180030
31,180031
32,180032
33,180033
34,180034
35,180035
36,180036
37,180037
38,180038
39,180039
40,180040
41,180041
42,180042
43,180043
44,180044
45,180045
46,180046
47,180047
48,180048
49,180049
50,180050
51,180051
52,180052
53,180053
54,180054
55,180055
56,180056
57,180057
58,180058
59,180059
60,180060
61,180061
62,180062
63,180063
64,180064
65,180065
66,180066
67,180067
68,180068
69,180069
70,180070
71,180071
72,180072
73,180073
74,180074
75,180075
76,180076
77,180077
78,180078
79,180079
80,180080
81,180081
82,180082
83,180083
84,180084
85,180085
86,180086
87,180087
88,180088
89,180089
90,180090
91,180091
92,180092
93,180093
94,180094
95,180095
96,180096
97,180097
98,180098
99,180099
