id,item_id,item_type,item_num,atlas,icon,desc
v:number,v:number,v:number,v:number,v:string,v:string,v:string
序号,奖励道具id,类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备),奖励道具数量,图集,图标,描述
1,10004,4,2,item_atlas,10004,图纸碎片
2,10001,1,20000,Equip_Icon01_atlas,icon_3030,新币
3,60001,9,1,item_atlas,60001,补给箱IC卡
4,130400,25,2,item_atlas,130400,维修工具
5,90001,19,2,item_atlas,90001,普通转职证书
6,130100,21,2,item_atlas,130100,初级探测器
7,10004,4,2,item_atlas,10004,图纸碎片
8,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
9,150002,23,5,item_atlas,150002,功能饮料
10,150006,18,1,item_atlas_newAdd,jingyanxiang01,小型经验箱
11,90001,19,4,item_atlas,90001,普通转职证书
12,130001,20,2,item_atlas,130001,便携交通工具
13,130100,21,2,item_atlas,130100,初级探测器
14,10004,4,2,item_atlas,10004,图纸碎片
15,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
16,150002,23,5,item_atlas,150002,功能饮料
17,150006,18,2,item_atlas_newAdd,jingyanxiang01,小型经验箱
18,90001,19,6,item_atlas,90001,普通转职证书
19,130300,24,2,item_atlas,130300,初级战斗手册
20,130002,20,2,item_atlas,130002,轻型机动车
21,10004,4,2,item_atlas,10004,图纸碎片
22,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
23,150001,23,1,item_atlas,150001,恢复药水
24,150006,18,3,item_atlas_newAdd,jingyanxiang01,小型经验箱
25,90001,19,8,item_atlas,90001,普通转职证书
26,130300,24,2,item_atlas,130300,初级战斗手册
27,130101,21,2,item_atlas,130101,中级探测器
28,10004,4,2,item_atlas,10004,图纸碎片
29,90011,19,2,item_atlas,90011,精英转职证书
30,413017,40,1,FurnitureIcon_01_atlas,icon_shinei_13017,修复的街机
31,130400,25,2,item_atlas,130400,维修工具
32,60002,9,2,item_atlas,60002,密码箱IC卡
33,150002,23,5,item_atlas,150002,功能饮料
34,130400,25,2,item_atlas,130400,维修工具
35,90001,19,2,item_atlas,90001,普通转职证书
36,130100,21,2,item_atlas,130100,初级探测器
37,10004,4,3,item_atlas,10004,图纸碎片
38,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
39,150002,23,5,item_atlas,150002,功能饮料
40,150006,18,2,item_atlas_newAdd,jingyanxiang01,小型经验箱
41,90001,19,4,item_atlas,90001,普通转职证书
42,130001,20,2,item_atlas,130001,便携交通工具
43,130100,21,2,item_atlas,130100,初级探测器
44,10004,4,3,item_atlas,10004,图纸碎片
45,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
46,150002,23,5,item_atlas,150002,功能饮料
47,150007,18,2,item_atlas_newAdd,jingyanxiang02,中型经验箱
48,90001,19,6,item_atlas,90001,普通转职证书
49,130300,24,2,item_atlas,130300,初级战斗手册
50,130002,20,2,item_atlas,130002,轻型机动车
51,10004,4,3,item_atlas,10004,图纸碎片
52,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
53,150001,23,1,item_atlas,150001,恢复药水
54,150007,18,3,item_atlas_newAdd,jingyanxiang02,中型经验箱
55,90001,19,8,item_atlas,90001,普通转职证书
56,130300,24,2,item_atlas,130300,初级战斗手册
57,130101,21,2,item_atlas,130101,中级探测器
58,10004,4,3,item_atlas,10004,图纸碎片
59,90011,19,2,item_atlas,90011,精英转职证书
60,413011,40,1,FurnitureIcon_01_atlas,icon_dilao_13011,木制地下室
61,130400,25,2,item_atlas,130400,维修工具
62,60003,9,2,item_atlas,60003,保险柜IC卡
63,150002,23,5,item_atlas,150002,功能饮料
64,130400,25,2,item_atlas,130400,维修工具
65,90001,19,2,item_atlas,90001,普通转职证书
66,130100,21,2,item_atlas,130100,初级探测器
67,10004,4,3,item_atlas,10004,图纸碎片
68,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
69,150002,23,5,item_atlas,150002,功能饮料
70,150006,18,3,item_atlas_newAdd,jingyanxiang01,小型经验箱
71,90001,19,4,item_atlas,90001,普通转职证书
72,130001,20,2,item_atlas,130001,便携交通工具
73,130100,21,2,item_atlas,130100,初级探测器
74,10004,4,3,item_atlas,10004,图纸碎片
75,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
76,150002,23,5,item_atlas,150002,功能饮料
77,150007,18,4,item_atlas_newAdd,jingyanxiang02,中型经验箱
78,90001,19,6,item_atlas,90001,普通转职证书
79,130300,24,2,item_atlas,130300,初级战斗手册
80,130002,20,2,item_atlas,130002,轻型机动车
81,10004,4,3,item_atlas,10004,图纸碎片
82,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
83,150001,23,1,item_atlas,150001,恢复药水
84,150007,18,5,item_atlas_newAdd,jingyanxiang02,中型经验箱
85,90001,19,8,item_atlas,90001,普通转职证书
86,130300,24,2,item_atlas,130300,初级战斗手册
87,130101,21,2,item_atlas,130101,中级探测器
88,10004,4,3,item_atlas,10004,图纸碎片
89,90011,19,2,item_atlas,90011,精英转职证书
90,413015,40,1,FurnitureIcon_01_atlas,icon_shinei_13015,幸运飞镖
91,130400,25,2,item_atlas,130400,维修工具
92,60004,9,2,item_atlas,60004,稀有保险柜IC卡
93,150002,23,5,item_atlas,150002,功能饮料
94,130400,25,2,item_atlas,130400,维修工具
95,90001,19,2,item_atlas,90001,普通转职证书
96,130100,21,2,item_atlas,130100,初级探测器
97,10004,4,3,item_atlas,10004,图纸碎片
98,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
99,150002,23,5,item_atlas,150002,功能饮料
