id,name,icon,atlas,is_show,player_role,slot_man,slot_woman,type_1,type_2,gender,val,get_type,price_money,price_diamond,sale_id,guide,consume,group
v:number,v:string,v:string,v:string,v:number,v:number,v:string,v:string,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:number,v:number
装扮ID,装扮名字,装扮图标,图集,是否在换装界面显示：1-显示 2-不显示,角色类型-废弃,插槽_男,插槽_女,大类：1-外观，2-时装，3-装备,分类:中类：1-皮肤颜色，2-发型，3-发型颜色，4-五官，5-五官颜色，8-眼睛颜色，20-时装衣服，21-时装裤子，22-时装帽子，23-时装鞋子，25-时装手持，101-头部，102-上身，103-裤子，104-鞋子，105-武器，106-盾牌,性别：0-通用，1-男，2-女,参数,解锁类型（1-金币，2-钻石，3-礼包，4-大亨之路获取）,售价(金币),售价(钻石),礼包id,是否需要额外购买：0-是，1-否,解锁道具,组
10001,男-白皮肤,,,1,1,man_foot_front_r/man_calf_front_r/man_hand_front_r/man_lowerarm_front_r/man_upperarm_front_r/man_finger_front_r/man_thigh_front_r/man_waist_front/man_body_front/man_foot_front_l/man_calf_front_l/man_thigh_front_l/man_hand_front_l/man_lowerarm_front_l/man_upperarm_front_l/man_head_front,man_foot_front_r/man_calf_front_r/man_hand_front_r/man_lowerarm_front_r/man_upperarm_front_r/man_finger_front_r/man_thigh_front_r/man_waist_front/man_body_front/man_foot_front_l/man_calf_front_l/man_thigh_front_l/man_hand_front_l/man_lowerarm_front_l/man_upperarm_front_l/man_head_front/m_eye_close,1,1,1,#e8d8ff,,0,0,,1,0,
10002,男-黄皮肤,,,1,1,man_foot_front_r/man_calf_front_r/man_hand_front_r/man_lowerarm_front_r/man_upperarm_front_r/man_finger_front_r/man_thigh_front_r/man_waist_front/man_body_front/man_foot_front_l/man_calf_front_l/man_thigh_front_l/man_hand_front_l/man_lowerarm_front_l/man_upperarm_front_l/man_head_front,man_foot_front_r/man_calf_front_r/man_hand_front_r/man_lowerarm_front_r/man_upperarm_front_r/man_finger_front_r/man_thigh_front_r/man_waist_front/man_body_front/man_foot_front_l/man_calf_front_l/man_thigh_front_l/man_hand_front_l/man_lowerarm_front_l/man_upperarm_front_l/man_head_front/m_eye_close,1,1,1,#ffffff,,0,0,,1,0,
10003,男-棕色皮肤,,,1,1,man_foot_front_r/man_calf_front_r/man_hand_front_r/man_lowerarm_front_r/man_upperarm_front_r/man_finger_front_r/man_thigh_front_r/man_waist_front/man_body_front/man_foot_front_l/man_calf_front_l/man_thigh_front_l/man_hand_front_l/man_lowerarm_front_l/man_upperarm_front_l/man_head_front,man_foot_front_r/man_calf_front_r/man_hand_front_r/man_lowerarm_front_r/man_upperarm_front_r/man_finger_front_r/man_thigh_front_r/man_waist_front/man_body_front/man_foot_front_l/man_calf_front_l/man_thigh_front_l/man_hand_front_l/man_lowerarm_front_l/man_upperarm_front_l/man_head_front/m_eye_close,1,1,1,#c2886b,,0,0,,1,0,
10004,男-黑色皮肤,,,1,1,man_foot_front_r/man_calf_front_r/man_hand_front_r/man_lowerarm_front_r/man_upperarm_front_r/man_finger_front_r/man_thigh_front_r/man_waist_front/man_body_front/man_foot_front_l/man_calf_front_l/man_thigh_front_l/man_hand_front_l/man_lowerarm_front_l/man_upperarm_front_l/man_head_front,man_foot_front_r/man_calf_front_r/man_hand_front_r/man_lowerarm_front_r/man_upperarm_front_r/man_finger_front_r/man_thigh_front_r/man_waist_front/man_body_front/man_foot_front_l/man_calf_front_l/man_thigh_front_l/man_hand_front_l/man_lowerarm_front_l/man_upperarm_front_l/man_head_front/m_eye_close,1,1,1,#675344,,0,0,,1,0,
10101,女-白皮肤,,,1,1,woman_foot_front_r/woman_calf_front_r/woman_hand_front_r/woman_lowerarm_front_r/woman_upperarm_front_r/woman_finger_front_r/woman_thigh_front_r/woman_waist_front/woman_body_front/woman_foot_front_l/woman_calf_front_l/woman_thigh_front_l/woman_hand_front_l/woman_lowerarm_front_l/woman_upperarm_front_l/woman_head_front,woman_foot_front_r/woman_calf_front_r/woman_hand_front_r/woman_lowerarm_front_r/woman_upperarm_front_r/woman_finger_front_r/woman_thigh_front_r/woman_waist_front/woman_body_front/woman_foot_front_l/woman_calf_front_l/woman_thigh_front_l/woman_hand_front_l/woman_lowerarm_front_l/woman_upperarm_front_l/woman_head_front/w_eye_close,1,1,2,#e8d8ff,,0,0,,1,0,
10102,女-黄皮肤,,,1,1,woman_foot_front_r/woman_calf_front_r/woman_hand_front_r/woman_lowerarm_front_r/woman_upperarm_front_r/woman_finger_front_r/woman_thigh_front_r/woman_waist_front/woman_body_front/woman_foot_front_l/woman_calf_front_l/woman_thigh_front_l/woman_hand_front_l/woman_lowerarm_front_l/woman_upperarm_front_l/woman_head_front,woman_foot_front_r/woman_calf_front_r/woman_hand_front_r/woman_lowerarm_front_r/woman_upperarm_front_r/woman_finger_front_r/woman_thigh_front_r/woman_waist_front/woman_body_front/woman_foot_front_l/woman_calf_front_l/woman_thigh_front_l/woman_hand_front_l/woman_lowerarm_front_l/woman_upperarm_front_l/woman_head_front/w_eye_close,1,1,2,#ffffff,,0,0,,1,0,
10103,女-棕色皮肤,,,1,1,woman_foot_front_r/woman_calf_front_r/woman_hand_front_r/woman_lowerarm_front_r/woman_upperarm_front_r/woman_finger_front_r/woman_thigh_front_r/woman_waist_front/woman_body_front/woman_foot_front_l/woman_calf_front_l/woman_thigh_front_l/woman_hand_front_l/woman_lowerarm_front_l/woman_upperarm_front_l/woman_head_front,woman_foot_front_r/woman_calf_front_r/woman_hand_front_r/woman_lowerarm_front_r/woman_upperarm_front_r/woman_finger_front_r/woman_thigh_front_r/woman_waist_front/woman_body_front/woman_foot_front_l/woman_calf_front_l/woman_thigh_front_l/woman_hand_front_l/woman_lowerarm_front_l/woman_upperarm_front_l/woman_head_front/w_eye_close,1,1,2,#c2886b,,0,0,,1,0,
10104,女-黑色皮肤,,,1,1,woman_foot_front_r/woman_calf_front_r/woman_hand_front_r/woman_lowerarm_front_r/woman_upperarm_front_r/woman_finger_front_r/woman_thigh_front_r/woman_waist_front/woman_body_front/woman_foot_front_l/woman_calf_front_l/woman_thigh_front_l/woman_hand_front_l/woman_lowerarm_front_l/woman_upperarm_front_l/woman_head_front,woman_foot_front_r/woman_calf_front_r/woman_hand_front_r/woman_lowerarm_front_r/woman_upperarm_front_r/woman_finger_front_r/woman_thigh_front_r/woman_waist_front/woman_body_front/woman_foot_front_l/woman_calf_front_l/woman_thigh_front_l/woman_hand_front_l/woman_lowerarm_front_l/woman_upperarm_front_l/woman_head_front/w_eye_close,1,1,2,#675344,,0,0,,1,0,
