id,type,sequence,level,money,diamond
v:number,v:number,v:number,v:number,v:number,v:number
id,槽位种类    1-英雄栏位 2-贸易栏位 3-制造栏位 4-冒险栏位 5-宠物栏位,解锁顺序,等级需求,金币消耗,钻石消耗
1,1,1,1,0,0
2,1,2,1,0,0
3,1,3,5,1000,200
4,1,4,15,10000,300
5,1,5,17,20000,400
6,1,6,20,60000,500
7,1,7,25,100000,600
8,1,8,27,250000,800
9,1,9,29,500000,1000
10,1,10,33,1000000,1200
11,1,11,35,2500000,1350
12,1,12,40,5000000,1500
13,1,13,42,10000000,1700
14,1,14,44,25000000,1850
15,1,15,50,50000000,2000
16,1,16,52,75000000,2400
17,1,17,54,100000000,2800
18,1,18,60,150000000,3000
19,1,19,64,200000000,3400
20,1,20,68,300000000,3800
21,1,21,72,500000000,4000
22,1,22,76,700000000,4400
23,1,23,80,850000000,4800
24,1,24,84,1000000000,5000
25,1,25,88,1250000000,5500
26,2,1,1,0,0
27,2,2,20,25000,200
28,2,3,30,500000,500
29,2,4,40,5000000,1000
30,2,5,50,30000000,1500
31,2,6,60,100000000,2000
32,2,7,70,200000000,4000
33,2,8,80,500000000,8000
34,3,1,1,0,0
35,3,2,1,0,0
36,3,3,10,15000,200
37,3,4,20,600000,500
38,3,5,30,3000000,1000
39,3,6,40,10000000,1500
40,3,7,50,50000000,2000
41,3,8,60,100000000,3000
42,3,9,65,250000000,4000
43,3,10,70,1000000000,5000
44,3,11,75,1550000000,10000
45,3,12,80,2500000000,12000
46,4,1,1,0,0
47,4,2,15,100000,200
48,4,3,25,500000,500
49,4,4,35,5000000,900
50,4,5,45,30000000,1500
51,4,6,60,100000000,3000
52,4,7,70,200000000,5000
53,4,8,80,500000000,8000
54,5,1,1,0,0
55,5,2,35,5000000,1000
56,5,3,50,50000000,2000
