id,name,icon,atlas,icon_big,prefabnew,sprites,prefab,furniture_type_icon,des,iconitem_id,type_1,type_2,placement_num,cost_times,show_lv,unlock_lv,is_show,cost_type,cost_num,length,width,height,luxury,energy,buff_ids
v:number,v:string,v:string,v:string,v:string,v:string,v:string,v:string,v:string,v:string,list:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,list:number
装扮ID,家具名字,家具图标,家具图集,家具图标大,,2d图,家具切图,家具类型icon,描述,各个面板需要用到的Item图片ID,1.墙壁-2.地板-3.地毯-4.墙壁装饰-5.室内地面装饰-6.柜台-7.货架-8.储物箱-9.资源篮-10.室外装饰-11.宠物小家,货架-1,同一类别能摆放数量上限:-1~无上限1~99~上限数量,放置下一个同类型家具花费倍数,显示等级,解锁等级,是否在装扮界面显示：0-不显示；1-显示,解锁消耗类型：1-金币，2-钻石，3-特权解锁，4-礼包解锁（只能唯一性，存在1个，cost_num为礼包id）,解锁花费数量,格,格,格,豪华度,观赏获得能量,buff ID
10001,碎木地板,icon_floor_10001,FurnitureIcon_01_atlas,icon_floor_10001,tile_floor,floor_0,tile_floor,,,,2,0,-1,1,1,1,1,1,100,3,3,3,0,,
10002,白桦木地板,icon_floor_10002,FurnitureIcon_01_atlas,icon_floor_10002,tile_floor2,floor_1,tile_floor2,,,,2,0,-1,1,2,4,1,1,5000,3,3,3,0,,
10003,残破的地砖,icon_floor_10003,FurnitureIcon_01_atlas,icon_floor_10003,tile_floor3,floor_2,tile_floor3,,,,2,0,-1,1,6,10,1,1,10000,3,3,3,0,,
10004,维纳斯地板,icon_floor_10004,FurnitureIcon_01_atlas,icon_floor_10004,,floor_05,,,,,2,0,-1,1,89,90,1,2,3260,3,3,3,30,,
10005,维纳斯罗德纹,icon_floor_10005,FurnitureIcon_01_atlas,icon_floor_10005,,floor_10,,,,,2,0,-1,1,89,90,1,2,3260,3,3,3,30,,
10006,拼块地板,icon_floor_10006,FurnitureIcon_01_atlas,icon_floor_10006,,floor_11,,,,,2,0,-1,1,89,90,1,2,3260,3,3,3,30,,
10007,粽叶地板,icon_floor_10007,FurnitureIcon_01_atlas,icon_floor_10007,,floor_06,,,,,2,0,-1,1,18,20,1,2,3260,3,3,3,30,,
10008,花簇地板,icon_floor_10008,FurnitureIcon_01_atlas,icon_floor_10008,,floor_09,,,,,2,0,-1,1,89,90,1,2,3260,3,3,3,30,,
10009,方形地板,icon_floor_10009,FurnitureIcon_01_atlas,icon_floor_10009,,floor_12,,,,,2,0,-1,1,89,90,1,2,3260,3,3,3,30,,
10010,电光迸射地板,icon_floor_10010,FurnitureIcon_01_atlas,icon_floor_10010,,floor_13,,,,,2,0,-1,1,89,90,1,2,3260,3,3,3,30,,
10011,枫叶地板,icon_floor_10011,FurnitureIcon_01_atlas,icon_floor_10011,,floor_07,,,,,2,0,-1,1,89,90,1,2,3260,3,3,3,30,,
10012,狗狗地板,icon_floor_10012,FurnitureIcon_01_atlas,icon_floor_10012,,floor_08,,,,,2,0,-1,1,89,90,1,2,3260,3,3,3,30,,
10013,交织地板,icon_floor_10013,FurnitureIcon_01_atlas,icon_floor_10013,,floor_14,,,,,2,0,-1,1,89,90,1,2,3260,3,3,3,30,,
10014,月饼地板,icon_floor_10014,FurnitureIcon_01_atlas,icon_floor_10014,,floor_15,,,,,2,0,-1,1,89,90,1,2,3260,3,3,3,10,,
10015,木质地板,icon_floor_10015,FurnitureIcon_01_atlas,icon_floor_10015,,floor_16,,,,,2,0,-1,1,89,90,1,2,3260,3,3,3,10,,
10016,棱形地板,icon_floor_10016,FurnitureIcon_01_atlas,icon_floor_10016,,floor_17,,,,,2,0,-1,1,89,90,1,2,3260,3,3,3,10,,
10017,花纹地板,icon_floor_10017,FurnitureIcon_01_atlas,icon_floor_10017,,floor_18,,,,,2,0,-1,1,89,90,1,2,3260,3,3,3,10,,
10018,圣诞地板,icon_floor_10018,FurnitureIcon_01_atlas,icon_floor_10018,,floor_19,,,,,2,0,-1,1,89,90,1,2,3260,3,3,3,10,,
11001,粉刷的墙壁,icon_wall_11001,FurnitureIcon_01_atlas,icon_wall_11001,tile_wall,wall_01,tile_wall,,,,1,0,-1,1,1,1,1,1,100,3,3,3,0,,
11002,砖头墙壁,icon_wall_11002,FurnitureIcon_01_atlas,icon_wall_11002,tile_wall2,wall_02,tile_wall2,,,,1,0,-1,1,8,11,1,1,5000,3,3,3,0,,
11003,条纹墙纸,icon_wall_11003,FurnitureIcon_01_atlas,icon_wall_11003,,wall05,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,80,,
11004,黄昏墙纸,icon_wall_11004,FurnitureIcon_01_atlas,icon_wall_11004,,wall06,,,,,1,0,-1,1,7,9,1,2,3260,3,3,3,80,,
11005,海面幻影墙纸,icon_wall_11005,FurnitureIcon_01_atlas,icon_wall_11005,,wall07,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,80,,
11006,西瓜墙纸,icon_wall_11006,FurnitureIcon_01_atlas,icon_wall_11006,,wall08,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,80,,
11007,动物墙纸,icon_wall_11007,FurnitureIcon_01_atlas,icon_wall_11007,,wall09,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,80,,
11008,仿砖墙纸,icon_wall_11008,FurnitureIcon_01_atlas,icon_wall_11008,,wall12,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,80,,
11009,竹墙纸,icon_wall_11009,FurnitureIcon_01_atlas,icon_wall_11009,,wall11,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,80,,
11010,复古墙纸,icon_wall_11010,FurnitureIcon_01_atlas,icon_wall_11010,,wall10,,,,,1,0,-1,1,13,15,1,2,3260,3,3,3,80,,
11011,儿童墙纸,icon_wall_11011,FurnitureIcon_01_atlas,icon_wall_11011,,wall13,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,80,,
11012,海底世界墙纸,icon_wall_11012,FurnitureIcon_01_atlas,icon_wall_11012,,wall14,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,80,,
11013,晚安墙纸,icon_wall_11013,FurnitureIcon_01_atlas,icon_wall_11013,,wall15,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,80,,
11014,花海墙纸,icon_wall_11014,FurnitureIcon_01_atlas,icon_wall_11014,,wall16,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,80,,
11015,星星墙纸,icon_wall_11015,FurnitureIcon_01_atlas,icon_wall_11015,,wall17,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,80,,
11016,麋鹿墙纸,icon_wall_11016,FurnitureIcon_01_atlas,icon_wall_11016,,wall18,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,80,,
11017,祥云墙纸,icon_wall_11017,FurnitureIcon_01_atlas,icon_wall_11017,,wall19,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,80,,
11018,中秋壁纸,icon_wall_11018,FurnitureIcon_01_atlas,icon_wall_11018,,wall20,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,10,,
11019,简约风格壁纸,icon_wall_11019,FurnitureIcon_01_atlas,icon_wall_11019,,wall21,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,10,,
11020,水墨壁纸,icon_wall_11020,FurnitureIcon_01_atlas,icon_wall_11020,,wall22,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,10,,
11021,山雨壁纸,icon_wall_11021,FurnitureIcon_01_atlas,icon_wall_11021,,wall23,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,10,,
11022,圣诞壁纸,icon_wall_11022,FurnitureIcon_01_atlas,icon_wall_11022,,wall24,,,,,1,0,-1,1,89,90,1,2,3260,3,3,3,30,,
12001,初级柜台,icon_guitai_12001,FurnitureIcon_01_atlas,icon_guitai_12001,counter_1,,jiaju_guitai1,,简陋的收银台，是一个商店的核心。,1:0:15:16,6,0,1,1,1,1,1,1,200,3,2,1,,,
12002,中级柜台,icon_guitai_12002,FurnitureIcon_01_atlas,icon_guitai_12002,counter_2,,jiaju_guitai1,,基础的收银台，是一个商店的核心。,1:0:15:16,6,0,1,1,1,1,0,1,200,5,2,2,,,
12003,高级柜台,icon_guitai_12003,FurnitureIcon_01_atlas,icon_guitai_12003,counter_3,,jiaju_guitai1,,全能的收银台，是一个商店的核心。,1:0:15:16,6,0,1,1,1,1,0,1,200,6,3,2,,,
13001,小地毯,icon_carpet_13001,FurnitureIcon_01_atlas,icon_carpet_13001,dt_lev01,,tile_carpet2,,在末日里为数不多的一丝奢华与舒适。,,3,0,-1,1,2,3,1,1,5000,3,2,2,0,,
13002,大地毯,icon_carpet_13002,FurnitureIcon_01_atlas,icon_carpet_13002,dt_lev02,,tile_carpet,,在末日里不多的一份奢华与舒适。,,3,0,-1,1,3,5,1,1,20000,6,2,2,0,,
13003,武器板,icon_wuqiban_13003,FurnitureIcon_01_atlas,icon_wuqiban_13003,wuqiban_lev01,,,,悬挂着各式各样的武器，让大家看看你的招牌武器！,,4,0,-1,1,1,1,1,1,20000,,4,1,0,,
13004,留言板,icon_haibao_13004,FurnitureIcon_01_atlas,icon_haibao_13004,haibao_lev02,,,,这里贴着02避难所各处的最新消息！,,4,0,-1,1,4,7,1,1,80000,,1,1,0,,
13005,壁垒日报,icon_haibao_13005,FurnitureIcon_01_atlas,icon_haibao_13005,haibao_lev01,,,,这里贴着02避难所各处的最新消息！,,4,0,-1,1,1,1,1,1,100000,,1,1,0,,
13006,壁炉,icon_bilu_13006,FurnitureIcon_01_atlas,icon_bilu_13006,bilu_lev01,,,,末日的冬天不太好过，壁炉可以让室内温暖如春。,,5,0,-1,1,17,20,1,2,330,,2,1,90,,
13007,羚羊墙饰,icon_qiangshi_13007,FurnitureIcon_01_atlas,icon_qiangshi_13007,qs_lev01,,,,据说是救赎日导致灭绝的生物头骨，非常稀有。,,4,0,-1,1,9,12,1,1,50000,,1,1,0,,
13008,编织墙饰,icon_qiangshi_13008,FurnitureIcon_01_atlas,icon_qiangshi_13008,qs_lev02,,,,古文明的挂毯，上面有神奇的花纹。,,4,0,-1,1,12,15,1,1,100000,,1,1,0,,
13009,油箱,icon_youxiang_13009,FurnitureIcon_01_atlas,icon_youxiang_13009,oilbucket_lev01,,,,装满了原油，有这样的后备燃料总是令人安心。,,5,0,-1,1,14,17,1,1,50000,,1,1,0,3,
13010,子弹箱,icon_zidanxiang_13010,FurnitureIcon_01_atlas,icon_zidanxiang_13010,gunbullet_lev01,,,,装满了子弹，有这样的后备弹药总是令人安心。,,5,0,-1,1,16,19,1,1,80000,,2,1,0,5,
13011,木制地下室,icon_dilao_13011,FurnitureIcon_01_atlas,icon_dilao_13011,dxs_lev01,,,,通往地牢的入口，从来没人下去过。,,5,0,-1,1,22,25,1,2,170,,1,1,45,10,
13012,精钢地牢,icon_dilao_13012,FurnitureIcon_01_atlas,icon_dilao_13012,dxs_lev02,,,,通往地牢的入口，从来没人下去过。,,5,0,-1,1,25,28,1,2,170,,1,1,45,20,
13013,设计师的桌子,icon_shinei_13013,FurnitureIcon_01_atlas,icon_shinei_13013,desk_lev01,,,,探索队从废墟里搬回来的还算完整的桌子，可以给设计师加班的时候用。,,5,0,-1,1,1,4,1,2,330,,2,1,90,8,
13014,机械雕像,icon_shinei_13014,FurnitureIcon_01_atlas,icon_shinei_13014,diaosu_lev01,,,,一个金属制作的雕像，已经无法辨认身份，但是看起来好像有点意思！,,5,0,-1,1,3,6,1,2,170,,1,1,45,7,
13015,幸运飞镖,icon_shinei_13015,FurnitureIcon_01_atlas,icon_shinei_13015,fbp_lev01,,,,挂在墙上的飞镖靶子，据说投中红心的人会获得好运。,,4,0,-1,1,5,8,1,2,890,,2,1,240,,
