level,shopkeeper_level,energy,money,customer_num,diamond,time,furniture_id,start_diamond,rate,
v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,
柜台等级,商人等级,销售获得能量,金币消耗,顾客排队上限,钻石消耗,升级时间,家具对应id,开始加速钻石数,加速时间/每钻石,
1,1,1,0,4,0,0,12001,0,0,
2,1,2,1000,4,30,60,12001,26,20,
3,1,3,20000,4,50,21600,12001,43,432,
4,1,4,100000,4,100,50400,12001,85,504,
5,1,5,500000,4,150,72000,12001,128,480,
6,12,7,2000000,6,200,100800,12002,170,504,
7,12,9,3000000,6,250,144000,12002,213,576,
8,12,11,7000000,6,300,187200,12002,255,624,
9,12,13,12000000,6,400,316800,12002,340,792,
10,12,15,18000000,6,500,360000,12002,425,720,
11,24,18,25000000,8,600,403200,12003,510,672,
12,24,21,50000000,8,800,446400,12003,680,558,
13,24,24,125000000,8,1000,532800,12003,850,533,
14,24,27,300000000,8,1500,619200,12003,1275,413,
15,24,30,500000000,8,2000,705600,12003,1700,353,
