id,type,shopkeeper_level,level,store,money,diamond,time,build_id,build_level,furniture_id,item_id,start_diamond,rate
v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
资源篮id,种类 3-铁矿箱 7-木材架 10-皮革架 9-化学药剂柜 8-钢铁架 1-橡胶架 6-布料柜 4-储油箱 5-电路元件箱 2-玻璃架,店主等级,等级,储量,金币价格,钻石价格,升级时间(分钟),需求建筑物id,建筑物等级,家具对应id,对应资源ID,开始加速钻石数,加速时间/每钻石
1,3,1,1,35,100,0,0,1000,1,17001,20001,0,0
2,3,1,2,41,500,20,300,1000,1,17001,20001,17,15
3,3,1,3,47,2500,25,3600,1000,2,17001,20001,21,144
4,3,1,4,53,12500,30,10800,1000,3,17001,20001,26,360
5,3,1,5,59,50000,40,21600,1000,4,17001,20001,34,540
6,3,12,6,65,250000,50,32400,1000,6,17002,20001,43,648
7,3,12,7,77,500000,75,57600,1000,7,17002,20001,64,768
8,3,12,8,89,1000000,100,82800,1000,9,17002,20001,85,828
9,3,12,9,101,2000000,125,115200,1000,10,17002,20001,106,922
10,3,12,10,113,3750000,150,152000,1000,11,17002,20001,128,1013
11,3,24,11,125,6250000,200,172800,1000,12,17003,20001,170,864
12,3,24,12,145,12500000,250,194400,1000,13,17003,20001,213,778
13,3,24,13,165,25000000,300,216000,1000,15,17003,20001,255,720
14,3,24,14,185,50000000,350,259200,1000,17,17003,20001,298,741
15,3,24,15,205,75000000,500,302400,1000,20,17003,20001,425,605
16,7,1,1,35,500,0,0,1100,1,18001,20002,0,0
17,7,1,2,41,750,20,300,1100,1,18001,20002,17,15
18,7,1,3,47,2500,25,3600,1100,2,18001,20002,21,144
19,7,1,4,53,12500,30,10800,1100,3,18001,20002,26,360
20,7,1,5,59,50000,40,21600,1100,4,18001,20002,34,540
21,7,12,6,65,250000,50,32400,1100,6,18002,20002,43,648
22,7,12,7,77,500000,75,57600,1100,7,18002,20002,64,768
23,7,12,8,89,1000000,100,82800,1100,9,18002,20002,85,828
24,7,12,9,101,2000000,125,115200,1100,10,18002,20002,106,922
25,7,12,10,113,3750000,150,152000,1100,11,18002,20002,128,1013
26,7,24,11,125,6250000,200,172800,1100,12,18003,20002,170,864
27,7,24,12,145,12500000,250,194400,1100,13,18003,20002,213,778
28,7,24,13,165,25000000,300,216000,1100,15,18003,20002,255,720
29,7,24,14,185,50000000,350,259200,1100,17,18003,20002,298,741
30,7,24,15,205,75000000,500,302400,1100,20,18003,20002,425,605
31,10,1,1,35,250,0,0,1200,1,19001,20003,0,0
32,10,1,2,41,500,20,300,1200,1,19001,20003,17,15
33,10,1,3,47,2500,25,3600,1200,2,19001,20003,21,144
34,10,1,4,53,12500,30,10800,1200,3,19001,20003,26,360
35,10,1,5,59,50000,40,21600,1200,4,19001,20003,34,540
36,10,12,6,65,250000,50,32400,1200,6,19002,20003,43,648
37,10,12,7,77,500000,75,57600,1200,7,19002,20003,64,768
38,10,12,8,89,1000000,100,82800,1200,9,19002,20003,85,828
39,10,12,9,101,2000000,125,115200,1200,10,19002,20003,106,922
40,10,12,10,113,3750000,150,152000,1200,11,19002,20003,128,1013
41,10,24,11,125,6250000,200,172800,1200,12,19003,20003,170,864
42,10,24,12,145,12500000,250,194400,1200,13,19003,20003,213,778
43,10,24,13,165,25000000,300,216000,1200,15,19003,20003,255,720
44,10,24,14,185,50000000,350,259200,1200,17,19003,20003,298,741
45,10,24,15,205,75000000,500,302400,1200,20,19003,20003,425,605
46,9,1,1,35,750,0,0,1400,1,20001,20004,0,0
47,9,1,2,41,1500,20,300,1400,1,20001,20004,17,15
48,9,1,3,47,2000,25,3600,1400,2,20001,20004,21,144
49,9,1,4,53,12500,30,10800,1400,3,20001,20004,26,360
50,9,1,5,59,50000,40,21600,1400,4,20001,20004,34,540
51,9,12,6,65,250000,50,32400,1400,6,20002,20004,43,648
52,9,12,7,77,500000,75,57600,1400,7,20002,20004,64,768
53,9,12,8,89,1000000,100,82800,1400,9,20002,20004,85,828
54,9,12,9,101,2000000,125,115200,1400,10,20002,20004,106,922
55,9,12,10,113,3750000,150,152000,1400,11,20002,20004,128,1013
56,9,24,11,125,6250000,200,172800,1400,12,20003,20004,170,864
57,9,24,12,145,12500000,250,194400,1400,13,20003,20004,213,778
58,9,24,13,165,25000000,300,216000,1400,15,20003,20004,255,720
59,9,24,14,185,50000000,350,259200,1400,17,20003,20004,298,741
60,9,24,15,205,75000000,500,302400,1400,20,20003,20004,425,605
61,8,1,1,15,20000,0,0,1500,1,21001,20005,0,0
62,8,1,2,18,50000,30,10800,1500,1,21001,20005,26,360
63,8,1,3,21,150000,50,32400,1500,2,21001,20005,43,648
64,8,1,4,24,375000,125,36000,1500,3,21001,20005,106,288
65,8,1,5,27,500000,150,50400,1500,4,21001,20005,128,336
66,8,25,6,30,750000,175,72000,1500,6,21002,20005,149,411
67,8,25,7,36,1250000,200,93600,1500,7,21002,20005,170,468
68,8,25,8,42,3000000,250,158400,1500,9,21002,20005,213,634
69,8,25,9,48,5000000,300,180000,1500,10,21002,20005,255,600
70,8,25,10,54,9000000,350,201600,1500,11,21002,20005,298,576
71,8,40,11,60,15000000,400,223200,1500,12,21003,20005,340,558
72,8,40,12,68,25000000,450,266400,1500,13,21003,20005,383,592
73,8,40,13,76,75000000,500,309600,1500,15,21003,20005,425,619
74,8,40,14,84,150000000,600,352800,1500,17,21003,20005,510,588
75,8,40,15,92,250000000,750,388800,1500,20,21003,20005,638,518
76,1,1,1,15,20000,0,0,1600,1,22001,20006,0,0
77,1,1,2,18,50000,30,10800,1600,1,22001,20006,26,360
78,1,1,3,21,150000,50,32400,1600,2,22001,20006,43,648
79,1,1,4,24,375000,125,36000,1600,3,22001,20006,106,288
80,1,1,5,27,500000,150,50400,1600,4,22001,20006,128,336
81,1,25,6,30,750000,175,72000,1600,6,22002,20006,149,411
82,1,25,7,36,1250000,200,93600,1600,7,22002,20006,170,468
83,1,25,8,42,3000000,250,158400,1600,9,22002,20006,213,634
84,1,25,9,48,5000000,300,180000,1600,10,22002,20006,255,600
85,1,25,10,54,9000000,350,201600,1600,11,22002,20006,298,576
86,1,40,11,60,15000000,400,223200,1600,12,22003,20006,340,558
87,1,40,12,68,25000000,450,266400,1600,13,22003,20006,383,592
88,1,40,13,76,75000000,500,309600,1600,15,22003,20006,425,619
89,1,40,14,84,150000000,600,352800,1600,17,22003,20006,510,588
90,1,40,15,92,250000000,750,388800,1600,20,22003,20006,638,518
91,6,1,1,15,20000,0,0,1300,1,23001,20007,0,0
92,6,1,2,18,50000,30,10800,1300,1,23001,20007,26,360
93,6,1,3,21,150000,50,32400,1300,2,23001,20007,43,648
94,6,1,4,24,375000,125,36000,1300,3,23001,20007,106,288
95,6,1,5,27,500000,150,50400,1300,4,23001,20007,128,336
96,6,25,6,30,750000,175,72000,1300,6,23002,20007,149,411
97,6,25,7,36,1250000,200,93600,1300,7,23002,20007,170,468
98,6,25,8,42,3000000,250,158400,1300,9,23002,20007,213,634
99,6,25,9,48,5000000,300,180000,1300,10,23002,20007,255,600
100,6,25,10,54,9000000,350,201600,1300,11,23002,20007,298,576
101,6,40,11,60,15000000,400,223200,1300,12,23003,20007,340,558
102,6,40,12,68,25000000,450,266400,1300,13,23003,20007,383,592
103,6,40,13,76,75000000,500,309600,1300,15,23003,20007,425,619
104,6,40,14,84,150000000,600,352800,1300,17,23003,20007,510,588
105,6,40,15,92,250000000,750,388800,1300,20,23003,20007,638,518
106,4,1,1,15,20000,0,0,1700,1,24001,20008,0,0
107,4,1,2,18,50000,30,10800,1700,1,24001,20008,26,360
108,4,1,3,21,150000,50,32400,1700,2,24001,20008,43,648
109,4,1,4,24,375000,125,36000,1700,3,24001,20008,106,288
110,4,1,5,27,500000,150,50400,1700,4,24001,20008,128,336
111,4,25,6,30,750000,175,72000,1700,6,24002,20008,149,411
112,4,25,7,36,1250000,200,93600,1700,7,24002,20008,170,468
113,4,25,8,42,3000000,250,158400,1700,9,24002,20008,213,634
114,4,25,9,48,5000000,300,180000,1700,10,24002,20008,255,600
115,4,25,10,54,9000000,350,201600,1700,11,24002,20008,298,576
116,4,40,11,60,15000000,400,223200,1700,12,24003,20008,340,558
117,4,40,12,68,25000000,450,266400,1700,13,24003,20008,383,592
118,4,40,13,76,75000000,500,309600,1700,15,24003,20008,425,619
119,4,40,14,84,150000000,600,352800,1700,17,24003,20008,510,588
120,4,40,15,92,250000000,750,388800,1700,20,24003,20008,638,518
121,5,1,1,8,1000000,0,0,1900,1,25001,20009,0,0
122,5,1,2,10,1500000,150,16200,1900,1,25001,20009,128,108
123,5,1,3,12,2000000,200,37800,1900,2,25001,20009,170,189
124,5,1,4,14,3000000,250,48000,1900,3,25001,20009,213,192
125,5,1,5,16,5000000,300,75600,1900,4,25001,20009,255,252
126,5,30,6,18,8000000,350,108000,1900,6,25002,20009,298,309
127,5,30,7,21,10000000,400,140400,1900,7,25002,20009,340,351
128,5,30,8,24,15000000,450,237600,1900,9,25002,20009,383,528
129,5,30,9,27,20000000,500,270000,1900,10,25002,20009,425,540
130,5,30,10,30,30000000,550,302400,1900,11,25002,20009,468,550
131,5,50,11,33,40000000,600,334800,1900,12,25003,20009,510,558
132,5,50,12,37,60000000,650,399600,1900,13,25003,20009,553,615
133,5,50,13,41,100000000,700,464400,1900,15,25003,20009,595,663
134,5,50,14,45,300000000,800,529200,1900,17,25003,20009,680,662
135,5,50,15,49,500000000,900,583200,1900,20,25003,20009,765,648
