level,shopkeeper_level,space,pile_space,money,diamond,time,furniture_id,start_diamond,rate
v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
储存箱等级,商人等级,提供库存,堆叠上限,金币消耗,钻石消耗,升级时间,家具对应id,开始加速钻石数,加速时间/每钻石
1,1,30,27,0,0,0,31001,0,0
2,1,39,36,1000,20,30,31001,17,5
3,1,48,45,2500,30,10800,31001,26,360
4,1,57,54,12500,50,25200,31001,43,504
5,1,66,63,50000,75,36000,31001,64,480
6,12,75,72,250000,100,50400,31002,85,504
7,12,86,83,500000,125,72000,31002,106,576
8,12,97,94,1000000,150,93600,31002,128,624
9,12,108,105,2000000,200,158400,31002,170,792
10,12,119,116,3750000,250,180000,31002,213,720
11,24,130,127,6250000,300,201600,31003,255,672
12,24,144,141,12500000,400,223200,31003,340,558
13,24,158,155,25000000,500,266400,31003,425,533
14,24,172,169,50000000,750,309600,31003,638,413
15,24,186,183,75000000,1000,352800,31003,850,353
