id,type,unlock_num,desc,guide_id,reward_type,reward_value
v:number,v:number,v:number,v:string,v:number,v:number,v:number
id,开启类型,解锁条件参数-type为1则填引导配置表id，type为2则填店主的等级,描述,引导id,奖励类型,奖励数量
1001,1,107,修复柜台 (<Color=#ff5252>0</Color>/1),108,10001,50
1101,1,107,<Color=#3aff5c>修复柜台</Color>,108,10001,50
1002,1,205,修复陈旧的冷兵器架 (<Color=#ff5252>0</Color>/1),206,10001,50
1102,1,205,<Color=#3aff5c>修复陈旧的冷兵器架</Color>,206,10001,50
1003,1,502,解锁铸造专家 <Color=#ff5252>(未解锁)</Color>,503,10001,50
1022,1,502,<Color=#3aff5c>解锁铸造专家</Color>,503,10001,50
1004,1,702,制作砍刀 (<Color=#ff5252>0</Color>/1),703,10001,50
1104,1,702,<Color=#3aff5c>制作砍刀</Color>,703,10001,50
1005,1,1002,修复陈旧的铁矿箱 (<Color=#ff5252>0</Color>/1),1003,10001,50
1105,1,1002,<Color=#3aff5c>修复陈旧的铁矿箱</Color>,1003,10001,50
1006,1,1505,解锁防具货架 (<Color=#ff5252>0</Color>/1),1506,10001,50
1106,1,1505,<Color=#3aff5c>解锁防具货架</Color>,1506,10001,50
1007,1,1702,售卖第一件装备 (<Color=#ff5252>0</Color>/1),1703,10001,50
1107,1,1702,<Color=#3aff5c>售卖第一件装备</Color>,1703,10001,50
1008,1,1904,店主升至2级 (<Color=#ff5252>0</Color>/1),1905,10001,50
1108,1,1904,<Color=#3aff5c>店主升至2级</Color>,1905,10001,50
1009,1,2202,解锁服装设计师 <Color=#ff5252>(未解锁)</Color>,2203,10001,50
1021,1,2202,<Color=#3aff5c>解锁服装设计师</Color>,2203,10001,50
1010,1,2505,解锁皮革箱 (<Color=#ff5252>0</Color>/1),2506,10001,50
1110,1,2505,<Color=#3aff5c>解锁皮革箱</Color>,2506,10001,50
1011,1,2903,解锁新制造栏位 (<Color=#ff5252>0</Color>/1),2904,10001,50
1111,1,2903,<Color=#3aff5c>解锁新制造栏位</Color>,2904,10001,50
1012,1,3303,提升一件装备品质 (<Color=#ff5252>0</Color>/1),3304,10001,50
1112,1,3303,<Color=#3aff5c>提升一件装备品质</Color>,3304,10001,50
1013,1,3502,解锁-连帽衫-图纸 (<Color=#ff5252>0</Color>/1),3503,10001,50
1113,1,3502,<Color=#3aff5c>解锁-连帽衫-图纸</Color>,3503,10001,50
1015,1,4007,招募1位英雄 (<Color=#ff5252>0</Color>/1),4008,10001,50
1115,1,4007,<Color=#3aff5c>招募1位英雄</Color>,4008,10001,50
1016,1,4106,招募2位英雄 (<Color=#ff5252>0</Color>/2),4107,10001,50
1116,1,4106,<Color=#3aff5c>招募属于你的两位英雄</Color>,4107,10001,50
1017,1,4402,加速探险队列 (<Color=#ff5252>0</Color>/1),4403,10001,50
1018,1,4405,赢得一次战斗 (<Color=#ff5252>0</Color>/1),4501,10001,50
1118,1,4405,<Color=#3aff5c>赢得一次战斗</Color>,4501,10001,50
1019,1,4603,使用道具恢复英雄 (<Color=#ff5252>0</Color>/1),4604,10001,50
1119,1,4603,<Color=#3aff5c>使用道具恢复英雄</Color>,4604,10001,50
1020,1,4901,查看任务,4902,10001,50
1025,1,4405,开启宝箱,5001,10001,50
1026,1,4405,<Color=#3aff5c>开启宝箱</Color>,5001,10001,50
