id,group_id,trigger_type,trigger_value,end_level,if_constraint,condition_des,mask_color,guide_type,guide_id,dialog,guide_condition,whether_main,guide_scenes,operations_id,server_behavior_type,behavior_value,behavior_num,time,position
v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:string,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:number
id,引导组ID,触发方式：1~完成新手引导步骤/2~收取装备没有指定货架/3~点击指定的剧情顾客id/4~开启指定的待办任务组/5~能量少于指定百分比/6~店主等级达到X级/7~指定剧情顾客到达柜台/8~完成指定的触发引导组id / 9~获得指定的道具ID/10~领取指定待办任务组奖励后触发/20~新手创角对话,触发参数,不再触发的等级,是否强制引导：0~非强制/1~强制引导,步骤描述~维护所用,遮罩透明度-需要/100,引导类型：1~全屏对话/3~点击/4~tips+点击/5~打开假界面-1级冷兵器架/6~冷兵器架子显示悬赏按钮,NPC的id,文字显示,引导对应参数,是否从主界面开启引导：0~否/1~是,引导所在场景,跳转operations_database表id,服务器行为类型：1~需要赠送指定装备x件/2~需要赠送指定道具X个/3~购买指定家具改为免费/4~将指定家具改为升级中的状态/5-升级指定家具剩余时间完成 / 6-转盘必出稀有道具,服务器行为—参数,服务器行为—数量；9999代表客户端特殊处理屏蔽真界面出现,仅仅作用于家具升级的时间参数/s,家具拜访过对应的坐标方位
1,1,1,99999,3,1,打开待办任务对话1,0,1,400,请留意待办完成<Color=#3aff5c>特殊任务</Color>，它们会给你带来丰厚的回报。,,1,,,,,,,
2,1,1,99999,3,1,打开待办任务文字加点击,55,4,400,点击<Color=#3aff5c>待办任务</Color>按钮。,,0,IndoorScene,51001,,,,,
3,2,2,27001,10,1,购买热武器架的对话1,0,1,1,那件物品没法摆放在您现有的货架上。|看我们能否解决这个问题。,,0,,,3,27001,1,,11|21|1
4,2,2,27001,10,1,购买热武器架文字加点击2,55,4,1,点击<Color=#3aff5c>设计</Color>按钮。,,1,IndoorScene,10012,,,,,11|21|1
5,2,2,27001,10,1,购买热武器架文字加点击3,55,4,1,点击<Color=#3aff5c>家具</Color>按钮。,,0,IndoorScene,10013,,,,,11|21|1
6,2,2,27001,10,1,购买热武器架文字加点击4,55,4,1,点击<Color=#3aff5c>初级枪械货架</Color>。,27001,0,IndoorScene,20015,,,,,11|21|1
7,2,2,27001,10,1,购买热武器架文字加点击5,0,4,1,点击<Color=#3aff5c>确认</Color>摆放货架。,,0,IndoorScene,22016,,,,,11|21|1
8,2,2,27001,10,1,购买热武器架的对话2,0,1,1,好了，<Color=#3aff5c>枪械货架</Color>上几乎能摆放所有的枪械，这样就会有顾客来购买枪械了！,,1,,,,,,,11|21|1
9,3,4,2,10,1,购买装饰对话1,0,1,3,哎呀！您的商店看起来有点......简陋，不是吗？你的<Color=#3aff5c>装饰品</Color>呢？|我觉得在这片废土里经营商店需要一点点绿意才能使顾客更高兴，快去装饰一下吧！,,1,,,3,13016,1,,11|23|0
10,3,4,2,10,1,购买装饰文字加点击1,55,4,3,点击<Color=#3aff5c>设计</Color>按钮。,,1,IndoorScene,10012,,,,,11|23|0
11,3,4,2,10,1,购买装饰文字加点击2,55,4,3,点击<Color=#3aff5c>家具</Color>按钮。,,0,IndoorScene,10013,,,,,11|23|0
12,3,4,2,10,1,购买装饰文字加点击3,55,4,3,点击<Color=#3aff5c>花盆</Color>。,13016,0,IndoorScene,20015,,,,,11|23|0
13,3,4,2,10,1,购买装饰文字加点击4,0,4,3,点击<Color=#3aff5c>确认</Color>摆放花盆。,,0,IndoorScene,22016,,,,,11|23|0
14,3,4,2,10,1,购买装饰对话2,0,1,3,好多了，我敢肯定您的顾客也会喜欢！他们喜欢就会为你源源不断提供能量的哦~,,1,,,,,,,11|23|0
15,4,7,1003,10,1,讨价还价对话1,0,1,400,店长，又见面了，您试过和您的顾客讨价还价吗？,,1,,,1,12021,1,,
16,4,7,1003,10,1,讨价还价文字加点击1,55,4,400,点击<Color=#3aff5c>气泡</Color>即可与顾客交谈。,1003,1,IndoorScene,51002,,,,,
17,4,7,1003,10,1,讨价还价对话2,0,1,400,精明的商人能通过这种方式赚取翻倍的利润，学会利用能量开始疯狂赚取吧！,,0,,,,,,,
18,4,7,1003,10,1,讨价还价文字加点击2,55,4,400,点击<Color=#3aff5c>消耗能量加成收益</Color>按钮。,,0,IndoorScene,20035,,,,,
19,4,7,1003,10,1,讨价还价文字加点击3,55,4,400,点击<Color=#3aff5c>售卖</Color>按钮。,,0,IndoorScene,20037,,,,,
20,4,7,1003,10,1,讨价还价对话3,55,1,400,刚刚耗费了不少的能量赚了这笔大钱，再想想办法补充<Color=#3aff5c>能量</Color>吧！,,1,,,,,,,
21,5,7,1004,10,1,折扣对话1,0,1,400,刚刚说到怎么补充能量？那我教你怎么<Color=#3aff5c>折扣</Color>出售装备恢复一些能量。,,1,,,1,4011,1,,
22,5,7,1004,10,1,折扣文字加点击1,0,4,400,点击顾客<Color=#3aff5c>气泡</Color>。,1004,1,IndoorScene,51002,,,,,
23,5,7,1004,10,1,折扣对话2,0,1,400,尝试给这名幸运顾客<Color=#3aff5c>折扣</Color>，他会感谢你的。,,0,,,,,,,
24,5,7,1004,10,1,折扣文字加点击2,55,4,400,点击<Color=#3aff5c>折扣出售恢复能量</Color>按钮。,,0,IndoorScene,20036,,,,,
25,5,7,1004,10,1,折扣文字加点击3,55,4,400,点击<Color=#3aff5c>售卖</Color>按钮。,,0,IndoorScene,20037,,,,,
26,6,4,4,10,1,升级家具对话1,0,1,3,嗨，伙计！我相信你已经学会如何运用能量赚取更多的金钱了吧...|是时候<Color=#3aff5c>升级</Color>你的家具来提升你的<Color=#3aff5c>能量上限</Color>了！,,1,,,,,,,
27,6,4,4,10,1,升级家具文字加点击1,55,4,3,点击<Color=#3aff5c>初级冷兵器货架</Color>。,28001,0,IndoorScene,21005,,,,,
28,6,4,4,10,1,升级家具文字加点击2,0,4,3,点击<Color=#3aff5c>升级</Color>按钮。,,0,IndoorScene,20007,,,9999,,
29,7,8,6,10,1,家具升级的假界面打开,,5,,,,1,,,4,28001,1,300,
30,7,8,6,10,1,假界面操作升级按钮,55,4,3,点击<Color=#3aff5c>升级</Color>按钮。,,0,IndoorScene,51004,,,,,
31,8,8,7,10,1,假帮助升级家具进度条显按钮,,6,,,,1,,,5,28001,1,,
32,8,8,7,10,1,帮助的指引对话1,0,1,3,您也可以向其它玩家寻求<Color=#3aff5c>帮助</Color>来加快速度。,,0,,,,,,,
33,8,8,7,10,1,引导用户点击假帮助,55,4,3,点击<Color=#3aff5c>帮助</Color>气泡。,,0,IndoorScene,51005,,,,,
