id,group,help_desc,index,desc,type,if_service_help,service_value,conditon_id,jump_yes,jump_no,view_name,guide_btn_dev,operation_id,dialogue_id,next_id
v:number,v:number,v:string,v:number,v:string,v:number,v:number,list:number,v:number,v:number,v:number,v:string,v:string,v:number,v:number,v:number
id,组别,辅助描述,序号,描述,是检测还是条件0检测；1代表打开行为；2对话；3完成本组引导；4等待顾客；5说话和引导点击；6 点击任意可升级的家具（存在在场景中）；7等待界面打开,后端额外支持 空：否 ，1：是,后端支持的参数数组 1(产出装备id和数量) 2:0 不来顾客，2:1来正常顾客 ，3 来特定需求的顾客 和需求对应装备 ，3:1011:1 来买砍刀的顾客然后后面不来人 3:1011:2 来买看到的顾客后面正常来人 ，4 赠送装备和数量，5 赠送道具和道具数量 （下发npc招募券 道具表中的东西，赠送图纸） 6研究对应图纸 -1已解锁未激活 -2已激活）7产出物品等阶，7:0代表之后过程不产出高品质装备，7:1代表之后按照正常几率产出高品质装备，7:装备id 代表产出对应id的高品质装备， 8:41:42:11 刷新英雄2个绿色的猎人和1个蓝色的武士，9 战斗探险加速 9:1 第一冒险队列加速，10装备制作加速 10:1 加速当前第一制作队列装备的制作时间 ，参数 11 ：resetHeroState 回复所有英雄状态  13商店每日刷新英雄，禁止商店每日刷新英雄（但可以使用金条刷新）13:0， 开启商店每日刷新13:1  14加速制作--14:2 表示下一步制作的装备只需要2s,条件： 1-是否加入了联盟,是-跳转本地id,否-跳转本地id,界面名称,引导按键偏移,操作id组界面或提示点击,操作id组界面或提示点击,操作id组界面或提示点击
1001,1,,1,,1,,,,,,,,4101,,1002
1002,1,,2,,2,,,,,,,,,1001,1003
1003,1,,3,,3,,,,,,,,,,
2001,2,,1,,6,,,,,,,0.26|0.10,,,2002
2002,2,,2,,7,,,,,,ShopDesignUI,,,,2003
2003,2,,3,,2,,,,,,ShopDesignUI,,,2001,2004
2004,2,,4,,1,,,,,,ShopDesignUI,,25101,,2005
2005,2,,5,,3,,,,,,,,,,
4001,4,,1,,1,,,,,,,,22201,,4002
4002,4,,2,,2,,,,,,,,,5001,4003
4003,4,,3,,3,,,,,,,,,,
5001,5,,1,,2,,,,,,,,,6001,5002
5002,5,,2,,1,,,,,,,,21101,,5003
5003,5,,3,,1,,,,,,,0|70,21201,,5004
5004,5,,4,,3,,,,,,,,,,
6001,6,,1,,2,1,5:1011:1,,,,,1.3|0.56,,7001,6002
6002,6,,2,,4,1,3:1011:1,,,,,,,,6003
6003,6,,3,,7,,,,,,ShopperUI,,,,6004
6004,6,,4,,5,,,,,,ShopperUI,,23201,7003,6005
6005,6,,5,,5,,,,,,ShopperUI,,23202,7004,6006
6006,6,,6,,3,,,,,,,,,,
