id,lv,profession_id,name,hp_basic,atk_basic,def_basic,spd_basic,acc_basic,dodge_basic,cri_basic,tough_basic,piercing_dmg,burn_dmg,ment_dmg,electricity_dmg,radiation_dmg,piercing_res,burn_res,ment_res,electricity_res,radiation_res
v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
属性id,等级,职业ID,职业名称,基础生命,基础攻击,基础护甲,基础速度,基础命中,基础闪避,基础暴击,基础韧性,穿刺伤害,燃烧伤害,精神伤害,电击伤害,辐射伤害,穿刺抗性,燃烧抗性,精神抗性,电击抗性,辐射抗性
1,1,10001,武士,432,17,8,5,6,5,6,5,0,0,0,0,0,0,0,0,0,0
2,2,10001,武士,474,22,11,5,8,6,8,6,0,0,0,0,0,0,0,0,0,0
3,3,10001,武士,516,27,14,5,10,7,10,7,0,0,0,0,0,0,0,0,0,0
4,4,10001,武士,558,32,17,5,12,8,12,8,0,0,0,0,0,0,0,0,0,0
5,5,10001,武士,600,37,20,5,14,9,14,9,0,0,0,0,0,0,0,0,0,0
6,6,10001,武士,642,42,23,5,16,10,16,10,0,0,0,0,0,0,0,0,0,0
7,7,10001,武士,684,47,26,5,18,11,18,11,0,0,0,0,0,0,0,0,0,0
8,8,10001,武士,726,52,29,5,20,12,20,12,0,0,0,0,0,0,0,0,0,0
9,9,10001,武士,768,57,32,5,22,13,22,13,0,0,0,0,0,0,0,0,0,0
10,10,10001,武士,810,62,35,5,24,14,24,14,0,0,0,0,0,0,0,0,0,0
11,11,10001,武士,852,67,38,5,26,15,26,15,0,0,0,0,0,0,0,0,0,0
12,12,10001,武士,894,72,41,5,28,16,28,16,0,0,0,0,0,0,0,0,0,0
13,13,10001,武士,936,77,44,5,30,17,30,17,0,0,0,0,0,0,0,0,0,0
14,14,10001,武士,978,82,47,5,32,18,32,18,0,0,0,0,0,0,0,0,0,0
15,15,10001,武士,1020,87,50,5,34,19,34,19,0,0,0,0,0,0,0,0,0,0
16,16,10001,武士,1062,92,53,5,36,20,36,20,0,0,0,0,0,0,0,0,0,0
17,17,10001,武士,1104,97,56,5,38,21,38,21,0,0,0,0,0,0,0,0,0,0
18,18,10001,武士,1146,102,59,5,40,22,40,22,0,0,0,0,0,0,0,0,0,0
19,19,10001,武士,1188,107,62,5,42,23,42,23,0,0,0,0,0,0,0,0,0,0
20,20,10001,武士,1230,112,65,5,44,24,44,24,0,0,0,0,0,0,0,0,0,0
21,21,10001,武士,1272,117,68,5,46,25,46,25,0,0,0,0,0,0,0,0,0,0
22,22,10001,武士,1314,122,71,5,48,26,48,26,0,0,0,0,0,0,0,0,0,0
23,23,10001,武士,1356,127,74,5,50,27,50,27,0,0,0,0,0,0,0,0,0,0
24,24,10001,武士,1398,132,77,5,52,28,52,28,0,0,0,0,0,0,0,0,0,0
25,25,10001,武士,1440,137,80,5,54,29,54,29,0,0,0,0,0,0,0,0,0,0
26,26,10001,武士,1482,142,83,5,56,30,56,30,0,0,0,0,0,0,0,0,0,0
27,27,10001,武士,1524,147,86,5,58,31,58,31,0,0,0,0,0,0,0,0,0,0
28,28,10001,武士,1566,152,89,5,60,32,60,32,0,0,0,0,0,0,0,0,0,0
29,29,10001,武士,1608,157,92,5,62,33,62,33,0,0,0,0,0,0,0,0,0,0
30,30,10001,武士,1650,162,95,5,64,34,64,34,0,0,0,0,0,0,0,0,0,0
31,31,10001,武士,1692,167,98,5,66,35,66,35,0,0,0,0,0,0,0,0,0,0
32,32,10001,武士,1734,172,101,5,68,36,68,36,0,0,0,0,0,0,0,0,0,0
33,33,10001,武士,1776,177,104,5,70,37,70,37,0,0,0,0,0,0,0,0,0,0
34,34,10001,武士,1818,182,107,5,72,38,72,38,0,0,0,0,0,0,0,0,0,0
35,35,10001,武士,1860,187,110,5,74,39,74,39,0,0,0,0,0,0,0,0,0,0
36,36,10001,武士,1902,192,113,5,76,40,76,40,0,0,0,0,0,0,0,0,0,0
37,37,10001,武士,1944,197,116,5,78,41,78,41,0,0,0,0,0,0,0,0,0,0
38,38,10001,武士,1986,202,119,5,80,42,80,42,0,0,0,0,0,0,0,0,0,0
39,39,10001,武士,2028,207,122,5,82,43,82,43,0,0,0,0,0,0,0,0,0,0
40,40,10001,武士,2070,212,125,5,84,44,84,44,0,0,0,0,0,0,0,0,0,0
41,41,10001,武士,2112,217,128,5,86,45,86,45,0,0,0,0,0,0,0,0,0,0
42,42,10001,武士,2154,222,131,5,88,46,88,46,0,0,0,0,0,0,0,0,0,0
43,43,10001,武士,2196,227,134,5,90,47,90,47,0,0,0,0,0,0,0,0,0,0
44,44,10001,武士,2238,232,137,5,92,48,92,48,0,0,0,0,0,0,0,0,0,0
45,45,10001,武士,2280,237,140,5,94,49,94,49,0,0,0,0,0,0,0,0,0,0
46,46,10001,武士,2322,242,143,5,96,50,96,50,0,0,0,0,0,0,0,0,0,0
47,47,10001,武士,2364,247,146,5,98,51,98,51,0,0,0,0,0,0,0,0,0,0
48,48,10001,武士,2406,252,149,5,100,52,100,52,0,0,0,0,0,0,0,0,0,0
49,49,10001,武士,2448,257,152,5,102,53,102,53,0,0,0,0,0,0,0,0,0,0
50,50,10001,武士,2490,262,155,5,104,54,104,54,0,0,0,0,0,0,0,0,0,0
51,1,10011,护卫,432,17,8,5,6,5,6,5,0,0,0,0,0,0,0,0,0,0
52,2,10011,护卫,474,22,11,5,8,6,8,6,0,0,0,0,0,0,0,0,0,0
53,3,10011,护卫,521,28,14,5,9,8,9,8,0,0,0,0,0,0,0,0,0,0
54,4,10011,护卫,574,35,18,5,11,9,11,9,0,0,0,0,0,0,0,0,0,0
55,5,10011,护卫,819,58,30,5,12,10,12,10,0,0,0,0,0,0,0,0,0,0
56,6,10011,护卫,911,69,35,5,14,11,14,11,0,0,0,0,0,0,0,0,0,0
57,7,10011,护卫,1003,80,40,5,16,12,16,12,0,0,0,0,0,0,0,0,0,0
58,8,10011,护卫,1095,91,45,5,18,13,18,13,0,0,0,0,0,0,0,0,0,0
59,9,10011,护卫,1187,102,50,5,20,14,20,14,0,0,0,0,0,0,0,0,0,0
60,10,10011,护卫,1279,113,55,5,22,15,22,15,0,0,0,0,0,0,0,0,0,0
61,11,10011,护卫,1371,124,60,5,24,16,24,16,0,0,0,0,0,0,0,0,0,0
62,12,10011,护卫,1463,135,65,5,26,17,26,17,0,0,0,0,0,0,0,0,0,0
63,13,10011,护卫,1555,146,70,5,28,18,28,18,0,0,0,0,0,0,0,0,0,0
64,14,10011,护卫,1647,157,75,5,30,19,30,19,0,0,0,0,0,0,0,0,0,0
65,15,10011,护卫,1739,168,80,5,32,20,32,20,0,0,0,0,0,0,0,0,0,0
66,16,10011,护卫,1831,179,85,5,34,21,34,21,0,0,0,0,0,0,0,0,0,0
67,17,10011,护卫,1923,190,90,5,36,22,36,22,0,0,0,0,0,0,0,0,0,0
68,18,10011,护卫,2015,201,95,5,38,23,38,23,0,0,0,0,0,0,0,0,0,0
69,19,10011,护卫,2107,212,100,5,40,24,40,24,0,0,0,0,0,0,0,0,0,0
70,20,10011,护卫,2199,223,105,5,42,25,42,25,0,0,0,0,0,0,0,0,0,0
71,21,10011,护卫,2291,234,110,5,44,26,44,26,0,0,0,0,0,0,0,0,0,0
72,22,10011,护卫,2383,245,115,5,46,27,46,27,0,0,0,0,0,0,0,0,0,0
73,23,10011,护卫,2475,256,120,5,48,28,48,28,0,0,0,0,0,0,0,0,0,0
74,24,10011,护卫,2567,267,125,5,50,29,50,29,0,0,0,0,0,0,0,0,0,0
75,25,10011,护卫,2659,278,130,5,52,30,52,30,0,0,0,0,0,0,0,0,0,0
76,26,10011,护卫,2751,289,135,5,54,31,54,31,0,0,0,0,0,0,0,0,0,0
77,27,10011,护卫,2843,300,140,5,56,32,56,32,0,0,0,0,0,0,0,0,0,0
78,28,10011,护卫,2935,311,145,5,58,33,58,33,0,0,0,0,0,0,0,0,0,0
79,29,10011,护卫,3027,322,150,5,60,34,60,34,0,0,0,0,0,0,0,0,0,0
80,30,10011,护卫,3119,333,155,5,62,35,62,35,0,0,0,0,0,0,0,0,0,0
81,31,10011,护卫,3211,344,160,5,64,36,64,36,0,0,0,0,0,0,0,0,0,0
