rarity,color,item_id,item_num,probability,get_repeatedly,ocp_id,ocp_name,ocp_probability,,,,,,,,,,,,,,,,,
v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string,v:number,,,,,,,,,,,,,,,,,
资质稀有度（1-普通奖励；2-稀有；3-超稀有；4-最稀有）,资质颜色,资质星级,资质数值,获得权重,每次未抽到时权重增加值,职业ID,职业名称,职业权重,,,,,,,,,,,,,,,,,
1,绿色,1,11,10,0,10001,战士,100,,,,,,,,,,,,,,,,,
1,绿色,1,12,20,0,20001,猎人,100,,,,,,,,,,,,,,,,,
1,绿色,1,13,40,0,30001,学者,100,,,,,,,,,,,,,,,,,
1,绿色,1,14,60,0,,,,,,,,,,,,,,,,,,,,
1,绿色,1,15,80,0,,,,,,,,,,,,,,,,,,,,
1,绿色,1,16,80,0,,,,,,,,,,,,,,,,,,,,
1,绿色,1,17,60,0,,,,,,,,,,,,,,,,,,,,
1,绿色,1,18,40,0,,,,,,,,,,,,,,,,,,,,
1,绿色,1,19,20,0,,,,,,,,,,,,,,,,,,,,
1,绿色,1,20,10,0,,,,,,,,,,,,,,,,,,,,
2,蓝色,2,21,10,0,,,,,,,,,,,,,,,,,,,,
2,蓝色,2,22,20,0,,,,,,,,,,,,,,,,,,,,
2,蓝色,2,23,40,0,,,,,,,,,,,,,,,,,,,,
2,蓝色,2,24,60,0,,,,,,,,,,,,,,,,,,,,
2,蓝色,2,25,80,0,,,,,,,,,,,,,,,,,,,,
2,蓝色,2,26,80,0,,,,,,,,,,,,,,,,,,,,
2,蓝色,2,27,60,0,,,,,,,,,,,,,,,,,,,,
2,蓝色,2,28,40,0,,,,,,,,,,,,,,,,,,,,
2,蓝色,2,29,20,0,,,,,,,,,,,,,,,,,,,,
2,蓝色,2,30,10,0,,,,,,,,,,,,,,,,,,,,
3,紫色,3,31,10,0,,,,,,,,,,,,,,,,,,,,
3,紫色,3,32,20,0,,,,,,,,,,,,,,,,,,,,
3,紫色,3,33,40,0,,,,,,,,,,,,,,,,,,,,
3,紫色,3,34,60,0,,,,,,,,,,,,,,,,,,,,
3,紫色,3,35,80,0,,,,,,,,,,,,,,,,,,,,
3,紫色,3,36,80,0,,,,,,,,,,,,,,,,,,,,
3,紫色,3,37,60,0,,,,,,,,,,,,,,,,,,,,
3,紫色,3,38,40,0,,,,,,,,,,,,,,,,,,,,
3,紫色,3,39,20,0,,,,,,,,,,,,,,,,,,,,
3,紫色,3,40,10,0,,,,,,,,,,,,,,,,,,,,
4,橙色,4,41,10,0,,,,,,,,,,,,,,,,,,,,
4,橙色,4,42,20,0,,,,,,,,,,,,,,,,,,,,
4,橙色,4,43,40,0,,,,,,,,,,,,,,,,,,,,
4,橙色,4,44,60,0,,,,,,,,,,,,,,,,,,,,
4,橙色,4,45,80,0,,,,,,,,,,,,,,,,,,,,
4,橙色,4,46,80,0,,,,,,,,,,,,,,,,,,,,
4,橙色,4,47,60,0,,,,,,,,,,,,,,,,,,,,
4,橙色,4,48,40,0,,,,,,,,,,,,,,,,,,,,
4,橙色,4,49,20,0,,,,,,,,,,,,,,,,,,,,
4,橙色,4,50,10,0,,,,,,,,,,,,,,,,,,,,
