id,name,icon,type,desc,cost_lv,cost_money,cost_diamond,equipment_1_id,equipment_2_id,equipment_3_id,equipment_4_id,equipment_5_id,equipment_6_id,equipment_beginning_id,Skill_id,grade,hp,atk,def,hit,dodge,spineId,initSex,dress_b,dress_g
v:number,v:string,v:string,v:number,v:string,v:number,v:number,v:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,list:number,list:number
英雄ID,英雄名称,图标,职业      1-战士     2-猎人    3-辅助,英雄介绍,招募等级,雇佣价格(金币),雇佣价格(钻石),装备插槽1_id,装备插槽2_id,装备插槽3_id,装备插槽4_id,装备插槽5_id,装备插槽6_id,默认装备id,技能id,总战力,生命值,攻击,防御,命中值,闪避值,spineId,性别 1_男2_女,默认展示男性装备对应dressID,默认展示女性装备对应dressID
1,幸存者,xingcunzhe,1,经历了很多苦难存活下来的人_有很强的求生欲_,1,0,0,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：150,1:2:3,31,100,4,3,50,5,1,1,20101:20128:20133:20141:20143:20158,20117:20127:20129:20139:20144
2,突击手,duxingxia,1,作战较为勇猛_总是冲锋在前_,10,10000,50,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：151,4:5:6,60,200,4,3,50,5,1,2,20108:20128:20129:20139:20144:20159,20108:20128:20129:20139:20144:20159
3,护卫,niuzai,1,拥有强健的体魄_能够承受很强的攻击_,22,50000,150,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：152,7:8:9,40,300,4,3,50,5,1,1,20101:20128:20133:20141:20143:20158,20117:20127:20129:20139:20144
4,独行侠,huwei,1,个人能力很强_似乎不太愿意与别人合作_,32,250000,300,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：153,1:2:4,32,400,4,3,50,5,1,2,20108:20128:20129:20139:20144:20159,20108:20128:20129:20139:20144:20159
5,武士,wushi,1,有着卓越的近战技巧_攻防兼备_,46,2500000,500,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：154,4:5:7,61,500,4,3,50,5,1,1,20101:20128:20133:20141:20143:20158,20117:20127:20129:20139:20144
6,毁灭战士,kuangrejiaotu,1,拥有强大破坏力的重装型战士_,53,5000000,750,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：155,7:8:10,41,600,4,3,50,5,1,2,20108:20128:20129:20139:20144:20159,20108:20128:20129:20139:20144:20159
7,射手,zhentan,2,拥有出的射击技巧_从远处打击敌人_,1,0,0,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：156,1:2:5,33,700,4,3,50,5,1,1,20101:20128:20133:20141:20143:20158,20117:20127:20129:20139:20144
8,狙击手,youchai,2,总是能从千里之外击中敌人_枪枪致命_,10,10000,50,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：157,4:5:8,62,800,4,3,50,5,1,2,20108:20128:20129:20139:20144:20159,20108:20128:20129:20139:20144:20159
9,侦探,guyongbin,2,不放过一点蛛丝马迹_能够洞察敌人的弱点_,22,50000,150,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：158,7:8:11,42,900,4,3,50,5,1,1,20101:20128:20133:20141:20143:20158,20117:20127:20129:20139:20144
10,枪械师,baopozhuanjia,2,对枪械构造极为了解_能够制造出威力强大的枪械_,32,250000,300,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：159,1:2:6,34,1000,4,3,50,5,1,2,20108:20128:20129:20139:20144:20159,20108:20128:20129:20139:20144:20159
11,忍者,qiangxieshi,2,在黑夜中能够悄无声息的行动_无声且致命_,46,2500000,500,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：160,4:5:9,63,1100,4,3,50,5,1,1,20101:20128:20133:20141:20143:20158,20117:20127:20129:20139:20144
12,银翼杀手,yinyishashou,2,拥有出色的高科技义体_用科技极大化增强了人类的作战能力_,53,5000000,750,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：161,7:8:12,43,1200,4,3,50,5,1,2,20108:20128:20129:20139:20144:20159,20108:20128:20129:20139:20144:20159
13,医生,fayi,3,有着出色的医学知识_能够治疗一切伤病_,1,0,0,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：162,1:2:7,35,1300,4,3,50,5,1,1,20101:20128:20133:20141:20143:20158,20116:20127:20129:20139:20144
14,机械师,shengjiaotu,3,无与伦比的工程师_快速的修理盔甲_,10,10000,50,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：163,4:5:10,64,1400,4,3,50,5,1,2,20108:20128:20129:20139:20144:20159,20108:20128:20129:20139:20144:20159
15,能量专家,jiaoyuan,3,能够操强大的能量打击敌人_,22,50000,150,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：164,7:8:13,44,1500,4,3,50,5,1,1,20101:20128:20133:20141:20143:20158,20117:20127:20129:20139:20144
16,教授,tegong,3,熟知各种科技知识_能够提供强大的科技支持_,32,250000,300,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：165,1:2:8,36,1600,4,3,50,5,1,2,20108:20128:20129:20139:20144:20159,20108:20128:20129:20139:20144:20159
17,幽灵,renzhe,3,总是神出鬼没_不知不觉中就夺走敌人性命_,46,2500000,500,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：166,4:5:11,65,1700,4,3,50,5,1,1,20101:20128:20133:20141:20143:20158,20117:20127:20129:20139:20144
18,大师,wuqidashi,3,精通大部分武器_熟练使用它们来击败敌人_,53,5000000,750,1:2:3:4:5:6:7:8,9:10:11,12:13,14:15,16:17,18:19:20:21:22:23,104:125：133：136：167,7:8:14,45,1800,4,3,50,5,1,2,20108:20128:20129:20139:20144:20159,20108:20128:20129:20139:20144:20159
