level,exp,equip_lv
v:number,v:number,v:number
英雄等级,经验,装备阶级
1,0,1
2,30,1
3,150,2
4,400,2
5,1005,2
6,1627,3
7,2455,3
8,3526,3
9,4884,4
10,6578,4
11,8666,4
12,11215,5
13,14300,5
14,18012,5
15,22453,5
16,27740,6
17,34009,6
18,41418,6
19,50147,7
20,60404,7
21,72426,7
22,86490,8
23,102910,8
24,122048,8
25,144323,8
26,170211,9
27,200261,9
28,235104,9
29,275462,10
30,322165,10
31,376162,10
32,438546,10
33,510565,10
34,593652,10
35,689449,10
36,799837,10
37,926973,10
38,1073325,10
39,1241721,10
40,1435402,10
