X,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
103,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
104,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
105,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
106,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,8,8,6,6,4,4,1,1,0,0,0,0,0,0,3,3,10,10,12,12,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,8,8,6,6,4,4,1,1,0,0,0,0,0,0,3,3,10,10,12,12,-1,-1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,8,8,6,6,4,4,1,1,0,0,0,0,0,0,3,3,10,10,12,12,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,8,8,6,6,4,4,1,1,0,0,0,0,0,0,3,3,10,10,12,12,-1,-1
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,8,8,6,6,4,4,1,1,0,0,0,0,0,0,3,3,10,10,12,12,-1,-1
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,8,8,6,6,4,4,1,1,0,0,0,0,0,0,3,3,10,10,12,12,-1,-1
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,8,8,6,6,4,4,2,2,2,2,2,2,2,2,3,3,10,10,12,12,-1,-1
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,8,8,6,6,4,4,2,2,2,2,2,2,2,2,3,3,10,10,12,12,-1,-1
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,8,8,6,6,5,5,5,5,5,5,5,5,5,5,5,5,10,10,12,12,-1,-1
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,8,8,6,6,5,5,5,5,5,5,5,5,5,5,5,5,10,10,12,12,-1,-1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,12,12,-1,-1
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,12,12,-1,-1
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,-1,-1
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,-1,-1
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,-1,-1
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,-1,-1
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1,-1
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1,-1
