id,instance_name,instance_type,difficulty,instance_id,unlock_num,ic_probability,box_probability,ic_id,box_id
v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
副本id,副本名称,副本类型:1-普通副本/2-BOSS副本,难度,对应副本id,解锁所需通关次数,ic卡获得权重(客户端显示),宝箱获得权重(客户端显示),副本IC卡id（客户端显示）,副本宝箱id（客户端显示）
1,金伯利矿坑.普通.1阶,1,1,500,,,,,
2,金伯利矿坑.普通.2阶,1,2,501,,,,,
3,金伯利矿坑.普通.3阶,1,3,502,,,,,
4,金伯利矿坑.普通.4阶,1,4,503,,,,,
5,金伯利矿坑.普通.5阶,1,5,504,,,,,
6,金伯利矿坑.普通.6阶,1,6,505,,,,,
7,金伯利矿坑.普通.7阶,1,7,506,,,,,
8,金伯利矿坑.普通.8阶,1,8,507,,,,,
9,金伯利矿坑.普通.9阶,1,9,508,,,,,
10,金伯利矿坑.Boss.1阶,2,1,600,3,3000,7000,60009,50009
11,金伯利矿坑.Boss.2阶,2,2,601,3,3500,6500,60009,50009
12,金伯利矿坑.Boss.3阶,2,3,602,3,4000,6000,60009,50009
13,金伯利矿坑.Boss.4阶,2,4,603,4,4500,5500,60009,50009
14,金伯利矿坑.Boss.5阶,2,5,604,4,5000,5000,60009,50009
15,金伯利矿坑.Boss.6阶,2,6,605,4,5500,4500,60009,50009
16,金伯利矿坑.Boss.7阶,2,7,606,5,6000,4000,60009,50009
17,金伯利矿坑.Boss.8阶,2,8,607,5,6500,3500,60009,50009
18,金伯利矿坑.Boss.9阶,2,9,608,5,7000,3000,60009,50009
19,金伯利矿坑.Boss.10阶,2,10,609,5,7500,2500,60009,50009
