id,instance_name,instance_group,group_index,instance_group_name,instance_type,scenes,instance_atlas,instance_icon,instance_bg,monster1_id,monster2_id,monster3_id,monster4_id,monster5_id,monster6_id,monster7_id,monster8_id,monster9_id,monster10_id,boss_id,reward_type,reward_id,reward_num,team_strength,recommend_power
v:number,v:string,v:number,v:number,v:number,v:number,v:string,v:string,v:string,v:string,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,v:number,list:number,list:number,list:number,v:number,v:number
据点ID,据点名称,副本组,组id,副本名字,副本类型:1-普通副本/2-BOSS副本,副本场景名字,副本图集（客户端显示）,副本图标（客户端显示）,出战预览背景图,第1波怪物ID,第2波怪物ID,第3波怪物ID,第4波怪物ID,第5波怪物ID,第6波怪物ID,第7波怪物ID,第8波怪物ID,第9波怪物ID,第10波怪物ID,boss的id(用于客户端显示boss头像),奖励道具类型（列表）,奖励道具id（列表）,奖励道具数量（列表）,副本队伍评估战力,怪物平均战力
1,据点1,1,1,破损写字楼,1,Level_201,ruins_atlas,jianzhu1,feixu_xiaotuxzil,100101:100201,,,,,,,,,,100101,49:50,70001:80001,11:1,5110,1022
2,据点2,1,2,破损写字楼,1,Level_201,ruins_atlas,jianzhu1,feixu_xiaotuxzil,100102:100202,,,,,,,,,,100101,49:50,70001:80002,15:1,5470,1094
3,据点3,1,3,破损写字楼,1,Level_201,ruins_atlas,jianzhu1,feixu_xiaotuxzil,100103:100203,100103:100203,,,,,,,,,100101,49:50,70001:80003,20:2,5865,1173
4,据点4,1,4,破损写字楼,1,Level_201,ruins_atlas,jianzhu1,feixu_xiaotuxzil,100104:100204,100104:100204,,,,,,,,,100101,49:50,70001:80001,24:2,6285,1257
5,据点5,1,5,破损写字楼,1,Level_201,ruins_atlas,jianzhu1,feixu_xiaotuxzil,100105:100105:100205,100105:100105:100205,,,,,,,,,100101,49:50,70001:80002,46:4,6735,1347
6,据点6,1,6,破损写字楼,1,Level_201,ruins_atlas,jianzhu1,feixu_xiaotuxzil,100106:100106:100206,100106:100106:100206:100206,,,,,,,,,100102,49:50,70001:80003,51:4,7805,1561
7,据点7,1,7,破损写字楼,1,Level_201,ruins_atlas,jianzhu1,feixu_xiaotuxzil,100107:100107:100207,100107:100107:100207,100107:100107:100207:100207,,,,,,,,100102,49:50,70001:80001,53:4,8350,1670
8,据点8,1,8,破损写字楼,1,Level_201,ruins_atlas,jianzhu1,feixu_xiaotuxzil,100108:100108:100208,100108:100108:100208:100208,100108:100108:100208:100208,,,,,,,,100102,49:50,70001:80002,62:5,8940,1788
9,据点9,1,9,破损写字楼,1,Level_201,ruins_atlas,jianzhu1,feixu_xiaotuxzil,100109:100109:100209,100109:100109:100209:100209,100109:100109:100209:100209:100209,,,,,,,,100102,49:50,70001:80003,71:5,9545,1909
10,据点10,1,10,破损写字楼,2,Level_201,ruins_atlas,jianzhu1,feixu_xiaotuxzil,100110:100110:100210:100210,100110:100110:100210:100210,100110:100110:100210:100301:100210,,,,,,,,100301,49:50,70001:80001,88:7,14765,2953
11,据点1,2,1,半埋的公寓,1,Level_202,ruins_atlas,jianzhu2,feixu_xiaotu01,101101:101101:101201,101101:101101:101201:101201,,,,,,,,,101101,49:50,70001:80002,15:1,8925,1785
12,据点2,2,2,半埋的公寓,1,Level_202,ruins_atlas,jianzhu2,feixu_xiaotu01,101102:101102:101202,101102:101102:101202,101102:101102:101202:101202,,,,,,,,101101,49:50,70001:80003,22:2,9545,1909
13,据点3,2,3,半埋的公寓,1,Level_202,ruins_atlas,jianzhu2,feixu_xiaotu01,101103:101103:101203,101103:101103:101203:101203:101203,101103:101103:101203:101203:101203,,,,,,,,101101,49:50,70001:80001,28:2,10225,2045
14,据点4,2,4,半埋的公寓,1,Level_202,ruins_atlas,jianzhu2,feixu_xiaotu01,101104:101104:101204,101104:101104:101204:101204,101104:101104:101204:101204:101204,,,,,,,,101101,49:50,70001:80002,34:3,10920,2184
15,据点5,2,5,半埋的公寓,1,Level_202,ruins_atlas,jianzhu2,feixu_xiaotu01,101105:101105:101205,101105:101105:101205,101105:101105:101205:101205,101105:101105:101205:101205,101105:101105:101205:101205:101205,,,,,,101101,49:50,70001:80003,65:5,11665,2333
16,据点6,2,6,半埋的公寓,1,Level_202,ruins_atlas,jianzhu2,feixu_xiaotu01,101106:101106:101206:101206,101106:101106:101206:101206,101106:101106:101206:101206,101106:101106:101206:101206:101206,101106:101106:101206:101206:101206,,,,,,101102,49:50,70001:80001,71:5,13400,2680
17,据点7,2,7,半埋的公寓,1,Level_202,ruins_atlas,jianzhu2,feixu_xiaotu01,101107:101107:101207,101107:101107:101207:101207,101107:101107:101207:101207,101107:101107:101207:101207,101107:101107:101207:101207:101207,101107:101107:101207:101207:101207,,,,,101102,49:50,70001:80002,74:6,14640,2928
18,据点8,2,8,半埋的公寓,1,Level_202,ruins_atlas,jianzhu2,feixu_xiaotu01,101108:101108:101208:101208,101108:101108:101208:101208,101108:101108:101208:101208:101208,101108:101108:101208:101208:101208,101108:101108:101208:101208:101208,101108:101108:101208:101208:101208,,,,,101102,49:50,70001:80003,86:7,15585,3117
19,据点9,2,9,半埋的公寓,1,Level_202,ruins_atlas,jianzhu2,feixu_xiaotu01,101109:101109:101209:101209,101109:101109:101209:101209,101109:101109:101209:101209,101109:101109:101209:101209,101109:101109:101209:101209:101209,101109:101109:101209:101209:101209,101109:101109:101209:101209:101209,,,,101102,49:50,70001:80001,99:8,16370,3274
20,据点10,2,10,半埋的公寓,2,Level_202,ruins_atlas,jianzhu2,feixu_xiaotu01,101110:101110:101210:101210,101110:101110:101210:101210:101210,101110:101110:101210:101210:101210,101110:101110:101210:101210:101210,101110:101110:101210:101210:101210,101110:101110:101210:101210:101210,101110:101110:101210:101301:101210,,,,101301,49:50,70001:80002,123:9,25055,5011
21,据点1,3,1,地标大厦,1,Level_203,ruins_atlas,jianzhu3,feixu_xiaotudatang,102101:102101:102201,102101:102101:102201:102201,102101:102101:102201:102201:102201,,,,,,,,102101,49:50,70001:80003,20:2,16045,3209
22,据点2,3,2,地标大厦,1,Level_203,ruins_atlas,jianzhu3,feixu_xiaotudatang,102102:102102:102202,102102:102102:102202,102102:102102:102202:102202,102102:102102:102202:102202:102202,,,,,,,102101,49:50,70001:80001,28:2,17555,3511
23,据点3,3,3,地标大厦,1,Level_203,ruins_atlas,jianzhu3,feixu_xiaotudatang,102103:102103:102203:102203,102103:102103:102203:102203,102103:102103:102203:102203:102203,102103:102103:102203:102203:102203,,,,,,,102101,49:50,70001:80002,36:3,18705,3741
24,据点4,3,4,地标大厦,1,Level_203,ruins_atlas,jianzhu3,feixu_xiaotudatang,102104:102104:102204:102204,102104:102104:102204:102204,102104:102104:102204:102204,102104:102104:102204:102204,102104:102104:102204:102204:102204,,,,,,102101,49:50,70001:80003,44:3,19660,3932
25,据点5,3,5,地标大厦,1,Level_203,ruins_atlas,jianzhu3,feixu_xiaotudatang,102105:102105:102205:102205,102105:102105:102205:102205:102205,102105:102105:102205:102205:102205,102105:102105:102205:102205:102205,102105:102105:102205:102205:102205,,,,,,102101,49:50,70001:80001,83:6,20530,4106
