level,type,atlas,icon,stars,luxury_num,buff_type,buff_val,luxury_dec
v:number,v:string,v:string,v:string,v:number,v:number,v:number,v:number,v:string
等级,等级名称,图集,对应图标,等级对应星数,所需豪华度,对应BUFF类型1:减少防具架/散件架升级所需时间X%~2:减少冷兵器架/枪械架升级所需时间X%~3:增加店内顾客上限+X~4:增加所有防具售价X%~5:增加所有武器售价X%~6:增加所有散件售价X%,BUFF数值,豪华度描述
1,简陋,luxury_atlas,haohuadu_dengji1,1,85,1,2,壁垒中随处可见的陋室，看起来颇为破败，装扮一下可加快店铺的发展！
2,简陋,luxury_atlas,haohuadu_dengji1,2,250,1,4,壁垒中随处可见的陋室，看起来颇为破败，装扮一下可加快店铺的发展！
3,简陋,luxury_atlas,haohuadu_dengji1,3,520,1,6,壁垒中随处可见的陋室，看起来颇为破败，装扮一下可加快店铺的发展！
4,简陋,luxury_atlas,haohuadu_dengji1,4,915,1,8,壁垒中随处可见的陋室，看起来颇为破败，装扮一下可加快店铺的发展！
5,简陋,luxury_atlas,haohuadu_dengji1,5,1455,1,10,壁垒中随处可见的陋室，看起来颇为破败，装扮一下可加快店铺的发展！
6,标准,luxury_atlas,haohuadu_dengji2,1,2245,2,2,小店已初具规模，不过还是需要用心设计一番才能在壁垒中脱颖而出！
7,标准,luxury_atlas,haohuadu_dengji2,2,3135,2,4,小店已初具规模，不过还是需要用心设计一番才能在壁垒中脱颖而出！
8,标准,luxury_atlas,haohuadu_dengji2,3,4150,2,6,小店已初具规模，不过还是需要用心设计一番才能在壁垒中脱颖而出！
9,标准,luxury_atlas,haohuadu_dengji2,4,5275,2,8,小店已初具规模，不过还是需要用心设计一番才能在壁垒中脱颖而出！
10,标准,luxury_atlas,haohuadu_dengji2,5,6515,2,10,小店已初具规模，不过还是需要用心设计一番才能在壁垒中脱颖而出！
11,精致,luxury_atlas,haohuadu_dengji3,1,8315,3,1,琳琅满目的商品摆满货架，精致的小店已成为顾客们的首选！
12,精致,luxury_atlas,haohuadu_dengji3,2,10335,3,2,琳琅满目的商品摆满货架，精致的小店已成为顾客们的首选！
13,精致,luxury_atlas,haohuadu_dengji3,3,12520,3,3,琳琅满目的商品摆满货架，精致的小店已成为顾客们的首选！
14,精致,luxury_atlas,haohuadu_dengji3,4,14940,3,4,琳琅满目的商品摆满货架，精致的小店已成为顾客们的首选！
15,精致,luxury_atlas,haohuadu_dengji3,5,17590,3,5,琳琅满目的商品摆满货架，精致的小店已成为顾客们的首选！
16,豪华,luxury_atlas,haohuadu_dengji4,1,21840,4,2,崭新的防具在豪华装饰店铺的衬托下，价值将得到进一步的提升！
17,豪华,luxury_atlas,haohuadu_dengji4,2,26590,4,4,崭新的防具在豪华装饰店铺的衬托下，价值将得到进一步的提升！
18,豪华,luxury_atlas,haohuadu_dengji4,3,31840,4,6,崭新的防具在豪华装饰店铺的衬托下，价值将得到进一步的提升！
19,豪华,luxury_atlas,haohuadu_dengji4,4,37590,4,8,崭新的防具在豪华装饰店铺的衬托下，价值将得到进一步的提升！
20,豪华,luxury_atlas,haohuadu_dengji4,5,43840,4,10,崭新的防具在豪华装饰店铺的衬托下，价值将得到进一步的提升！
21,奢华,luxury_atlas,haohuadu_dengji5,1,57340,5,2,宫殿般的奢华布局，反射着武器耀眼的高级金属色泽，价值也随之变高了！
22,奢华,luxury_atlas,haohuadu_dengji5,2,71840,5,4,宫殿般的奢华布局，反射着武器耀眼的高级金属色泽，价值也随之变高了！
23,奢华,luxury_atlas,haohuadu_dengji5,3,87340,5,6,宫殿般的奢华布局，反射着武器耀眼的高级金属色泽，价值也随之变高了！
24,奢华,luxury_atlas,haohuadu_dengji5,4,103840,5,8,宫殿般的奢华布局，反射着武器耀眼的高级金属色泽，价值也随之变高了！
25,奢华,luxury_atlas,haohuadu_dengji5,5,121340,5,10,宫殿般的奢华布局，反射着武器耀眼的高级金属色泽，价值也随之变高了！
26,至尊,luxury_atlas,haohuadu_dengji6,1,195340,6,2,这完美的设计象征人类艺术的巅峰，但这不是终点，愿你能带领壁垒中的人们走向未来！
27,至尊,luxury_atlas,haohuadu_dengji6,2,273340,6,4,这完美的设计象征人类艺术的巅峰，但这不是终点，愿你能带领壁垒中的人们走向未来！
28,至尊,luxury_atlas,haohuadu_dengji6,3,355340,6,6,这完美的设计象征人类艺术的巅峰，但这不是终点，愿你能带领壁垒中的人们走向未来！
29,至尊,luxury_atlas,haohuadu_dengji6,4,441340,6,8,这完美的设计象征人类艺术的巅峰，但这不是终点，愿你能带领壁垒中的人们走向未来！
30,至尊,luxury_atlas,haohuadu_dengji6,5,531340,6,10,这完美的设计象征人类艺术的巅峰，但这不是终点，愿你能带领壁垒中的人们走向未来！
