id,shopkeeper_lv,start_time,interval_time_min,interval_time_max,npc_id,type,resource_id,daily_limit,min,max
v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
序号,低于店主的指定等级不会触发,开始刷新时间(s)：距离资源用掉超过80%的时间点开始计时/类型3为从登录开始计时,刷新间隔最小值(s)：以上一个同类型NPC离开时间来计时,刷新间隔最大值(s)：以上一个同类型NPC离开时间来计时,npcid,贩卖类型 1-资源贩卖 2-副本资源贩卖 3-装备收购：不同类型分开进行计时,资源id-必须用户当前拥有的资源，并且资源少于80%（普通资源为该资源上限来计算，副本资源按照堆叠上限来计算）开始触发；在刷新冷却时间内不触发，同一时间只能触发一个,该类型每日出现次数上限,最小需求数量-普通资源为百分比,最大需求数量
20001,10,60,600,7200,9999,1,20001,4,60,80
20002,10,60,600,7200,9999,1,20002,4,60,80
20003,10,60,600,7200,9999,1,20003,4,60,80
20004,10,60,600,7200,9999,1,20004,4,60,80
20005,10,60,600,7200,9999,1,20005,4,40,59
20006,10,60,600,7200,9999,1,20006,4,40,59
20007,10,60,600,7200,9999,1,20007,4,40,59
20008,10,60,600,7200,9999,1,20008,4,40,59
20009,10,60,600,7200,9999,1,20009,4,20,39
20010,10,60,600,7200,9999,1,20010,4,20,39
30001,10,120,1200,3600,9999,2,30001,1,8,20
30002,10,120,1200,3600,9999,2,30002,1,8,20
30003,10,120,1200,3600,9999,2,30003,1,8,20
30004,10,120,1200,3600,9999,2,30004,1,8,20
30005,10,120,1200,3600,9999,2,30005,1,8,20
30006,10,120,1200,3600,9999,2,30006,1,8,20
30007,10,120,1200,3600,9999,2,30007,1,8,18
30008,10,120,1200,3600,9999,2,30008,1,8,18
30009,10,120,1200,3600,9999,2,30009,1,8,18
30010,10,120,1200,3600,9999,2,30010,1,8,16
30011,10,120,1200,3600,9999,2,30011,1,8,16
30012,10,120,1200,3600,9999,2,30012,1,8,16
30013,10,120,1200,3600,9999,2,30013,1,7,14
30014,10,120,1200,3600,9999,2,30014,1,7,14
30015,10,120,1200,3600,9999,2,30015,1,7,14
30016,10,120,1200,3600,9999,2,30016,1,6,12
30017,10,120,1200,3600,9999,2,30017,1,6,12
30018,10,120,1200,3600,9999,2,30018,1,6,12
30019,10,120,1200,3600,9999,2,30019,1,5,10
30020,10,120,1200,3600,9999,2,30020,1,5,10
30021,10,120,1200,3600,9999,2,30021,1,5,10
