id,guild_type,rank_lv_min,rank_lv_max,name
v:number,v:number,v:number,v:number,v:string
排行榜分段id,排行榜类型：1-个人价值榜/2-个人豪华度榜/3-公会总价值榜/4-英雄战力榜,最小等级（type为3则是建筑-商会联盟-id-2200的等级/其它为店主等级）,最大等级（type为3则是建筑-商会联盟-id-2200的等级/其它为店主等级）,段位名字
1,1,1,20,Ⅰ.废土创业
2,1,21,35,Ⅱ.经营入门
3,1,36,45,Ⅲ.生财有道
4,1,46,55,Ⅳ.亿万富豪
5,1,56,65,Ⅴ.商业大亨
6,1,66,99,Ⅵ.传奇商人
7,2,1,20,Ⅰ.废土创业
8,2,21,35,Ⅱ.经营入门
9,2,36,45,Ⅲ.生财有道
10,2,46,55,Ⅳ.亿万富豪
11,2,56,65,Ⅴ.商业大亨
12,2,66,99,Ⅵ.传奇商人
13,3,1,5,Ⅰ.小型联盟
14,3,6,10,Ⅱ.大型联盟
15,3,11,20,Ⅲ.巨型联盟
16,4,1,20,Ⅰ.小趴菜
17,4,21,35,Ⅱ.初入废土
18,4,36,45,Ⅲ.废土精英
19,4,46,55,Ⅳ.所向披靡
20,4,56,65,Ⅴ.国士无双
21,4,66,99,Ⅵ.君临天下
