id,unlock_type,unlock_value,group,help_desc,index,desc,if_conditoon,conditon_id,jump_yes,jump_no,operation_id
v:number,v:number,v:number,v:number,v:string,v:number,v:string,v:number,v:number,v:number,v:number,v:number
id,开放类型1：引导id；2：店主等级,开放参数,组别,辅助描述,序号,描述,是检测还是条件0检测；1代表行为,条件1,是-跳转id,否-跳转id,操作id组界面或提示点击
1001,1,99999,1,,1,,1,,,,1101
1002,1,99999,1,,2,,0,2101,1004,,
1003,1,99999,1,,3,,1,,,,1201
2001,1,99999,2,,1,,1,,,,3101
2002,1,99999,2,,2,,1,,,,3201
3001,1,99999,3,,1,,0,3101,3002,,
3002,1,99999,3,,2,,1,,,,3102
3003,1,99999,3,,3,,1,,,,3103
4001,1,99999,4,,1,,0,4101,,4002,
4002,1,99999,4,,2,,1,,,,
5001,1,99999,5,,1,,1,,,,1101
5002,1,99999,5,,2,,0,2101,1004,,
5003,1,99999,5,,3,,1,,,,1201
6001,1,99999,6,,1,,1,,,,6101
7001,1,99999,7,,1,,1,,,,7101
7002,1,99999,7,,2,,1,,,,7201
8001,1,99999,8,,1,,1,,,,8101
8002,1,99999,8,,2,,1,,,,8201
12001,1,99999,12,,1,,1,,,,12101
12002,1,99999,12,,2,,1,,,,12201
13001,1,99999,13,,1,,1,,,,13101
17001,1,99999,17,,1,,1,,,,12101
17002,1,99999,17,,2,,1,,,,12202
18001,1,99999,18,,1,,1,,,,2101
18002,1,99999,18,,2,,1,,,,2201
19001,1,99999,19,,1,,1,,,,2101
19002,1,99999,19,,2,,1,,,,2201
20001,1,99999,20,,1,,1,,,,2101
20002,1,99999,20,,2,,1,,,,2201
21001,1,99999,21,,1,,1,,,,21101
21002,1,99999,21,,2,,1,,,,21201
22001,1,99999,22,,1,,1,,,,1101
22002,1,99999,22,,2,,0,2101,1004,,
22003,1,99999,22,,3,,1,,,,1201
