id,type,type_des,parameter_1,parameter_2,parameter_3,task_scenes,task_guide_1,task_guide_2,task_guide_3,task_guide_4,task_guide_5,dialog,special_instructions
v:number,v:string,v:string,list:number,list:number,list:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string,v:string
id,对应的任务,描述,完成参数{0},完成参数{1},完成参数{2},operation表中的id；前往的界面,任务引导1点击区域,任务引导2点击区域,任务引导3点击区域,任务引导4点击区域,任务引导5点击区域,首步引导找不到展示对话,是否直接读取描述
1,赚取金币：特指通过贩卖装备给顾客获得的金币数量，达到指定数量任务完成,出售装备赚取新币x{0},10000,-1,-1,IndoorScene,26034,20037,20062,,,通过卖出装备给顾客可以获得店主经验，卖出装备等阶越高，获得的经验奖励越多,0
2,制作指定类的装备：指定用户制作小类的装备数量（如指定手枪，突击步枪，散弹枪等类别）,制作{0}类装备x{1},1,10,-1,IndoorScene,20002,20062,,,,不同装备类型的作用不尽相同,0
3,解锁装备：解锁指定数量装备；,解锁任意装备x{0},3,-1,-1,IndoorScene,20002,34003,20004,,,,0
4,获取图纸：获得指定图纸；,解锁{0}装备图纸,2010,-1,-1,IndoorScene,20002,34003,20004,,,,0
5,装备等级解锁：解锁指定等级的装备；,解锁任意{1}阶装备x{0},3,1,-1,IndoorScene,20002,34003,20004,,,,0
6,装备精通：指定ID的装备达到大师级（精通）；,提升{0}到大师级,1010,-1,-1,IndoorScene,20002,34003,20004,,,,0
7,家具购买：特指指定家具的购买及购买数量（精确到单位，如购买一个木材资源篮）,购买{0}*{1},20001,1,-1,IndoorScene,10012,10013,20015,22016,,,1
8,家具升级：特指指定家具到达指定等级（精确到单位，如升级一个木材资源篮到6级）,{0}提升至{1}级,20001,2,-1,IndoorScene,21005,20007,20008,,,,0
9,店铺扩建：特指进行店铺扩建行为，达到指定等级任务完成。,将店铺扩建等级提升至{0}级,2,-1,-1,IndoorScene,10012,20044,20045,,,,0
10,公会类：特指完成指定公会类行为，完成任务（如加入一个公会）,成功加入任意公会,-1,-1,-1,CityScene,32001,20002,,,,加入联盟能给您带来巨大的帮助，请选择合适的联盟加入吧,1
11,科技升级：特指完成指定数量的科技升级，完成任务。,升级科学院总等级到{0}级,15,-1,-1,CityScene,29056,20002,,,,科学院的不仅对生产有加成还能提升英雄等级上限,0
12,建筑升级：特指完成指定数量的建筑等级提升。,升级建筑物总等级到{0},10,-1,-1,CityScene,20062,,,,,对科技建筑投资可以提升当前科技等级,0
13,指定建筑等级：指定建筑物达到指定等级。,提升{0}到{1}级,1000,3,-1,CityScene,28055,20059,20061,,,,1
14,英雄招募：特指招募指定数量的英雄。,招募{0}名英雄,3,-1,-1,IndoorScene,20024,23025,20027,20028,,需要先扩充英雄栏位才能继续招募你的英雄哦~,0
15,英雄转职：英雄转职总数达到指定数；,完成英雄转职x{0}次,2,-1,-1,IndoorScene,20024,20063,20032,20033,,,0
16,英雄资质度：获得指定数量的等于、大于指定品质数的英雄,招募{0}品质英雄x{1}名,2,2,-1,IndoorScene,20024,23025,20027,20028,,需要先扩充英雄栏位才能继续招募你的英雄哦~,1
17,装备穿戴等级：特指英雄穿戴指定数量的指定等级装备。,任意英雄穿戴{0}级装备x{1},3,6,-1,IndoorScene,20024,20062,,,,,0
18,副本升级：特指提升指定副本至指定等级；,提升{0}探险等级到{1},1,3,-1,CityScene,20040,20042,,,,,0
19,副本挑战：成功完成指定副本的指定难度的指定数量；,挑战副本{0}x{1}次,6,1,-1,CityScene,20040,20042,,,,,1
20,增加制作槽：特指增加制作槽至指定数量；,增加制作槽x{0},1,-1,-1,,,,,,,额外的制作队列能帮助您同时制作更多的装备,0
21,等级提升：特指提升店主等级至指定数。,店主等级达到{0}级,5,-1,-1,IndoorScene,26034,20037,20062,,,通过卖出装备给顾客可以获得店主经验，卖出装备等阶越高，获得的经验奖励越多,0
22,宝箱开启数量：特指开启指定数量宝箱；,开启任意宝箱x{0}个,1,-1,-1,CityScene,20049,27051,,,,,0
23,声望提升：声望达到指定数；,店主声望达到{0},150,-1,-1,,,,,,,,0
24,市场交易：通过市场出售指定数量的装备；,在市场出售装备x{0},5,-1,-1,CityScene,20062,,,,,玩家可以在市场交易装备,0
25,能量提升：提升能量上限至指定数；,店主能量上限达到{0},300,-1,-1,,,,,,,购买更多的货架能够提高当前能量上限,0
26,冒险次数：成功完成指定数量的冒险次数；,成功完成探险x{0}次,10,-1,-1,CityScene,20040,20042,20043,,,,0
27,贩卖装备：向顾客出售指定数量的装备数。,向顾客出售装备x{0},50,-1,-1,IndoorScene,26034,20037,20062,,,通过卖出装备给顾客可以获得店主经验，卖出装备等阶越高，获得的经验奖励越多,0
28,加价出售：向顾客加价贩卖指定次数。,向顾客加价出售装备x{0},5,-1,-1,IndoorScene,26034,20035,20037,,,消耗能量出售商品给顾客，可以获得双倍利润。,0
29,装备兑换：在“商品收购”任务中成功兑换指定次数的装备。,在“xxx“活动中成功兑换x{0}次,1,-1,-1,,,,,,,,0
30,英雄等级：指定数量的英雄达到指定等级,提升{0}个英雄等级到{1}级,2,5,-1,IndoorScene,20024,20062,,,,英雄每次成功探索可以获得经验！,0
