sequence,shopkeeper_level,icon,money,diamond,time,start_diamond,rate,size_x,size_y,furniture,cell_minx,cell_maxx,cell_miny,cell_maxy
v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
解锁顺序,等级需求,图标,消耗金币,消耗钻石,消耗时间(秒),开始加速钻石数,加速时间/每钻石,尺寸_X,尺寸_Y,家具位,网格尺寸,网格尺寸,网格尺寸,网格尺寸
1,0,icon1,0,0,0,0,0,6,6,8,0,5,20,25
2,0,icon2,3000,200,120,64,216,6,8,14,0,5,18,25
3,15,icon3,150000,350,57600,85,378,8,8,20,0,7,18,25
4,30,icon4,1500000,750,72000,106,384,8,10,26,0,7,18,27
5,40,icon5,15000000,1000,86400,128,504,8,12,32,0,7,16,27
6,50,icon6,75000000,2000,172800,149,617,10,12,38,0,9,16,27
7,60,icon7,300000000,3000,259200,170,702,10,14,44,0,9,14,27
8,75,icon8,750000000,4000,432000,213,950,12,14,50,0,11,14,27
9,80,icon9,1500000000,5000,604800,255,900,12,16,56,0,11,12,27
10,82,icon10,1875000000,6000,691200,298,864,12,18,62,0,11,10,27
11,84,icon11,2250000000,7000,777600,340,837,12,20,68,0,11,10,29
12,86,icon12,2625000000,8500,874800,340,837,14,20,74,0,13,10,29
13,88,icon13,3000000000,10000,984150,340,837,14,22,80,0,13,10,31
14,90,icon14,3750000000,13000,1107169,340,837,16,22,86,0,15,10,31
15,93,icon15,4500000000,15000,1245565,340,837,18,22,92,0,17,10,31
