level,furniture,decoration,experience,market_level,hero_slot,trade,maker_slot,shopSize_slot,adventur_slot,warrior_id,worker_id,hero_occupation,type,reward,reward_number,gold_lv
v:number,list:number,list:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,list:number,v:number,list:number,list:number,v:number
店主等级,新家具/除了功能家具和装饰后的所有家具,新装饰/地板，墙饰,所需经验,解锁市场等级,英雄栏位,贸易栏位,制造栏位,店铺扩建限制,冒险栏位,勇士id-dele,工匠id,英雄职业-dele,类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备),店主奖励道具ID,店主奖励数量,新币计算基数(其他奖励系统产出新币的基数)
1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,0,50
2,-1,13016:13005:13003,270,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,100
3,-1,13001,900,-1,-1,-1,-1,-1,-1,-1,2,-1,2,10002,5,170
4,-1,10002:13013,1400,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,254
5,-1,13002:14003:14010,2100,-1,-1,-1,-1,-1,-1,-1,5,-1,2,10002,5,355
6,-1,13014,3100,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,476
7,-1,13004:14001,4500,-1,-1,-1,-1,-1,-1,-1,4,-1,2,10002,5,621
8,-1,13015,6400,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,795
9,-1,14002,9100,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,1004
10,-1,10003,14300,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,1255
11,-1,11002:14004,20500,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,1556
12,-1,13007,27800,-1,-1,-1,-1,-1,-1,-1,6,-1,2,10002,5,1917
13,-1,14005,36400,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,2350
14,-1,13018,46600,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,2870
15,-1,13008,58600,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,3494
16,-1,13019,72800,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,4243
17,-1,13009,89500,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,5142
18,-1,13020,109300,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,6220
19,-1,13010,132600,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,7514
20,-1,13006:13021,163300,-1,-1,-1,-1,-1,-1,-1,7,-1,2,10002,5,9067
21,-1,-1,200300,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,10930
22,-1,13022,244900,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,13166
23,-1,14011,298400,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,15849
