type,name,pay_type,atlas,icon,condition,task_scenes,task_guide_1,task_guide_2,task_guide_3,task_guide_4,task_guide_5,dialog
v:number,v:string,v:number,v:string,v:string,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string
任务类型,任务名称,任务划分-1普通任务/2-付费任务,图集,图标,前往跳转参数,任务所在场景,任务引导1点击区域,任务引导2点击区域,任务引导3点击区域,任务引导4点击区域,任务引导5点击区域,首步引导找不到展示对话
1,参与<color=#fe9999>签到</color> ×{0} 次,1,activity_point_atlas,task2_qiandao,,IndoorScene,51012,40005,,,,
2,打开<color=#fe9999>储蓄罐</color> ×{0} 个,1,activity_point_atlas,task2_chuxuguan,,IndoorScene,51012,40008,,,,
3,<color=#fe9999>制作</color> 任意装备×{0} 件,1,activity_point_atlas,task2_zhizuo,,IndoorScene,20002,,,,,
4,<color=#fe9999>售卖</color> 任意装备×{0} 件,1,activity_point_atlas,task2_shoumai,,IndoorScene,26034,20037,,,,
5,成功 <color=#fe9999>闲聊</color> ×{0} 次,1,activity_point_atlas,task2_xianliao,,IndoorScene,26034,20038,,,,
6,成功 <color=#fe9999>加成收益</color> ×{0} 次,1,activity_point_atlas,task2_jiajia,,IndoorScene,26034,20035,,,,
7,成功 <color=#fe9999>折扣出售</color> ×{0} 次,1,activity_point_atlas,task2_zhekou,,IndoorScene,26034,20036,,,,
8,制作 <color=#fe9999>利刃</color> ×{0} 件,1,activity_point_atlas,task2_liren,1010,IndoorScene,20002,34003,,,,
9,制作 <color=#fe9999>钝器</color> ×{0} 件,1,activity_point_atlas,task2_dunqi,2010,IndoorScene,20002,34003,,,,
10,制作 <color=#fe9999>弓弩</color> ×{0} 件,1,activity_point_atlas,task2_gongnu,3010,IndoorScene,20002,34003,,,,
11,制作 <color=#fe9999>手枪</color> ×{0} 件,1,activity_point_atlas,task2_shouqiang,4010,IndoorScene,20002,34003,,,,
12,制作 <color=#fe9999>步枪</color> ×{0} 件,1,activity_point_atlas,task2_buqiang,5010,IndoorScene,20002,34003,,,,
13,制作 <color=#fe9999>霰弹枪</color> ×{0} 件,1,activity_point_atlas,task2_xiandanqiang,6010,IndoorScene,20002,34003,,,,消耗能量出售商品给顾客，可以获得双倍利润。
14,制作 <color=#fe9999>轻甲</color> ×{0} 件,1,activity_point_atlas,task2_qingjia,10010,IndoorScene,20002,34003,,,,消耗能量出售商品给顾客，可以获得双倍利润。
15,制作 <color=#fe9999>重甲</color> ×{0} 件,1,activity_point_atlas,task2_zhongjia,11010,IndoorScene,20002,34003,,,,消耗能量出售商品给顾客，可以获得双倍利润。
16,制作 <color=#fe9999>便衣</color> ×{0} 件,1,activity_point_atlas,task2_bianyi,12010,IndoorScene,20002,34003,,,,消耗能量出售商品给顾客，可以获得双倍利润。
17,制作 <color=#fe9999>头盔</color> ×{0} 件,1,activity_point_atlas,task2_toukui,13010,IndoorScene,20002,34003,,,,消耗能量出售商品给顾客，可以获得双倍利润。
18,制作 <color=#fe9999>帽子</color> ×{0} 件,1,activity_point_atlas,task2_maozi,14010,IndoorScene,20002,34003,,,,消耗能量出售商品给顾客，可以获得双倍利润。
19,制作 <color=#fe9999>轻装裤</color> ×{0} 件,1,activity_point_atlas,task2_qingxingku,15010,IndoorScene,20002,34003,,,,消耗能量出售商品给顾客，可以获得双倍利润。
20,制作 <color=#fe9999>重装裤</color> ×{0} 件,1,activity_point_atlas,task2_zhongxingku,16010,IndoorScene,20002,34003,,,,
21,制作 <color=#fe9999>鞋子</color> ×{0} 件,1,activity_point_atlas,task2_xiezi,17010,IndoorScene,20002,34003,,,,
22,制作 <color=#fe9999>靴子</color> ×{0} 件,1,activity_point_atlas,task2_xuezi,18010,IndoorScene,20002,34003,,,,
