id,name,atlas,icon,type,parameter_1,parameter_2,reward,reward_number,newbie_task,npc_id,level,task_scenes,task_guide_1,task_guide_2,task_guide_3,task_guide_4,task_guide_5,dialog
v:number,v:string,v:string,v:string,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string
任务ID,任务名称,图集,图标,类别,完成参数1,完成参数2,奖励ID,奖励数量,新手任务,人物id,解锁等级,任务所在场景,任务引导1点击区域,任务引导2点击区域,任务引导3点击区域,任务引导4点击区域,任务引导5点击区域,首步引导找不到展示对话
1,售卖 <color=#fe9999>{0}</color> ×{1} 件,-1,-1,1,-1,2,10007,5,0,0,1,IndoorScene,26034,20037,,,,
2,售卖 <color=#fe9999>{0}</color> ×{1} 件,-1,-1,1,-1,2,10007,5,0,0,1,IndoorScene,26034,20037,,,,
3,售卖 <color=#fe9999>{0}</color> ×{1} 件,-1,-1,1,-1,2,10007,5,0,0,1,IndoorScene,26034,20037,,,,
4,售卖 <color=#fe9999>{0}</color> ×{1} 件,-1,-1,1,-1,2,10007,5,0,0,1,IndoorScene,26034,20037,,,,
5,售卖 <color=#fe9999>{0}</color> ×{1} 件,-1,-1,1,-1,2,10007,5,0,0,1,IndoorScene,26034,20037,,,,
6,售卖 <color=#fe9999>{0}</color> ×{1} 件,-1,-1,1,-1,2,10007,5,0,0,1,IndoorScene,26034,20037,,,,
7,制作 <color=#fe9999>{0}</color> ×{1} 件,-1,-1,2,-1,2,10007,5,0,0,1,IndoorScene,20002,34003,20004,,,
8,制作 <color=#fe9999>{0}</color> ×{1} 件,-1,-1,2,-1,2,10007,5,0,0,1,IndoorScene,20002,34003,20004,,,
9,制作 <color=#fe9999>{0}</color> ×{1} 件,-1,-1,2,-1,2,10007,5,0,0,1,IndoorScene,20002,34003,20004,,,
10,制作 <color=#fe9999>{0}</color> ×{1} 件,-1,-1,2,-1,2,10007,5,0,0,1,IndoorScene,20002,34003,20004,,,
11,制作 <color=#fe9999>{0}</color> ×{1} 件,-1,-1,2,-1,2,10007,5,0,0,1,IndoorScene,20002,34003,20004,,,
12,制作 <color=#fe9999>{0}</color> ×{1} 件,-1,-1,2,-1,2,10007,5,0,0,1,IndoorScene,20002,34003,20004,,,
13,售卖装备时累计 <color=#fe9999>涨价</color> {1} 次,task_atlas,task_zhangjia,3,0,3,10007,5,0,0,5,IndoorScene,26034,20035,20037,,,消耗能量出售商品给顾客，可以获得双倍利润。
14,售卖装备时累计 <color=#fe9999>涨价</color> {1} 次,task_atlas,task_zhangjia,3,0,4,10007,5,0,0,5,IndoorScene,26034,20035,20037,,,消耗能量出售商品给顾客，可以获得双倍利润。
15,售卖装备时累计 <color=#fe9999>涨价</color> {1} 次,task_atlas,task_zhangjia,3,0,5,10007,5,0,0,5,IndoorScene,26034,20035,20037,,,消耗能量出售商品给顾客，可以获得双倍利润。
16,售卖装备时累计 <color=#fe9999>涨价</color> {1} 次,task_atlas,task_zhangjia,3,0,3,10007,5,0,0,5,IndoorScene,26034,20035,20037,,,消耗能量出售商品给顾客，可以获得双倍利润。
17,售卖装备时累计 <color=#fe9999>涨价</color> {1} 次,task_atlas,task_zhangjia,3,0,4,10007,5,0,0,5,IndoorScene,26034,20035,20037,,,消耗能量出售商品给顾客，可以获得双倍利润。
18,售卖装备时累计 <color=#fe9999>涨价</color> {1} 次,task_atlas,task_zhangjia,3,0,5,10007,5,0,0,5,IndoorScene,26034,20035,20037,,,消耗能量出售商品给顾客，可以获得双倍利润。
19,售卖装备时累计 <color=#fe9999>涨价</color> {1} 次,task_atlas,task_zhangjia,3,0,5,10007,5,0,0,5,IndoorScene,26034,20035,20037,,,消耗能量出售商品给顾客，可以获得双倍利润。
20,售卖装备时累计 <color=#fe9999>折扣</color> {1} 次,task_atlas,task_zhekou,4,0,3,10007,5,0,0,5,IndoorScene,26034,20036,20037,,,
21,售卖装备时累计 <color=#fe9999>折扣</color> {1} 次,task_atlas,task_zhekou,4,0,4,10007,5,0,0,5,IndoorScene,26034,20036,20037,,,
22,售卖装备时累计 <color=#fe9999>折扣</color> {1} 次,task_atlas,task_zhekou,4,0,5,10007,5,0,0,5,IndoorScene,26034,20036,20037,,,
23,售卖装备时累计 <color=#fe9999>折扣</color> {1} 次,task_atlas,task_zhekou,4,0,3,10007,5,0,0,5,IndoorScene,26034,20036,20037,,,
24,售卖装备时累计 <color=#fe9999>折扣</color> {1} 次,task_atlas,task_zhekou,4,0,4,10007,5,0,0,5,IndoorScene,26034,20036,20037,,,
25,售卖装备时累计 <color=#fe9999>折扣</color> {1} 次,task_atlas,task_zhekou,4,0,5,10007,5,0,0,5,IndoorScene,26034,20036,20037,,,
26,售卖装备时累计 <color=#fe9999>折扣</color> {1} 次,task_atlas,task_zhekou,4,0,5,10007,5,0,0,5,IndoorScene,26034,20036,20037,,,
27,售卖装备时累计 <color=#fe9999>闲聊</color> {1} 次,task_atlas,task_xianliao,5,0,3,10007,5,0,0,5,IndoorScene,26034,20038,20037,,,
28,售卖装备时累计 <color=#fe9999>闲聊</color> {1} 次,task_atlas,task_xianliao,5,0,4,10007,5,0,0,5,IndoorScene,26034,20038,20037,,,
29,售卖装备时累计 <color=#fe9999>闲聊</color> {1} 次,task_atlas,task_xianliao,5,0,5,10007,5,0,0,5,IndoorScene,26034,20038,20037,,,
30,售卖装备时 <color=#fe9999>建议</color> 其它装备 {1} 次,task_atlas,task_tuixiao,6,0,1,10007,5,0,0,5,IndoorScene,26034,,,,,
31,售卖装备时 <color=#fe9999>建议</color> 其它装备 {1} 次,task_atlas,task_tuixiao,6,0,2,10007,5,0,0,5,IndoorScene,26034,,,,,
32,售卖装备时 <color=#fe9999>建议</color> 其它装备 {1} 次,task_atlas,task_tuixiao,6,0,3,10007,5,0,0,5,IndoorScene,26034,,,,,
33,累计卖出价值 {1} 新币的 <color=#fe9999>{0}</color>,-1,-1,7,-1,2,10007,5,0,0,1,IndoorScene,26034,,,,,
34,累计卖出价值 {1} 新币的 <color=#fe9999>{0}</color>,-1,-1,7,-1,2,10007,5,0,0,1,IndoorScene,26034,,,,,
35,累计卖出价值 {1} 新币的 <color=#fe9999>{0}</color>,-1,-1,7,-1,2,10007,5,0,0,1,IndoorScene,26034,,,,,
36,累计卖出价值 {1} 新币的 <color=#fe9999>{0}</color>,-1,-1,7,-1,2,10007,5,0,0,1,IndoorScene,26034,,,,,
37,累计卖出价值 {1} 新币的 <color=#fe9999>{0}</color>,-1,-1,7,-1,2,10007,5,0,0,1,IndoorScene,26034,,,,,
38,累计卖出价值 {1} 新币的 <color=#fe9999>{0}</color>,-1,-1,7,-1,2,10007,5,0,0,1,IndoorScene,26034,,,,,
39,累计卖出价值 {1} 新币的 <color=#fe9999>{0}</color>,-1,-1,7,-1,2,10007,5,0,0,1,IndoorScene,26034,,,,,
40,累计卖出价值 {1} 新币的 <color=#fe9999>{0}</color>,-1,-1,7,-1,2,10007,5,0,0,1,IndoorScene,26034,,,,,
41,累计卖出价值 {1} 新币的 <color=#fe9999>{0}</color>,-1,-1,7,-1,2,10007,5,0,0,1,IndoorScene,26034,,,,,
42,探索副本获得 {1} 个 <color=#fe9999>{0}</color> 材料,-1,-1,8,-1,2,10007,10,0,0,5,CityScene,20040,20042,20043,,,
43,探索副本获得 {1} 个 <color=#fe9999>{0}</color> 材料,-1,-1,8,-1,2,10007,10,0,0,5,CityScene,20040,20042,20043,,,
44,探索副本获得 {1} 个 <color=#fe9999>{0}</color> 材料,-1,-1,8,-1,2,10007,10,0,0,5,CityScene,20040,20042,20043,,,
45,<color=#fe9999>城市市场出售装备</color> 获得 {1} 新币,task_atlas,task_shichang,9,-1,1,10007,5,0,0,15,CityScene,34002,,,,,
46,<color=#fe9999>城市市场出售装备</color> 获得 {1} 新币,task_atlas,task_shichang,9,-1,1,10007,5,0,0,15,CityScene,34002,,,,,
47,<color=#fe9999>城市市场出售装备</color> 获得 {1} 新币,task_atlas,task_shichang,9,-1,1,10007,5,0,0,15,CityScene,34002,,,,,
48,在 <color=#fe9999> 城市市场交易</color> {1} 件装备,task_atlas,task_shichang,10,0,1,10007,5,0,0,15,CityScene,34002,,,,,
49,在 <color=#fe9999> 城市市场交易</color> {1} 件装备,task_atlas,task_shichang,10,0,2,10007,5,0,0,15,CityScene,34002,,,,,
50,在 <color=#fe9999> 城市市场交易</color> {1} 件装备,task_atlas,task_shichang,10,0,3,10007,5,0,0,15,CityScene,34002,,,,,
51,派遣 {1} 名英雄前往 <color=#fe9999>副本探索</color>,task_atlas,task_maoxian,11,0,1,10007,10,0,0,5,CityScene,20040,,,,,
52,派遣 {1} 名英雄前往 <color=#fe9999>副本探索</color>,task_atlas,task_maoxian,11,0,2,10007,10,0,0,5,CityScene,20040,,,,,
53,派遣 {1} 名英雄前往 <color=#fe9999>副本探索</color>,task_atlas,task_maoxian,11,0,3,10007,10,0,0,5,CityScene,20040,,,,,
54,在英雄酒吧 <color=#fe9999>刷新</color> {1} 次,task_atlas,task_yingxiong,12,0,1,10007,20,0,0,20,IndoorScene,20024,25032,,,,
55,完成 {1} 次 <color=#fe9999>任意建筑投资</color>,task_atlas,task_touzi,13,0,1,10007,5,0,0,1,CityScene,28055,,,,,
56,完成 {1} 次 <color=#fe9999>任意建筑投资</color>,task_atlas,task_touzi,13,0,1,10007,5,0,0,1,CityScene,28055,,,,,
57,完成 {1} 次 <color=#fe9999>任意建筑投资</color>,task_atlas,task_touzi,13,0,1,10007,5,0,0,1,CityScene,28055,,,,,
58,在城市<color=#fe9999>工匠之家</color>进行 {1} 次 <color=#fe9999>任意工艺研究</color> 投资,task_atlas,task_keji,14,0,1,10007,5,0,0,1,CityScene,29056,,,,,
59,在城市<color=#fe9999>工匠之家</color>进行 {1} 次 <color=#fe9999>任意工艺研究</color> 投资,task_atlas,task_keji,14,0,1,10007,5,0,0,1,CityScene,29056,,,,,
60,在城市<color=#fe9999>工匠之家</color>进行 {1} 次 <color=#fe9999>任意工艺研究</color> 投资,task_atlas,task_keji,14,0,1,10007,5,0,0,1,CityScene,29056,,,,,
61,进行{1}次 <color=#fe9999>幸运转盘</color> 游戏,task_atlas,task_dazhuanpan,15,0,1,10007,20,0,0,15,IndoorScene,51012,31001,,,,
