languages_game,languages_CN,languages_TC,languages_EN
游戏内语言,简体中文,繁体中文,英文
索引所需要的key,翻译后的简体,翻译后的繁体,翻译后的英文
商城,商城,商城,Store
兑换失败,兑换失败,兌換失敗,Redemption failed
兑换码已经被使用,兑换码已经被使用,兌換碼已經被使用,Redeem code has been used
兑换码已过有效时间,兑换码已过有效时间,兌換碼已過有效時間,Redeem code has expired
未到兑换码有效时间,未到兑换码有效时间,未到兌換碼有效時間,Redeem code is not in effect now
请先输入兑换码,请先输入兑换码,請先輸入兌換碼,Please enter redeem code
<color=#00effe>{0}</color>加入公会,<color=#00effe>{0}</color>加入公会,<color=#00effe>{0}</color>加入公會,<color=#00effe>{0}</color> joined guild
<color=#00effe>{0}</color>退出公会,<color=#00effe>{0}</color>退出公会,<color=#00effe>{0}</color>退出公會,<color=#00effe>{0}</color> left guild
<color=#00effe>{0}</color>帮助了我,<color=#00effe>{0}</color>帮助了我,<color=#00effe>{0}</color>幫助了我,<color=#00effe>{0}</color> helped you
<color=#00effe>{0}</color>帮助了<color=#00effe>{1}</color>,<color=#00effe>{0}</color>帮助了<color=#00effe>{1}</color>,<color=#00effe>{0}</color>幫助了<color=#00effe>{1}</color>,<color=#00effe>{0}</color> helped <color=#00effe>{1}</color>
<color=#00effe>{0}</color>投资了<color=#8bf865>{1}</color>{2}新币,<color=#00effe>{0}</color>投资了<color=#8bf865>{1}</color>{2}新币,<color=#00effe>{0}</color>投資了<color=#8bf865>{1}</color>{2}新幣,<color=#00effe>{0}</color> invested {2} New Dollars in <color=#8bf865>{1}</color>
<color=#00effe>{0}</color>向黑市商人售出{1}装备获得{2}新币,<color=#00effe>{0}</color>向黑市商人售出{1}装备获得{2}新币,<color=#00effe>{0}</color>向黑市商人售出{1}裝備獲得{2}新幣,<color=#00effe>{0}</color> sell {1} items to mysterious merchant for {2} New Dollars
<color=#00effe>{0}</color>精通了<color=#8bf865>{1}</color>图纸,<color=#00effe>{0}</color>精通了<color=#8bf865>{1}</color>图纸,<color=#00effe>{0}</color>精通了<color=#8bf865>{1}</color>圖紙,<color=#00effe>{0}</color> mastered <color=#8bf865>{1}</color> blueprint
加载文件,加载文件,加載文件,Loading...
加载文件中，请耐心等待！,加载文件中，请耐心等待！,加載文件中，請耐心等待！,Loading...please wait
服务器正在维护中，请耐心等待最新通知！,服务器正在维护中，请耐心等待最新通知！,服務器正在維護中，請耐心等待最新通知！,The server is under maintenance.
充值尚未开启，敬请期待！,充值尚未开启，敬请期待！,充值尚未開啟，敬請期待！,Recharge has not been opened.
<color={StaticConstants.qualityColor{equip.quality - 1}}>{StaticConstants.qualityNames{equip.quality - 1}}品质</color>,<color={StaticConstants.qualityColor{equip.quality - 1}}>{StaticConstants.qualityNames{equip.quality - 1}}品质</color>,<color={StaticConstants.qualityColor{equip.quality - 1}}>{StaticConstants.qualityNames{equip.quality - 1}}品質</color>,<color={StaticConstants.qualityColor{equip.quality - 1}}>{StaticConstants.qualityNames{equip.quality - 1}} Quality </color>
{0}向黑市商人售出{1}装备获得{2}新币,{0}向黑市商人售出{1}装备获得{2}新币,{0}向黑市商人售出{1}裝備獲得{2}新幣,{0} sell {1} items to mysterious merchant for {2} New Dollars
{0}精通了{1}图纸,{0}精通了{1}图纸,{0}精通了{1}圖紙,{0} mastered {1} blueprint
升级至 ,升级至 ,升級至 ,upgraded to 
内容更新完毕，请重新启动游戏！,内容更新完毕，请重新启动游戏！,內容更新完畢，請重新啟動遊戲！,Update finished， please restart the game!
{json字符串},{json字符串},{json字符串},
是否退出游戏?,是否退出游戏?,是否退出遊戲?,Do you want to quit game?
服务器处于维护中，请重启游戏查看最新公告！,服务器处于维护中，请重启游戏查看最新公告！,服務器處於維護中，請重啟遊戲查看最新公告！,The server is under maintenance， restart to check notice!
<size=30>联盟技术</size>,<size=30>联盟技术</size>,<size=30>聯盟技術</size>,<size=30> Guild Tech </size>
招募,招募,招募,Recruit
双倍,双倍,雙倍,Double
容量,容量,容量,Capacity
<size=46>优惠</size>,<size=46>优惠</size>,<size=46>優惠</size>,<size=46> Discounts </size>
50%!,50%!,50%!,50%!
