chinese_,english
带下划线的中文,英文
刷新,Refresh
8小时,8 Hours
领取奖励！,Collect Reward
下个任务倒计时：,Next Task in:
布置桌子,Set the table
待办任务,To-do Tasks
完成奖励,Complete Reward
仓库,Warehouse
装备,Equipment
材料,Material
其他,Others
排序方式：最近,Sort by: Most Recent
容量：0/100,Capacity: 0/100
创建列表,Create List
创建报价,Create Offer
在市场上列出物品，供其他玩家购买。,List items on the market for other players to purchase
创建请求,Create Request
在市场上请求物品，供任意玩家满足。,Request items on the market to be fulfilled by anyone
创建联盟请求,Create Guild Request
从您的联盟请求物品。（最多一个列表）,Request items from your guild(1 listing max)
报价,Offer
数量：,Quantity
剩余：1,In Inventory: 1
价格（单价）：,Price (Each):
交易最低价值：,Trade Min. Value:
持续时间：,Duration
12小时,12 Hours
取消,Cancel
距离到期还有,Expiring In
将物品重新上架,Relist the Item
解锁冒险栏位吗？,Unlock Quest Slot?
派出更多小队参加冒险！,Send more parties on quests!
可用冒险栏位,Available quests slots
或,or
可用等级：,Available at:
新币解锁,Unlock with New Dollar
确认解锁,OK
解锁制作栏位吗？,Unlock Crafting Slot?
同时制作或合成更多物品！,Craft or fuse more items at the same time!
可用制作栏,Available crafting slots
更改用户名,Change Username
输入新名称,Enter New Name
你可以免费更换一次用户名。,You can change your username once for free
之后每次更改将花费50金条。,Each change after that will cost 50 gold bars.
改名,Rename
名称不能为空,Name is required
聊天,Chat
世界,World
联盟,Guild
系统,System
输入文本,Enter Text
无新通知,No New Notification
研究各项工艺，提升你的实力,Research crafts to enhance your strength
巫师楼塔,Wizard Tower
投资此行业将加速资源生产。,Investing in this industry will speed up resource production.
当前产量,Current Production
改造后,After Development
138<color="ffffff">/小时</color>,138<color="ffffff">/h</color>
<size=26>联盟技术</size>,<size=26>Guild Tech</size>
改造所需次数,Required develop times.
改造,Development
统计上回联盟内所有成员的铁矿厂改造次数，改造次数越多，共享奖励加成越多,According to the iron mine development times of all guild members last time，the more times，the more sharing bonus
联盟成员,Guild Members
改造花费,Development Cost
联盟技术共享,Guild Tech Sharing
升级完成！,Upgrade Complete!
最高工人等级,Max Worker Level.
继续,Continue
冒险,Quest
就绪,Ready
店铺,Shop
英雄,Chars
市场,Market
搜索,Finder
跳过,Skip
收集!,Collect!
家具名称,Furniture
资源,Resource
已售空,Sold Out
已拥有,Owned
解锁等级：,Unlock Lv:
新家具现已开放购买!,New furniture is now available for purchase!
来解锁！,To Unlock!
确定,Confirm
