id,type_group,big_type,technology_level,need_level,need_point,type,skill_time,behind_skill_time,now_level,behind_level,add_num,add2_num,name,desc,help_desc,skill_desc,help_skill_desc,next_id,next_desc,help_next_desc,next_union_level_desc,help_next_union_level_desc,atlas,icon,item_des,item_compare_des
v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:string,v:string,v:string,v:string,v:number,v:string,v:string,v:string,v:string,v:string,v:string,v:string,v:string
序号,类型区分：1-联盟科技升级）；2-联盟技能,大类描述：1-悬赏牌容量增加；3-常见资源篮子容量；4-稀有资源容量；5-罕见资源容量furniture表格中material_quality字段有显示资源品质；6-枪械货架能量；7-防具货架；8-冷兵器架；9-散件货架；10-仓库容量；11-仓库堆叠数量；12-制作加速（技能）；13-冒险加速（技能）；14-经验强化（技能）；15资源回复强化（技能）；16-市场请求-买入的堆叠数量；17-市场报价-卖出的堆叠数量；18-常见资源的回复速度；19-罕见资源的回复速度；20-稀有资源的回复速度；21-联盟升级,科技等级,解锁的联盟等级,解锁消耗的积分,解锁条件类型：1-悬赏牌容量增加；3-常见资源篮子容量；4-稀有资源容量；5-罕见资源容量；6-枪械货架能量；7-防具货架；8-冷兵器架；9-散件货架；10-仓库容量；11-仓库堆叠数量；12-制作加速（技能）；13-冒险加速（技能）；14-经验强化（技能）；15资源回复强化（技能）；16-市场请求-买入的堆叠数量；17-市场报价-卖出的堆叠数量；18-常见资源的回复速度；19-罕见资源的回复速度；20-稀有资源的回复速度；21-联盟升级;122-联盟技能制作加速；132-联盟技能冒险加速；142-联盟基恩技能经验强化；152-联盟技能资源恢复强化；,技能持续时间（分钟）,下一等级的技能持续时间（分钟）--前端展示用,当前强化的技能等级-技能专用,下一强化技能等级-技能专用--前端展示用,增加的数量-技能中没使用这个字段，仅供前端展示使用,增益数值（百分比）,科技名称,科技描述,科技描述,技能描述,技能描述,名称,下一科技等级需求描述,下一科技等级需求描述,下一公会等级需求描述,下一公会等级需求描述,图集,图标,item简要描述--考虑等级极限,item和下一级的对比描述--考虑等级极限
1,1,1,1,2,10,1,,,,,2,,悬赏牌容量增加,悬赏牌容量增加{0},悬赏牌容量增加2,,,2,下一个:悬赏牌容量增加悬赏{0},下一个:悬赏牌容量增加+4 悬赏,下一个:需求工会等级{0},下一个:需求工会等级6,union_atlas,zhuejiemian_xuanshang,悬赏牌容量,永久升级
2,1,1,2,6,20,1,,,,,4,,悬赏牌容量增加,悬赏牌容量增加{0},悬赏牌容量增加4,,,3,下一个:悬赏牌容量增加悬赏{0},下一个:悬赏牌容量增加+6 悬赏,下一个:需求工会等级{0},下一个:需求工会等级14,union_atlas,zhuejiemian_xuanshang,悬赏牌容量,永久升级
3,1,1,3,14,50,1,,,,,6,,悬赏牌容量增加,悬赏牌容量增加{0},悬赏牌容量增加6,,,4,下一个:悬赏牌容量增加悬赏{0},下一个:悬赏牌容量增加+8 悬赏,下一个:需求工会等级{0},下一个:需求工会等级20,union_atlas,zhuejiemian_xuanshang,悬赏牌容量,永久升级
4,1,1,4,20,100,1,,,,,8,,悬赏牌容量增加,悬赏牌容量增加{0},悬赏牌容量增加8,,,5,下一个:悬赏牌容量增加悬赏{0},下一个:悬赏牌容量增加+10 悬赏,下一个:需求工会等级{0},下一个:需求工会等级25,union_atlas,zhuejiemian_xuanshang,悬赏牌容量,永久升级
5,1,1,5,25,200,1,,,,,10,,悬赏牌容量增加,悬赏牌容量增加{0},悬赏牌容量增加10,,,6,下一个:悬赏牌容量增加悬赏{0},下一个:悬赏牌容量增加+12 悬赏,下一个:需求工会等级{0},下一个:需求工会等级30,union_atlas,zhuejiemian_xuanshang,悬赏牌容量,永久升级
6,1,1,6,30,250,1,,,,,12,,悬赏牌容量增加,悬赏牌容量增加{0},悬赏牌容量增加12,,,7,下一个:悬赏牌容量增加悬赏{0},下一个:悬赏牌容量增加+14 悬赏,下一个:需求工会等级{0},下一个:需求工会等级40,union_atlas,zhuejiemian_xuanshang,悬赏牌容量,永久升级
7,1,1,7,40,300,1,,,,,14,,悬赏牌容量增加,悬赏牌容量增加{0},悬赏牌容量增加14,,,8,下一个:悬赏牌容量增加悬赏{0},下一个:悬赏牌容量增加+16 悬赏,下一个:需求工会等级{0},下一个:需求工会等级51,union_atlas,zhuejiemian_xuanshang,悬赏牌容量,永久升级
8,1,1,8,51,500,1,,,,,16,,悬赏牌容量增加,悬赏牌容量增加{0},悬赏牌容量增加16,,,,,,,,union_atlas,zhuejiemian_xuanshang,悬赏牌容量,永久升级
