id,gender,normal_standby,special_standby,normal_walking,rejected,successful_transaction,ornamental_furniture,ornamental_shelves,ornamental_pets,haggle
v:number,v:number,v:string,v:string,v:string,v:string,v:string,v:string,v:string,v:string,v:string
ID,1男/2女,普通待机,站久后特殊待机,普通行走,被拒绝,交易成功,观赏家具,观赏货架,观赏宠物,讨价还价
1,1,idle_1,idle_3,walk,idle_2,happy,watch_1,watch_1,playpet_1,idle_4
2,1,,idle_sp_1,,,,watch_2,watch_2,,
3,1,,idle_2,,,,watch_3,watch_3,,
4,1,,idle_sp_2,,,,,,,
5,1,,idle_sp_3,,,,,,,
6,2,idle_1,idle_2,walk,idle_3,happy,watch_1,watch_1,playpet_1,idle_4
7,2,,idle_sp_1,,,,watch_2,watch_2,,
8,2,,idle_3,,,,watch_3,watch_3,,
9,2,,idle_sp_2,,,,,,,
10,2,,idle_sp_3,,,,,,,
