id,item_type,item_id,name,item_num,need_trophies,slot_id
v:number,v:number,v:number,v:string,v:number,v:number,v:number
奖励序号,类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包/29-联盟币/30-联盟积分/31-联盟声望/40-家具/41-店主装饰/42-英雄卡/43-制作槽位数/44-冒险队列数/45-店铺等级/46-英雄栏位数/47-交易栏位数/48-巧匠奖杯),奖励1道具id,道具名字,奖励1数量,所需巧匠奖杯,兑换槽位id
1,16,161160,6阶源氏刃,1,280,1
2,16,182130,6阶麻醉手表,1,280,1
3,16,170120,6阶曼达洛甲,1,280,1
4,16,171150,7阶士官长装甲,1,350,1
5,16,176150,7阶士官长腿甲,1,350,1
6,16,181140,4阶战术望远镜,1,200,2
7,16,164150,4阶爆能手枪,1,220,2
8,16,167110,5阶VSS狙击步枪,1,260,2
9,16,168140,5阶M249,1,260,2
10,16,171160,5阶毁灭装甲,1,240,2
11,16,162150,3阶工兵铲,1,160,3
12,16,166150,3阶战术霰弹枪,1,180,3
13,16,167120,3阶SSG轻型狙击步枪,1,190,3
14,16,174140,3阶海盗眼罩,1,140,3
15,16,180130,2阶急救绷带,1,120,3
16,40,413047,中式地灯,1,80,4
17,40,413048,中式书架,1,200,4
18,40,413051,山水画,1,180,4
19,40,413010,子弹箱,1,80,4
20,40,413011,木制地下室,1,60,4
21,40,413019,钢琴,1,120,4
22,40,413020,书柜,1,90,4
23,40,414006,邮箱,1,60,4
24,40,414007,童年秋千,1,150,4
