id,reward1_type,reward1_id,reward1_num,reward2_type,reward2_id,reward2_num,need_integral,need_integral_personal
v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
奖励序号,类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包/29-联盟币/30-联盟积分/31-联盟声望/40-家具/41-店主装饰/42-英雄卡/43-制作槽位数/44-冒险队列数/45-店铺等级/46-英雄栏位数/47-交易栏位数/48-巧匠奖杯),奖励1道具id,奖励1数量,类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包/29-联盟币/30-联盟积分/31-联盟声望/40-家具/41-店主装饰/42-英雄卡/43-制作槽位数/44-冒险队列数/45-店铺等级/46-英雄栏位数/47-交易栏位数/48-巧匠奖杯),奖励2道具id,奖励2数量,所需积分-公会,所需积分-个人
1,48,10009,5,48,10009,2,500,50
2,19,90001,2,19,90002,2,2500,250
3,19,90001,2,19,90003,2,5000,500
4,48,10009,10,48,10009,5,7500,750
5,19,90001,3,19,90004,2,12500,1250
6,19,90001,4,19,90005,2,35000,3500
7,48,10009,15,48,10009,5,60000,6000
8,19,90001,5,19,90006,2,80000,8000
9,2,10002,50,19,90007,2,100000,10000
10,48,10009,20,48,10009,10,120000,12000
11,19,90001,5,19,90008,2,140000,14000
12,19,90001,5,19,90009,2,160000,16000
13,19,90001,5,19,90010,2,180000,18000
14,48,10009,25,48,10009,15,200000,20000
15,19,90001,5,19,90002,2,225000,22500
16,2,10002,80,19,90003,2,250000,25000
17,19,90001,5,19,90004,2,275000,27500
18,48,10009,30,48,10009,15,300000,30000
19,19,90001,5,19,90005,2,325000,32500
20,2,10002,100,19,90006,2,350000,35000
21,19,90001,5,19,90007,2,400000,40000
22,48,10009,35,48,10009,20,450000,45000
23,19,90001,5,19,90008,2,500000,50000
24,19,90001,5,19,90009,2,550000,55000
25,40,414018,1,19,90010,2,600000,60000
