id,activity_id,type,days,serial,required_time,name,opening_time,end_time,reward1_type,reward1_id,reward1_num
v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:string,v:string,v:number,v:number,v:number
奖励序号,活动ID：每个活动对应一个id,活动类型:1-新手在线领奖/2-活动在线领奖,天数：领取所需要的最低天数,领取序号：每个活动每天领取奖励的顺序,领取所需时间：单位秒,活动名字,活动开启时间戳,活动结束时间戳,类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包/29-联盟币/30-联盟积分/31-联盟声望/40-家具/41-店主装饰/42-英雄卡/43-制作槽位数/44-冒险队列数/45-店铺等级/46-英雄栏位数/47-交易栏位数/48-巧匠奖杯),奖励1道具id,奖励1数量
100,1,1,1,1,300,新手领奖,0,0,1,10001,1000
101,1,1,1,2,900,新手领奖,0,0,23,150002,5
102,1,1,1,3,1800,新手领奖,0,0,2,10002,10
110,1,1,2,1,300,新手领奖,0,0,2,10002,15
111,1,1,2,2,900,新手领奖,0,0,18,150005,1
112,1,1,2,3,1800,新手领奖,0,0,40,413002,1
120,1,1,3,1,300,新手领奖,0,0,2,10002,20
121,1,1,3,2,900,新手领奖,0,0,25,130400,2
122,1,1,3,3,1800,新手领奖,0,0,8,50001,2
130,1,1,4,1,300,新手领奖,0,0,2,10002,25
131,1,1,4,2,900,新手领奖,0,0,18,150005,2
132,1,1,4,3,1800,新手领奖,0,0,9,60001,1
140,1,1,5,1,300,新手领奖,0,0,2,10002,30
141,1,1,5,2,900,新手领奖,0,0,8,50002,2
142,1,1,5,3,1800,新手领奖,0,0,40,413007,1
150,1,1,6,1,300,新手领奖,0,0,2,10002,35
151,1,1,6,2,900,新手领奖,0,0,23,150001,2
152,1,1,6,3,1800,新手领奖,0,0,17,140001,3
160,1,1,7,1,300,新手领奖,0,0,2,10002,40
161,1,1,7,2,900,新手领奖,0,0,18,150005,5
162,1,1,7,3,1800,新手领奖,0,0,19,90001,5
500,2,2,1,1,300,端午福利,1649738267,1650429467,48,10002,10
501,2,2,1,2,900,端午福利,1649738267,1650429467,19,90001,2
502,2,2,1,3,1800,端午福利,1649738267,1650429467,19,90001,5
510,2,2,2,1,300,端午福利,1649738267,1650429467,48,10002,10
511,2,2,2,2,900,端午福利,1649738267,1650429467,19,90001,3
512,2,2,2,3,1800,端午福利,1649738267,1650429467,19,90001,4
520,2,2,3,1,300,端午福利,1649738267,1650429467,48,10002,10
521,2,2,3,2,900,端午福利,1649738267,1650429467,19,90001,5
522,2,2,3,3,1800,端午福利,1649738267,1650429467,19,90001,6
530,2,2,4,1,300,端午福利,1649738267,1650429467,48,10002,10
531,2,2,4,2,900,端午福利,1649738267,1650429467,19,90001,7
532,2,2,4,3,1800,端午福利,1649738267,1650429467,19,90001,8
540,2,2,5,1,300,端午福利,1649738267,1650429467,19,90001,9
541,2,2,5,2,900,端午福利,1649738267,1650429467,48,10002,10
542,2,2,5,3,1800,端午福利,1649738267,1650429467,19,90001,10
550,2,2,6,1,300,端午福利,1649738267,1650429467,19,90001,11
551,2,2,6,2,900,端午福利,1649738267,1650429467,19,90001,12
552,2,2,6,3,1800,端午福利,1649738267,1650429467,48,10002,10
560,2,2,7,1,300,端午福利,1649738267,1650429467,19,90001,13
561,2,2,7,2,900,端午福利,1649738267,1650429467,19,90001,14
562,2,2,7,3,1800,端午福利,1649738267,1650429467,19,90001,15
