id,shelter_id,floor_index,floor_type,floor_name,atlas,icon,dec,instance_id,reward1_id,reward1_num,reward2_id,reward2_num
v:number,v:number,v:number,v:number,v:string,v:string,v:string,v:string,v:number,v:number,v:number,v:number,v:number
楼层ID,对应避难所ID,楼层序号,楼层类型（1-普通，2-BOSS）,楼层怪物名称,楼层代表怪的图集,楼层代表怪的图标,楼层代表怪的描述,对应副本ID,奖励1道具id,奖励1数量,奖励2道具id,奖励2数量
1,1,1,1,掠夺者据点,refuge_atlas,touxiang_alzs,简单的挑战,100,150002,2,150001,2
2,1,2,1,失控2层,refuge_atlas,touxiang_alzs,一般的挑战,101,70001,5,70001,5
3,1,3,1,失控3层,refuge_atlas,touxiang_zjz,精英怪物,102,140001,2,140001,2
4,1,4,2,失控4层,refuge_atlas,touxiang_alzs,怪物较多,103,130302,2,80001,1
5,1,5,1,失控5层,refuge_atlas,touxiang_alzs,需要治疗,104,10004,2,10004,5
6,1,6,1,神秘BOSS,refuge_atlas,touxiang_1200,防御高|血量多|需要治疗,105,10002,25,10002,25
7,1,7,1,感染者据点,refuge_atlas,touxiang_1400b,简单的挑战,106,130400,5,130400,5
8,1,8,2,失控8层,refuge_atlas,touxiang_1400b,一般的挑战,107,150006,2,80002,1
9,1,9,1,失控9层,refuge_atlas,touxiang_1300a,精英怪物,108,140001,2,140001,2
10,1,10,1,失控10层,refuge_atlas,touxiang_1400b,怪物较多,109,10004,2,10004,5
11,1,11,1,失控11层,refuge_atlas,touxiang_1400b,需要治疗,110,130102,2,150006,2
12,1,12,2,神秘BOSS,refuge_atlas,touxiang_1500,闪避高|攻击高|吸引火力,111,413048,1,10002,50
13,1,13,1,游荡者据点,refuge_atlas,touxiang_1600,简单的挑战,112,70001,5,70001,5
14,1,14,1,失控14层,refuge_atlas,touxiang_1600,一般的挑战,113,10004,2,80003,1
15,1,15,1,失控15层,refuge_atlas,touxiang_1700,精英怪物,114,140001,2,140001,2
16,1,16,2,失控16层,refuge_atlas,touxiang_1600,怪物较多,115,150001,2,90001,2
17,1,17,1,失控17层,refuge_atlas,touxiang_1600,需要治疗,116,130202,2,150006,2
18,1,18,1,神秘BOSS,refuge_atlas,touxiang_ldztm,高爆发|攻击高|需要治疗,117,413034,1,10002,75
19,1,19,1,变异者据点,refuge_atlas,touxiang_1900,简单的挑战,118,70001,5,70001,5
20,1,20,2,失控20层,refuge_atlas,touxiang_1900,一般的挑战,119,150002,2,150001,2
21,1,21,1,失控21层,refuge_atlas,touxiang_2000,精英怪物,120,130400,5,130400,5
22,1,22,1,失控22层,refuge_atlas,touxiang_1900,怪物较多,121,130302,2,80001,1
23,1,23,1,失控23层,refuge_atlas,touxiang_1900,需要治疗,122,150006,2,80002,1
24,1,24,2,神秘BOSS,refuge_atlas,touxiang_2100,有吸血|注意控制|需要治疗,123,10002,80,10002,100
25,1,25,1,丧尸据点,refuge_atlas,touxiang_1400a,简单的挑战,124,70001,5,70001,5
26,1,26,1,失控26层,refuge_atlas,touxiang_1400a,一般的挑战,125,150001,2,90001,2
27,1,27,1,失控27层,refuge_atlas,touxiang_1300b,精英怪物,126,130102,2,150006,2
28,1,28,2,失控28层,refuge_atlas,touxiang_1400a,怪物较多,127,140001,2,140001,2
29,1,29,1,失控29层,refuge_atlas,touxiang_1400a,需要治疗,128,70001,5,80003,1
30,1,30,1,神秘BOSS,refuge_atlas,touxiang_2400,防御高|持续伤害|需要治疗,129,414018,1,10002,150
31,2,1,1,掠夺者据点,refuge_atlas,touxiang_alzs,简单的挑战,200,150002,2,150001,2
32,2,2,2,失控2层,refuge_atlas,touxiang_alzs,一般的挑战,201,70001,5,70001,5
33,2,3,1,失控3层,refuge_atlas,touxiang_zjz,精英怪物,202,140001,2,140001,2
34,2,4,1,失控4层,refuge_atlas,touxiang_alzs,怪物较多,203,130302,2,80001,1
35,2,5,1,失控5层,refuge_atlas,touxiang_alzs,需要治疗,204,10004,2,10004,5
36,2,6,2,神秘BOSS,refuge_atlas,touxiang_1200,防御高|血量多|需要治疗,205,10002,25,10002,25
37,2,7,1,感染者据点,refuge_atlas,touxiang_1400b,简单的挑战,206,130400,5,130400,5
38,2,8,1,失控8层,refuge_atlas,touxiang_1400b,一般的挑战,207,150006,2,80002,1
39,2,9,1,失控9层,refuge_atlas,touxiang_1300a,精英怪物,208,140001,2,140001,2
40,2,10,2,失控10层,refuge_atlas,touxiang_1400b,怪物较多,209,10004,2,10004,5
41,2,11,1,失控11层,refuge_atlas,touxiang_1400b,需要治疗,210,130102,2,150006,2
42,2,12,1,神秘BOSS,refuge_atlas,touxiang_1500,闪避高|攻击高|吸引火力,211,413048,1,10002,50
43,2,13,1,游荡者据点,refuge_atlas,touxiang_1600,简单的挑战,212,70001,5,70001,5
44,2,14,2,失控14层,refuge_atlas,touxiang_1600,一般的挑战,213,10004,2,80003,1
45,2,15,1,失控15层,refuge_atlas,touxiang_1700,精英怪物,214,140001,2,140001,2
46,2,16,1,失控16层,refuge_atlas,touxiang_1600,怪物较多,215,150001,2,90001,2
47,2,17,1,失控17层,refuge_atlas,touxiang_1600,需要治疗,216,130202,2,150006,2
48,2,18,2,神秘BOSS,refuge_atlas,touxiang_ldztm,高爆发|攻击高|需要治疗,217,413034,1,10002,75
49,2,19,1,变异者据点,refuge_atlas,touxiang_1900,简单的挑战,218,70001,5,70001,5
50,2,20,1,失控20层,refuge_atlas,touxiang_1900,一般的挑战,219,150002,2,150001,2
51,2,21,1,失控21层,refuge_atlas,touxiang_2000,精英怪物,220,130400,5,130400,5
52,2,22,2,失控22层,refuge_atlas,touxiang_1900,怪物较多,221,130302,2,80001,1
53,2,23,1,失控23层,refuge_atlas,touxiang_1900,需要治疗,222,150006,2,80002,1
54,2,24,1,神秘BOSS,refuge_atlas,touxiang_2100,有吸血|注意控制|需要治疗,223,10002,80,10002,100
55,2,25,1,丧尸据点,refuge_atlas,touxiang_1400a,简单的挑战,224,70001,5,70001,5
56,2,26,2,失控26层,refuge_atlas,touxiang_1400a,一般的挑战,225,150001,2,90001,2
57,2,27,1,失控27层,refuge_atlas,touxiang_1300b,精英怪物,226,130102,2,150006,2
58,2,28,1,失控28层,refuge_atlas,touxiang_1400a,怪物较多,227,140001,2,140001,2
59,2,29,1,失控29层,refuge_atlas,touxiang_1400a,需要治疗,228,70001,5,80003,1
60,2,30,2,神秘BOSS,refuge_atlas,touxiang_2400,防御高|持续伤害|需要治疗,229,414018,1,10002,150
61,3,1,1,掠夺者据点,refuge_atlas,touxiang_alzs,简单的挑战,300,150002,5,150001,2
62,3,2,1,失控2层,refuge_atlas,touxiang_alzs,一般的挑战,301,70001,8,70001,8
63,3,3,1,失控3层,refuge_atlas,touxiang_zjz,精英怪物,302,140001,2,140001,2
64,3,4,2,失控4层,refuge_atlas,touxiang_alzs,怪物较多,303,130302,2,80001,1
65,3,5,1,失控5层,refuge_atlas,touxiang_alzs,需要治疗,304,10004,2,10004,5
66,3,6,1,神秘BOSS,refuge_atlas,touxiang_1200,防御高|血量多|需要治疗,305,10002,25,10002,25
67,3,7,1,感染者据点,refuge_atlas,touxiang_1400b,简单的挑战,306,130400,5,130400,5
68,3,8,2,失控8层,refuge_atlas,touxiang_1400b,一般的挑战,307,150006,2,80002,1
69,3,9,1,失控9层,refuge_atlas,touxiang_1300a,精英怪物,308,140001,2,140001,2
70,3,10,1,失控10层,refuge_atlas,touxiang_1400b,怪物较多,309,10004,2,10004,5
71,3,11,1,失控11层,refuge_atlas,touxiang_1400b,需要治疗,310,130102,2,150006,2
72,3,12,2,神秘BOSS,refuge_atlas,touxiang_1500,闪避高|攻击高|吸引火力,311,413048,1,10002,50
73,3,13,1,游荡者据点,refuge_atlas,touxiang_1600,简单的挑战,312,70001,8,70001,8
74,3,14,1,失控14层,refuge_atlas,touxiang_1600,一般的挑战,313,10004,2,80003,1
75,3,15,1,失控15层,refuge_atlas,touxiang_1700,精英怪物,314,140001,2,140001,2
76,3,16,2,失控16层,refuge_atlas,touxiang_1600,怪物较多,315,150001,2,90001,2
77,3,17,1,失控17层,refuge_atlas,touxiang_1600,需要治疗,316,130202,2,150006,2
78,3,18,1,神秘BOSS,refuge_atlas,touxiang_ldztm,高爆发|攻击高|需要治疗,317,413034,1,10002,75
79,3,19,1,变异者据点,refuge_atlas,touxiang_1900,简单的挑战,318,70001,8,70001,8
80,3,20,2,失控20层,refuge_atlas,touxiang_1900,一般的挑战,319,150002,2,150001,2
81,3,21,1,失控21层,refuge_atlas,touxiang_2000,精英怪物,320,130400,5,130400,5
82,3,22,1,失控22层,refuge_atlas,touxiang_1900,怪物较多,321,130302,2,80001,1
83,3,23,1,失控23层,refuge_atlas,touxiang_1900,需要治疗,322,150006,2,80002,1
84,3,24,2,神秘BOSS,refuge_atlas,touxiang_2100,有吸血|注意控制|需要治疗,323,10002,80,10002,100
85,3,25,1,丧尸据点,refuge_atlas,touxiang_1400a,简单的挑战,324,70001,8,70001,8
86,3,26,1,失控26层,refuge_atlas,touxiang_1400a,一般的挑战,325,150001,2,90001,2
87,3,27,1,失控27层,refuge_atlas,touxiang_1300b,精英怪物,326,130102,2,150006,2
88,3,28,2,失控28层,refuge_atlas,touxiang_1400a,怪物较多,327,140001,2,140001,2
89,3,29,1,失控29层,refuge_atlas,touxiang_1400a,需要治疗,328,70001,8,80003,1
90,3,30,1,神秘BOSS,refuge_atlas,touxiang_2400,防御高|持续伤害|需要治疗,329,414018,1,10002,150
91,4,1,1,掠夺者据点,refuge_atlas,touxiang_alzs,简单的挑战,400,150002,5,150001,2
92,4,2,2,失控2层,refuge_atlas,touxiang_alzs,一般的挑战,401,70001,8,70001,8
93,4,3,1,失控3层,refuge_atlas,touxiang_zjz,精英怪物,402,140001,2,140001,2
94,4,4,1,失控4层,refuge_atlas,touxiang_alzs,怪物较多,403,130302,2,80001,1
95,4,5,1,失控5层,refuge_atlas,touxiang_alzs,需要治疗,404,10004,2,10004,5
96,4,6,2,神秘BOSS,refuge_atlas,touxiang_1200,防御高|血量多|需要治疗,405,10002,25,10002,25
97,4,7,1,感染者据点,refuge_atlas,touxiang_1400b,简单的挑战,406,130400,5,130400,5
98,4,8,1,失控8层,refuge_atlas,touxiang_1400b,一般的挑战,407,150006,2,80002,1
99,4,9,1,失控9层,refuge_atlas,touxiang_1300a,精英怪物,408,140001,2,140001,2
100,4,10,2,失控10层,refuge_atlas,touxiang_1400b,怪物较多,409,10004,2,10004,5
101,4,11,1,失控11层,refuge_atlas,touxiang_1400b,需要治疗,410,130102,2,150006,2
