id,hero_type,level_min,level_max,conditions,talk,wight
v:number,v:number,v:number,v:number,v:number,v:string,v:number
对话id,职业类别1-战士，2-猎人，3-学者，4-店主，5-npc，6-工匠,最小等级,最大等级,应用条件：xz:1.货架空-2.选中商品-3.没有选中-4.排队人数达到上限-5.观赏-6.碰到人-7.进门前-8.点击触发-9.店主闲逛-10.店主来顾客-11.大门被堵住-12.观赏宠物-13.店主说货架空-14.店主走到空地说话-15.闲逛时到不了目标货架-99.批量收购-100.高价收购-102.约翰招募对话-104.左纳招募对话-105.艾拉招募对话-106.伊利欧斯招募对话-107.劳伦斯招募对话,对话,权重
101001,1,1,50,1,没货了。,10000
101002,1,1,50,1,这里需要补充装备。,10000
101003,1,1,50,1,店主，快补货。,10000
101005,1,1,50,1,快给货架上点货，伙计。,10000
101006,1,1,50,1,下次来，希望有货。,10000
101007,1,1,50,1,商店被抢劫了吗？,10000
101008,1,1,50,1,需要我给你上货吗？,10000
101009,1,1,50,1,什么都没有了吗？,10000
101010,1,1,50,1,白来了！,10000
101013,1,1,50,1,该补货了,10000
101014,1,1,50,1,别打盹，老板。,10000
101015,1,1,50,1,你的货架有股禅意。,10000
101016,1,1,50,1,需要补充货物。,10000
101017,1,1,50,1,货架空了。,10000
101018,1,1,50,1,没货了。,10000
101019,2,1,50,1,没货了。,10000
101020,2,1,50,1,还不是休息的时候。,10000
101021,2,1,50,1,货架空了。,10000
101022,2,1,50,1,该补货了。,10000
101023,2,1,50,1,下次来，希望有货。,10000
101024,2,1,50,1,白来了！,10000
101025,2,1,50,1,真相就是没货了。,10000
101026,2,1,50,1,店主，快补货。,10000
101027,2,1,50,1,店主真懒,10000
101028,2,1,50,1,还做不做生意了？,10000
101031,2,1,50,1,请上货，速度快。,10000
101033,2,1,50,1,没货了。,10000
101034,2,1,50,1,别打盹，老板补货吧。,10000
101036,2,1,50,1,下次来，希望有货。,10000
101037,3,1,50,1,货架空了。,10000
101038,3,1,50,1,怎么没货，赶着救人呢？,10000
101039,3,1,50,1,什么都没有了吗？,10000
101040,3,1,50,1,没货了。,10000
101041,3,1,50,1,这里需要补充装备。,10000
101042,3,1,50,1,店主，快补货。,10000
101044,3,1,50,1,还做不做生意了？,10000
101045,3,1,50,1,下次来，希望有货。,10000
