id,name,architecture_type,cost_grade,icon,big_icon,atlas,unlock_type,unlock_id,unlock_val,introduction_dec,functional_dec,shared_dec
v:number,v:string,v:number,v:number,v:string,v:string,v:string,v:number,v:number,v:number,v:string,v:string,v:string
id,建筑或科技名字,建筑类型：1-资源建筑，2-功能建筑，3-科研项目，4-特殊建筑,建筑花费档位（用于升级花费）：1-A档，2-B档，3-C档,图标,大图标,图集,解锁类型：0-直接解锁，1-指定X建筑达到X级，2-店主达到X级，3-解锁指定X工匠,解锁需要的id（根据解锁类型来读参数，类型1的代表建筑ID，类型3代表工匠ID）,店主等级,介绍描述,介绍描述,介绍描述
1000,铁矿厂,1,1,icon_ziyuan3,jianzhu_tiekuangchang,item_atlas,0,0,0,修复的铁矿厂，可以源源不断的产出铁矿。,改造铁矿厂，将提升铁矿生产效率。,统计商会联盟内所有成员的铁矿厂改造次数，改造次数越多，共享奖励加成越高
1100,伐木厂,1,1,icon_ziyuan7,jianzhu_famuchang,item_atlas,0,0,0,修复的伐木厂，可以源源不断的产出木材。,改造伐木厂，将提升木材生产效率。,统计商会联盟内所有成员的伐木厂改造次数，改造次数越多，共享奖励加成越高
1200,皮革厂,1,1,icon_ziyuan10,jianzhu_pige,item_atlas,0,0,0,修复的皮革厂，可以源源不断的产出皮革。,改造皮革厂，将提升皮革生产效率。,统计商会联盟内所有成员的皮革厂改造次数，改造次数越多，共享奖励加成越高
1300,纺织厂,1,1,icon_ziyuan6,jianzhu_fangzhichang,item_atlas,1,1200,7,修复的纺织厂，可以源源不断的产出布料。,改造纺织厂，将提升布料生产效率。,统计商会联盟内所有成员的纺织厂改造次数，改造次数越多，共享奖励加成越高
1400,化学制剂厂,1,2,icon_ziyuan9,jianzhu_huaxuezhiji,item_atlas,0,0,0,修复的化学制剂厂，可以源源不断的产出药剂。,改造化学制剂厂，将提升化学药剂生产效率。,统计商会联盟内所有成员的化学制剂厂改造次数，改造次数越多，共享奖励加成越高
1500,炼钢厂,1,2,icon_ziyuan8,jianzhu_liangangchang,item_atlas,1,1000,7,修复的炼钢厂，可以源源不断的产出钢材。,改造炼钢厂，将提升钢材生产效率。,统计商会联盟内所有成员的炼钢厂改造次数，改造次数越多，共享奖励加成越高
1600,橡胶工厂,1,2,icon_ziyuan1,jianzhu_xiangjiaochang,item_atlas,1,1100,7,修复的橡胶工厂，可以源源不断的产出橡胶。,改造橡胶工厂，将提升橡胶生产效率。,统计商会联盟内所有成员的橡胶工厂改造次数，改造次数越多，共享奖励加成越高
1700,炼油厂,1,2,icon_ziyuan4,jianzhu_caiyoujidi,item_atlas,1,1400,7,修复的炼油厂，可以源源不断的产出油料。,改造炼油厂，将提升油料生产效率。,统计商会联盟内所有成员的炼油厂改造次数，改造次数越多，共享奖励加成越高
