id,item_type,item_id,name,item_num,price_goldBar,tab,probability,slot_id
v:number,v:number,v:number,v:string,v:number,v:number,v:string,v:number,v:number
奖励序号,类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包/29-联盟币/30-联盟积分/31-联盟声望/40-家具/41-店主装饰/42-英雄卡/43-制作槽位数/44-冒险队列数/45-店铺等级/46-英雄栏位数/47-交易栏位数/48-巧匠奖杯),商品道具id,商品道具名字,商品道具数量,所需金条,商品标签,权重,黑市槽位id
1,19,90002,护卫进阶凭证,4,120,,100,1
2,19,90003,突击手进阶凭证,4,120,,100,1
3,19,90004,指挥官进阶凭证,4,120,,100,1
4,19,90005,射手进阶凭证,4,120,,100,1
5,19,90006,侦探进阶凭证,4,120,,100,1
6,19,90007,忍者进阶凭证,4,120,,100,1
7,19,90008,医生进阶凭证,4,120,,100,1
8,19,90009,教授进阶凭证,4,120,,100,1
9,19,90010,修士进阶凭证,4,120,,100,1
10,19,90002,护卫进阶凭证,10,200,超值\n150%,50,1
11,19,90003,突击手进阶凭证,10,200,超值\n150%,50,1
12,19,90004,指挥官进阶凭证,10,200,超值\n150%,50,1
13,19,90005,射手进阶凭证,10,200,超值\n150%,50,1
14,19,90006,侦探进阶凭证,10,200,超值\n150%,50,1
15,19,90007,忍者进阶凭证,10,200,超值\n150%,50,1
16,19,90008,医生进阶凭证,10,200,超值\n150%,50,1
17,19,90009,教授进阶凭证,10,200,超值\n150%,50,1
18,19,90010,修士进阶凭证,10,200,超值\n150%,50,1
19,19,90001,普通转职证书,4,120,,100,2
20,19,90011,精英转职证书,2,100,,50,2
21,19,90001,普通转职证书,5,150,,100,2
22,19,90011,精英转职证书,5,248,,50,2
23,19,90001,普通转职证书,5,125,,100,2
24,19,90011,精英转职证书,5,248,,50,2
25,19,90012,王牌转职证书,1,100,<color=#e95aff>稀有</color>,20,2
26,19,90013,传奇转职证书,1,300,<Color=#ff911c>超稀有</Color>,10,2
27,19,90002,护卫进阶凭证,10,150,超值\n200%,100,3
28,19,90003,突击手进阶凭证,10,150,超值\n200%,100,3
29,19,90004,指挥官进阶凭证,10,150,超值\n200%,100,3
30,19,90005,射手进阶凭证,10,150,超值\n200%,100,3
31,19,90006,侦探进阶凭证,10,150,超值\n200%,100,3
32,19,90007,忍者进阶凭证,10,150,超值\n200%,100,3
33,19,90008,医生进阶凭证,10,150,超值\n200%,100,3
34,19,90009,教授进阶凭证,10,150,超值\n200%,100,3
35,19,90010,修士进阶凭证,10,150,超值\n200%,100,3
36,19,90011,精英转职证书,5,248,,80,3
37,19,90012,王牌转职证书,5,450,<color=#e95aff>稀有</color>,50,3
38,19,90013,传奇转职证书,2,550,<Color=#ff911c>超稀有</Color>,30,3
39,20,130003,大型机动车,2,160,,100,4
40,21,130102,高级探测器,2,160,,80,4
41,22,130202,高级战斗辅助器,2,160,,100,4
42,24,130302,高级战斗手册,2,160,,80,4
43,5,150001,恢复药水,6,120,,100,4
44,4,150002,功能饮料,2,100,,80,4
47,25,130400,维修工具,2,100,,50,4
48,20,130003,大型机动车,2,160,,100,5
49,21,130102,高级探测器,2,160,,100,5
50,22,130202,高级战斗辅助器,2,160,,100,5
51,24,130302,高级战斗手册,2,160,,100,5
52,17,140001,幸运转盘,3,120,,50,5
53,18,150006,小型经验箱,1,200,超值\n150%,80,5
54,18,150007,中型经验箱,1,750,超值\n150%,60,5
55,4,10004,图纸碎片,10,350,,80,5
56,17,140001,幸运转盘,5,200,,100,6
57,23,150001,恢复药水,2,150,,80,6
58,23,150002,功能饮料,5,125,,100,6
59,4,10004,图纸碎片,5,200,,80,6
