id,day,level,time_min,time_max,task_1,task1_min,task1_max,reward1_type,reward1_id,reward1_number,task_2,task2_min,task2_max,reward2_type,reward2_id,reward2_number,countdown
v:number,v:number,v:number,v:number,v:number,list:number,v:number,v:number,v:number,v:number,v:number,list:number,v:number,v:number,v:number,v:number,v:number,v:number
id,对应的任务天数,阶段,最小cd时间（秒）,最大cd时间(秒),任务A,任务A最低数量,任务A最高数量,奖励类型,奖励ID,奖励数量,任务B,任务b最低数量,任务b最高数量,奖励类型,奖励ID,奖励数量,倒计时(秒)
1,1,1,1800,2400,5:19,3,5,28,300004,1,1:9,3,5,28,300005,1,1800
2,1,2,1800,2400,6:20,3,5,28,300004,1,2:9,3,5,28,300005,1,1800
3,1,3,1800,2400,7:22,3,5,28,300004,1,10:3,3,5,28,300005,1,1800
4,2,1,1800,2400,7:20,4,6,28,300004,1,10:12,4,6,28,300005,1,1800
5,2,2,1800,2400,8:22,4,6,28,300004,1,11:13,4,6,28,300005,1,1800
6,2,3,1800,2400,8:19,4,6,28,300004,1,2:12,4,6,28,300005,1,1800
7,3,1,1800,2400,5:22,4,7,28,300004,1,2:13,4,7,28,300005,1,1800
8,3,2,1800,2400,6:19,4,7,28,300004,1,10:15,4,7,28,300005,1,1800
9,3,3,1800,2400,7:20,4,7,28,300004,1,11:16,4,7,28,300005,1,1800
10,4,1,1800,2400,7:19,5,7,28,300004,1,14:21,5,7,28,300005,1,1800
11,4,2,1800,2400,8:20,5,7,28,300004,1,1:16,5,7,28,300005,1,1800
12,4,3,1800,2400,5:22,5,7,28,300004,1,2:17,5,7,28,300005,1,1800
13,5,1,1800,2400,8:22,5,8,28,300004,1,1:21,5,8,28,300005,1,1800
14,5,2,1800,2400,5:19,5,8,28,300004,1,14:4,5,8,28,300005,1,1800
15,5,3,1800,2400,6:20,5,8,28,300004,1,10:9,5,8,28,300005,1,1800
16,6,1,1800,2400,7:22,5,9,28,300004,1,1:23,5,9,28,300005,1,1800
17,6,2,1800,2400,8:19,5,9,28,300004,1,11:9,5,9,28,300005,1,1800
18,6,3,1800,2400,5:20,5,9,28,300004,1,1:9,5,9,28,300005,1,1800
19,7,1,1800,2400,6:22,6,9,28,300004,1,2:4,6,9,28,300005,1,1800
20,7,2,1800,2400,7:19,6,9,28,300004,1,1:4,6,9,28,300005,1,1800
21,7,3,1800,2400,5:22,6,9,28,300004,1,10:13,6,9,28,300005,1,1800
