id,atlas,icon,isShow,type,,,,
v:number,v:string,v:string,v:number,v:number,,,,
表情id,图集,图标,是否显示（0-不显示，1-显示）,类型（0-常规用户，1-Vip）,,,,
1,chatEmoji_atlas,0,1,0,,,,
2,chatEmoji_atlas,1,1,0,,,,
3,chatEmoji_atlas,2,1,0,,,,
4,chatEmoji_atlas,3,1,0,,,,
5,chatEmoji_atlas,4,1,0,,,,
6,chatEmoji_atlas,5,1,0,,,,
7,chatEmoji_atlas,6,1,0,,,,
8,chatEmoji_atlas,7,1,0,,,,
9,chatEmoji_atlas,8,1,0,,,,
10,chatEmoji_atlas,9,1,0,,,,
11,chatEmoji_atlas,10,1,0,,,,
12,chatEmoji_atlas,11,1,0,,,,
13,chatEmoji_atlas,12,1,0,,,,
14,chatEmoji_atlas,13,1,0,,,,
15,chatEmoji_atlas,14,1,0,,,,
16,chatEmoji_atlas,15,1,0,,,,
17,chatEmoji_atlas,16,1,0,,,,
18,chatEmoji_atlas,17,1,0,,,,
19,chatEmoji_atlas,18,1,0,,,,
20,chatEmoji_atlas,19,1,0,,,,
21,chatEmoji_atlas,20,1,0,,,,
22,chatEmoji_atlas,21,1,0,,,,
23,chatEmoji_atlas,22,1,0,,,,
24,chatEmoji_atlas,23,1,0,,,,
25,chatEmoji_atlas,24,1,0,,,,
26,chatEmoji_atlas,25,1,0,,,,
27,chatEmoji_atlas,26,1,0,,,,
28,chatEmoji_atlas,27,1,0,,,,
