id,trigger_condition_type,trigger_condition_parameters,customer_type,customer_outward,need_equip_id,need_num,award_type,award_id,award_num,buy_type
v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
id,顾客触发条件：1-完成指定新手引导步骤ID，2-开启待办任务组，3-完成待办任务ID，4-指定剧情顾客结束（不包含拒绝）,触发参数,剧情顾客类型：1-批量收购，2-观赏家具，3-购买指定ID装备5倍价钱，4-购买指定ID装备正常价格，5-前来半价出售指定ID装备，6-前来出售指定副本道具，7-前来半价出售X件指定装备,顾客外形：0~为英雄模型逻辑生成的模型/其它~为NPC模型id,剧情顾客需求id,剧情顾客需求数量,类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包/29-联盟币/30-联盟积分/31-联盟声望/40-家具/41-店主装饰/42-英雄卡/43-制作槽位数/44-冒险队列数/45-店铺等级/46-英雄栏位数/47-交易栏位数/48-巧匠奖杯),奖励_id,奖励_数量,购买价格是否免费0~免费/1~收费
1001,3,1,3,1,4011,1,,,,1
1002,3,4,2,0,-1,-1,3,10003,20,1
1003,2,3,4,0,12021,1,,,,1
1004,4,1003,4,0,4011,1,,,,1
1006,2,4,7,400,4011,5,,,,0
1007,3,12,1,300,2011,7,2,10002,5,1
1008,4,1007,1,300,12011,7,2,10002,5,1
1009,4,1008,1,300,15011,6,2,10002,5,1
1010,4,1009,3,9999,16011,1,,,,1
1011,3,14,6,3,20003,20,,,,0
1012,3,17,7,6,4014,1,,,,1
1013,2,8,7,1,16011,5,,,,0
1014,3,8,7,500,6152,1,,,,0
1015,3,19,6,300,30001,5,,,,0
