id,pack_type,item_type,item_id,item_num,probability,desc
v:number,v:number,v:number,v:number,v:number,v:number,v:string
序号,礼包类型：1~每日免费普通礼包/2~每日广告（VIP可免看广告）礼包,类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备),奖励道具id,奖励道具数量,获得权重,描述
1,1,23,150002,1,3000,功能饮料
2,1,18,150003,1,2000,初级训练卡
3,1,20,130001,1,3000,便携交通工具
4,1,2,10002,2,0,金条
5,1,17,140001,1,1000,幸运转盘
6,2,2,10002,5,1000,金条
7,2,24,130300,1,0,初级战斗手册
8,2,23,150002,1,0,功能饮料
9,2,18,150003,1,0,初级训练卡
10,2,2,10002,5,1000,金条
11,2,20,130001,1,0,便携交通工具
12,2,17,140001,1,0,幸运转盘
