id,lv_min,lv_max,drop_group,type,rarity,name,item_id,item_num,probability
v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number
id,店主等级下限,店主等级上限,掉落组ID,类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备),奖励稀有度（1-普通奖励；2-稀有；3-超稀有）,奖励名字,道具ID,奖励数量,获得权重
10001,1,99,100,26,1,砍刀,1011,2,500
10002,1,99,100,26,1,粗壮树干,2011,2,500
10003,1,99,100,26,1,简易弓,3011,1,500
10004,1,99,100,26,1,专家复合弓,3021,2,400
10005,1,99,100,26,1,左轮手枪,4011,1,300
10011,1,99,100,26,1,先锋战甲,10011,1,500
10012,1,99,100,26,1,防爆战甲,11011,1,500
10013,1,99,100,26,1,短袖,12011,1,500
10014,1,99,100,26,1,木桶头盔,13011,2,500
10015,1,99,100,26,1,棒球帽,14011,2,500
10016,1,99,100,26,1,御寒棉帽,14021,1,200
10017,1,99,100,26,1,牛仔裤,15011,1,500
10018,1,99,100,26,1,防爆腿甲,16011,1,500
10019,1,99,100,26,1,洞洞鞋,17011,2,500
10020,1,99,100,26,1,板鞋,17021,1,200
10021,1,99,100,26,1,雨靴,18011,1,500
10022,1,99,100,20,2,便携交通工具,130001,1,20
10023,1,99,100,20,2,轻型机动车,130002,1,10
10024,1,99,100,21,2,初级探测器,130100,1,20
10025,1,99,100,21,2,中级探测器,130101,1,10
10026,1,99,100,22,2,初级战斗辅助器,130200,1,20
10027,1,99,100,22,2,中级战斗辅助器,130201,1,10
10028,1,99,100,24,2,初级战斗手册,130300,1,20
10029,1,99,100,24,2,中级战斗手册,130301,1,10
10030,1,99,100,18,2,初级训练卡,150003,1,20
10031,1,99,100,18,2,中级训练卡,150004,1,10
10032,1,99,100,25,2,维修工具,130400,1,10
10033,1,99,100,23,2,功能饮料,150002,1,10
10034,1,99,100,8,2,沉重的行李箱,50001,1,400
10035,1,99,100,9,2,行李箱钥匙,60001,1,2
10036,1,99,110,26,1,砍刀,1011,3,300
10037,1,99,110,26,1,粗壮树干,2011,3,300
10038,1,99,110,26,1,简易弓,3011,2,300
10039,1,99,110,26,1,专家复合弓,3021,3,240
10040,1,99,110,26,1,左轮手枪,4011,2,180
10041,1,99,110,26,1,先锋战甲,10011,2,300
10042,1,99,110,26,1,防爆战甲,11011,2,300
10043,1,99,110,26,1,短袖,12011,2,300
10044,1,99,110,26,1,木桶头盔,13011,3,300
10045,1,99,110,26,1,棒球帽,14011,3,300
10046,1,99,110,26,1,御寒棉帽,14021,2,120
10047,1,99,110,26,1,牛仔裤,15011,2,300
10048,1,99,110,26,1,防爆腿甲,16011,2,300
10049,1,99,110,26,1,洞洞鞋,17011,3,300
10050,1,99,110,26,1,板鞋,17021,2,120
10051,1,99,110,26,1,雨靴,18011,2,300
10052,1,99,110,26,1,砍刀,1012,1,200
10053,1,99,110,26,1,粗壮树干,2012,1,200
10054,1,99,110,26,1,简易弓,3012,1,200
10055,1,99,110,26,1,专家复合弓,3022,1,160
10056,1,99,110,26,1,左轮手枪,4012,1,120
10057,1,99,110,26,1,先锋战甲,10012,1,200
10058,1,99,110,26,1,防爆战甲,11012,1,200
10059,1,99,110,26,1,短袖,12012,1,200
10060,1,99,110,26,1,木桶头盔,13012,1,200
10061,1,99,110,26,1,棒球帽,14012,1,200
10062,1,99,110,26,1,御寒棉帽,14022,1,80
10063,1,99,110,26,1,牛仔裤,15012,1,200
10064,1,99,110,26,1,防爆腿甲,16012,1,200
10065,1,99,110,26,1,洞洞鞋,17012,1,200
10066,1,99,110,26,1,板鞋,17022,1,80
10067,1,99,110,26,1,雨靴,18012,1,200
10068,1,99,110,20,2,便携交通工具,130001,1,20
10069,1,99,110,20,2,轻型机动车,130002,1,10
10070,1,99,110,21,2,初级探测器,130100,1,20
10071,1,99,110,21,2,中级探测器,130101,1,10
10072,1,99,110,22,2,初级战斗辅助器,130200,1,20
10073,1,99,110,22,2,中级战斗辅助器,130201,1,10
10074,1,99,110,24,2,初级战斗手册,130300,1,20
10075,1,99,110,24,2,中级战斗手册,130301,1,10
10076,1,99,110,18,2,初级训练卡,150003,1,20
10077,1,99,110,18,2,中级训练卡,150004,1,10
10078,1,99,110,25,2,维修工具,130400,1,10
10079,1,99,110,23,2,功能饮料,150002,1,10
10080,1,99,110,8,2,沉重的行李箱,50001,1,200
10081,1,99,110,9,2,行李箱钥匙,60001,1,2
10082,1,99,120,26,1,砍刀,1011,5,250
10083,1,99,120,26,1,粗壮树干,2011,5,250
10084,1,99,120,26,1,简易弓,3011,4,250
10085,1,99,120,26,1,专家复合弓,3021,5,200
10086,1,99,120,26,1,左轮手枪,4011,4,150
10087,1,99,120,26,1,先锋战甲,10011,4,250
10088,1,99,120,26,1,防爆战甲,11011,4,250
