id,name,atlas,big_icon,icon,icon_shelf,type,sub_type,desc,sort,level,unlock_show_type,unlock_show_val,unlock_type,unlock_val_01,unlock_val_02,unlock_dec,activate_drawing,artisan_id,artisan_lv,production_artisan_exp,speed_up_energy,make_integral,speed_up_diamond,production_time,material_id,material_num,delete_material_id,delete_material_num,component1_type,component1_id,component1_num,component2_type,component2_id,component2_num,progress1_reward_type,progress1_reward_id,progress1_reward_val,progress1_exp,progress1_dec,progress1_blueprint,progress2_reward_type,progress2_reward_id,progress2_reward_val,progress2_exp,progress2_dec,progress2_blueprint,progress3_reward_type,progress3_reward_id,progress3_reward_val,progress3_exp,progress3_dec,progress3_blueprint,progress4_reward_type,progress4_reward_id,progress4_reward_val,progress4_exp,progress4_dec,progress4_blueprint,progress5_reward_type,progress5_reward_id,progress5_reward_val,progress5_exp,progress5_dec,progress5_blueprint,star1_reward_type,star1_reward_id,star1_reward_val,star1_item_num,star1__dec,star2_reward_type,star2_reward_id,star2_reward_val,star2_item_num,star2__dec,star3_reward_type,star3_reward_id,star3_reward_val,star3_item_num,star3__dec
v:number,v:string,v:string,v:string,v:string,v:string,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:number,list:number,list:number,v:number,v:number,v:number,v:number,v:number,list:number,list:number,list:number,list:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:string
装备ID,装备类别名称,图集,大图标url,UI对应图标,货架对应图标,大类别,小类别,装备说明,序号,等级,前端显示解锁条件类型:1-获得指定员工解锁，2-制作指定装备达到X数量解锁，3-宝箱获得，4-转盘获得，5-七日目标完成获得，6-礼包获得,前端显示解锁条件,解锁类型:1-获得指定员工解锁，2-制作指定装备达到X数量解锁，3-通过获得图纸解锁,解锁条件1,解锁条件2,解锁说明文字,激活消耗图纸数量,所需员工ID,所需员工等级,制造工匠获得经验,加速能量与时间兑换比例1能量=X秒(改为总消耗能量),巧匠大赛积分,加速消耗钻石(已废弃，改用公式计算),制作时间-秒,消耗材料ID,消耗材料数量,删除返回材料ID,删除返回材料数量,消耗配件1类型,消耗配件1id,消耗配件1数量,消耗配件2类型,消耗配件2id,消耗配件2数量,物品进度1奖励_类型,物品进度1奖励_id,物品进度1奖励_效果值,物品进度1_制作数量,物品进度1_文字说明,物品进度1_奖励图纸数量,物品进度2奖励_类型,物品进度2奖励_id,物品进度2奖励_效果值,物品进度2_制作数量,物品进度2_文字说明,物品进度2_奖励图纸数量,物品进度3奖励_类型,物品进度3奖励_id,物品进度3奖励_效果值,物品进度3_制作数量,物品进度3_文字说明,物品进度3_奖励图纸数量,物品进度4奖励_类型,物品进度4奖励_id,物品进度4奖励_效果值,物品进度4_制作数量,物品进度4_文字说明,物品进度4_奖励图纸数量,物品进度5奖励_类型,物品进度5奖励_id,物品进度5奖励_效果值,物品进度5_制作数量,物品进度5_文字说明,物品进度5_奖励图纸数量,升星1奖励_类型,升星1奖励_id,升星1奖励_效果值（触发概率=X/10000）,升星1_需要材料数量,升星1_文字说明,升星2奖励_类型,升星2奖励_id,升星2奖励_效果值（触发概率=X/10000）,升星2_需要材料数量,升星2_文字说明,升星3奖励_类型,升星3奖励_id,升星3奖励_效果值（触发概率=X/10000）,升星3_需要材料数量,升星3_文字说明
1010,砍刀,Equip_Icon01_atlas,icon_1010,icon_1010,icon_1010,1,1,街头混混的常备武器，大部分人没有勇气挥动它,1,1,1,1,1,1,1,获得工人威廉后解锁,0,1,1,2,15,1,11,14,20001,5,20001,1,,,,,,,7,4010,1,4,解锁图纸,1,7,1020,1,18,解锁图纸,1,5,0,150,32,售价提升,1,8,0,2,50,高品质概率,1,8,0,3,80,高品质概率,1,1,0,1000,5,成本回溯|有几率返还100%材料,2,0,500,10,双倍快乐|有几率制作暴击X2件,3,0,2,20,超凡制作|有几率制作出超凡装备
1020,拳刺,Equip_Icon01_atlas,icon_1020,icon_1020,icon_1020,1,1,佩戴该武器一定要藏在袖子里，这样才能成功击倒敌人,2,2,2,1010,2,1010,18,制作砍刀达到X18可解锁,1,1,2,7,40,10,12,60,20001,9,20001,1,,,,,,,5,0,125,6,售价提升,1,7,1030,1,20,解锁图纸,1,5,0,150,36,售价提升,1,8,0,2,55,高品质概率,1,8,0,3,85,高品质概率,1,1,0,1000,10,成本回溯|有几率返还100%材料,2,0,500,20,双倍快乐|有几率制作暴击X2件,3,0,2,40,超凡制作|有几率制作出超凡装备
1030,铁斧,Equip_Icon01_atlas,icon_1030,icon_1030,icon_1030,1,1,实用的斧子，可以破窗清障，还可以砍人,3,3,2,1020,2,1020,20,制作拳刺达到X20可解锁,3,1,2,18,70,16,13,140,20001,14,20001,1,2,30002,2,,,,5,0,125,6,售价提升,1,7,1050,1,16,解锁图纸,1,4,0,25,28,制作耗时,1,1,20001,3,45,资源节省,1,8,0,2,70,高品质概率,1,1,0,1000,15,成本回溯|有几率返还100%材料,2,0,500,30,双倍快乐|有几率制作暴击X2件,3,0,2,60,超凡制作|有几率制作出超凡装备
1050,消防斧,Equip_Icon01_atlas,icon_1050,icon_1050,icon_1050,1,1,在消防员手里用来救人，但在士兵手里却是武器,5,4,2,1030,2,1030,16,制作铁斧达到X16可解锁,6,1,5,47,135,27,14,360,20001,21,20001,2,1,1011,1,2,30004,2,4,0,25,7,制作耗时,1,1,20001,6,18,资源节省,1,7,1060,1,32,解锁图纸,1,5,0,125,50,售价提升,1,8,0,2,80,高品质概率,1,1,0,1000,20,成本回溯|有几率返还100%材料,2,0,500,40,双倍快乐|有几率制作暴击X2件,3,0,2,80,超凡制作|有几率制作出超凡装备
1060,钢斧,Equip_Icon01_atlas,icon_1060,icon_1060,icon_1060,1,1,无论切割什么都会比较方便,6,5,2,1050,2,1050,32,制作消防斧达到X32可解锁,10,1,9,110,260,64,14,990,20001:20005,41:8,20001:20005,4:1,2,30008,2,2,30002,3,4,0,25,8,制作耗时,1,1,20001,10,20,资源节省,1,7,1070,1,36,解锁图纸,1,5,0,125,55,售价提升,1,8,0,2,85,高品质概率,1,1,0,1000,25,成本回溯|有几率返还100%材料,2,0,500,50,双倍快乐|有几率制作暴击X2件,3,0,2,100,超凡制作|有几率制作出超凡装备
1070,合金斧,Equip_Icon01_atlas,icon_1070,icon_1070,icon_1070,1,1,钢铁合金的装备，锋利无比,7,6,2,1060,2,1060,36,制作钢斧达到X36可解锁,18,1:7,13:1,203,420,173,14,2400,20001:20005,85:21,20001:20005,8:2,2,30010,4,2,30006,2,4,0,25,9,制作耗时,1,1,20001,18,22,资源节省,1,7,1080,1,40,解锁图纸,1,5,0,125,60,售价提升,1,8,0,2,95,高品质概率,1,1,0,1000,30,成本回溯|有几率返还100%材料,2,0,500,60,双倍快乐|有几率制作暴击X2件,3,0,2,120,超凡制作|有几率制作出超凡装备
1080,锯齿刀,Equip_Icon01_atlas,icon_1080,icon_1080,icon_1080,1,1,看起来很狰狞，锋利的刀刃，削铁如泥,8,7,2,1070,2,1070,40,制作合金斧达到X40可解锁,25,1:7,17:13,330,620,498,14,6000,20001:20005:20008,141:36:18,20001:20005:20008,14:3:1,2,30015,4,,,,4,0,25,10,制作耗时,1,1,20001,30,24,资源节省,1,7,1090,1,44,解锁图纸,1,5,0,125,70,售价提升,1,8,0,2,110,高品质概率,1,1,0,1000,35,成本回溯|有几率返还100%材料,2,0,500,70,双倍快乐|有几率制作暴击X2件,3,0,2,140,超凡制作|有几率制作出超凡装备
1090,斩马刀,Equip_Icon01_atlas,icon_1090,icon_1090,icon_1090,1,1,厚重的刀身，锋利的刀刃，让他变成了敌人的噩梦,9,8,2,1080,2,1080,44,制作锯齿刀达到X44可解锁,35,1:7,21:17,488,860,753,14,13200,20001:20005:20010,199:51:5,20001:20005:20010,19:5:1,2,30018,5,2,30014,2,4,0,25,11,制作耗时,1,1,20001,45,28,资源节省,1,7,1120,1,50,解锁图纸,1,5,0,125,80,售价提升,1,8,0,2,125,高品质概率,1,1,0,1000,40,成本回溯|有几率返还100%材料,2,0,500,80,双倍快乐|有几率制作暴击X2件,3,0,2,160,超凡制作|有几率制作出超凡装备
1120,长刀,Equip_Icon02_atlas,icon_1120,icon_1120,icon_1120,1,1,沉重的长刀，震慑敌人的利器,12,9,2,1090,2,1090,50,制作斩马刀达到X50可解锁,45,1:7,25:21,683,1140,1375,14,20400,20001:20005:20010,259:72:12,20001:20005:20010,25:7:1,2,30019,4,2,30015,5,4,0,25,10,制作耗时,1,1,20001,55,26,资源节省,1,7,1130,1,46,解锁图纸,1,5,0,125,70,售价提升,1,8,0,2,110,高品质概率,1,1,0,1000,45,成本回溯|有几率返还100%材料,2,0,500,90,双倍快乐|有几率制作暴击X2件,3,0,2,180,超凡制作|有几率制作出超凡装备
1130,双刃战斧,Equip_Icon02_atlas,equip_liren,equip_liren,equip_liren,1,1,两边开刃的巨斧，适合左右劈砍,13,10,2,1120,2,1120,46,制作长刀达到X46可解锁,60,1:7,27:23,795,2335,1835,14,29400,20001:20005:20010,290:82:17,20001:20005:20010,29:8:1,2,30023,5,2,30018,6,4,0,20,10,制作耗时,1,1,20001,60,26,资源节省,1,5,0,125,46,售价提升,1,1,20005,16,70,资源节省,1,8,0,2,110,高品质概率,1,1,0,1000,50,成本回溯|有几率返还100%材料,2,0,500,100,双倍快乐|有几率制作暴击X2件,3,0,2,200,超凡制作|有几率制作出超凡装备
