id,name,Atlas,icon,type,m_rotation_angle,m_coordinate,m_size,g_rotation_angle,g_coordinate,g_size
v:number,v:string,v:string,v:string,v:number,v:number,list:number,list:number,v:number,list:number,list:number
装备类别ID,装备类别名称,图集,图标,装备部位,男-装备背上显示（旋转）,男-装备背上显示（位置）,男-装备背上显示（大小）,女-装备背上显示（旋转）,女-装备背上显示（位置）,女-装备背上显示（大小）
1,利刃,StaticIcon,icon_liren2,1,60,-0.8:-1,1:-1,60,-0.8:-1,1:-1
2,钝器,StaticIcon,icon_dunqi2,1,320,0.5:0.4,1:1,320,0.5:0.6,1:-1
3,弓弩,StaticIcon,icon_gongnu2,1,300,2:-0.8,1:1,340,0.7:-1,1:-1
4,轻型武器,StaticIcon,icon_qingwu2,1,60,-0.8:-0.6,1:-1,60,-0.8:-1,1:-1
5,步枪,StaticIcon,icon_buqiang2,1,330,0.6:-0.2,1:-1,270,1:0.6,1:-1
6,重型武器,StaticIcon,icon_zhongwu2,1,330,0.4:0.3,1:-1,270,1:0.6,1:-1
7,狙击枪,StaticIcon,icon_ju2,1,330,0.4:0.3,1:-1,270,1.2:1,1:-1
8,霰弹枪,StaticIcon,icon_sandan2,1,330,0.4:0.3,1:-1,270,1.2:0.7,1:-1
9,轻型护甲,StaticIcon,icon_qingjia2,2,,,,,,
10,重型护甲,StaticIcon,icon_zhongjia2,2,,,,,,
11,便衣,StaticIcon,icon_bianyi2,2,,,,,,
12,头盔,StaticIcon,icon_toukui2,3,,,,,,
13,帽子,StaticIcon,icon_maozi2,3,,,,,,
14,轻装裤,StaticIcon,icon_qingku2,4,,,,,,
15,重装裤,StaticIcon,icon_zhongku2,4,,,,,,
16,鞋子,StaticIcon,icon_xiezi2,5,,,,,,
17,靴子,StaticIcon,icon_xuezi2,5,,,,,,
18,药品,StaticIcon,icon_yaopin2,6,,,,,,
19,工具,StaticIcon,icon_gongju2,6,,,,,,
20,暗器,StaticIcon,icon_yanqi2,6,,,,,,
21,投掷类,StaticIcon,icon_touzhi2,7,,,,,,
22,首饰,StaticIcon,icon_shoushi2,7,,,,,,
23,盾牌,StaticIcon,icon_dunpai2,7,70,0.3:-1.5,-1:1,120,1.2:-1.5,1:1
