id,forbiden_words
v:number,v:string
ID,屏蔽字
1,兼职
2,招聘
3,网络
4,QQ
5,有意者
6,到货
7,本店
8,代购
9,扣扣
10,客服
11,微店
12,兼值
13,淘宝
14,小姐
15,妓女
16,包夜
17,3P
18,LY
19,JS
20,狼友
21,技师
22,推油
23,胸推
24,BT
25,毒龙
26,口爆
27,楼凤
28,足交
29,口暴
30,口交
31,全套
32,SM
33,桑拿
34,吞精
35,咪咪
36,婊子
37,乳方
38,操逼
39,全职
40,性伴侣
41,网购
42,网络工作
43,代理
44,专业代理
45,帮忙点一下
46,帮忙点下
47,请点击进入
48,详情请进入
49,私人侦探
50,私家侦探
51,针孔摄象
52,调查婚外情
53,信用卡提现
54,无抵押贷款
55,广告代理
56,原音铃声
57,借腹生子
58,找个妈妈
59,找个爸爸
60,代孕妈妈
61,代生孩子
62,代开发票
63,腾讯客服电话
64,销售热线
65,免费订购热线
66,低价出售
67,款到发货
68,回复可见
69,连锁加盟
70,加盟连锁
71,免费二级域名
72,免费使用
73,免费索取
74,蚁力神
75,婴儿汤
76,售肾
77,刻章办
78,买小车
79,套牌车
80,玛雅网
81,电脑传讯
82,视频来源
83,下载速度
84,高清在线
85,全集在线
86,在线播放
87,txt下载
88,六位qq
89,6位qq
90,位的qq
91,个qb
92,送qb
93,用刀横向切腹
94,完全自杀手册
95,四海帮
96,足球投注
97,地下钱庄
98,中国复兴党
99,阿波罗网
100,曾道人
101,六合彩
102,改卷内幕
103,替考试
104,隐形耳机
105,出售答案
106,考中答案
107,答an
108,da案
109,资金周转
110,救市
111,股市圈钱
112,崩盘
113,资金短缺
114,证监会
115,质押贷款
116,小额贷款
117,周小川
118,刘明康
119,尚福林
120,孔丹
121,习近平
122,习仲勋
123,十九大修宪
124,习近平连任
125,宪法修正案
126,任期限制
127,腐败中国
128,三个代表
129,社会主义灭亡
130,打倒中国
131,打倒共产党
132,打倒共产主义
133,打倒胡锦涛
134,打倒江泽民
135,打倒江主席
136,打倒罗干
137,打倒中共
138,打倒朱?F
139,抵制共产党
140,抵制共产主义
141,抵制胡锦涛
142,抵制江泽民
143,抵制江主席
144,抵制李鹏
145,抵制罗干
146,抵制温家宝
147,抵制中共
148,抵制朱?F基
149,灭亡中国
150,亡党亡国
151,粉碎四人帮
152,激流中国
153,特供
154,特贡
155,特共
156,zf大楼
157,殃视
158,贪污腐败
159,强制拆除
160,形式主义
161,政治风波
162,太子党
163,上海帮
164,北京帮
165,清华帮
166,红色贵族
167,权贵集团
168,河蟹社会
169,喝血社会
170,九风
171,9风
172,十七大
173,十7大
174,17da
175,九学
176,9学
177,四风
178,4风
179,双规
180,南街村
181,最淫官员
182,警匪
183,官匪
184,独夫民贼
185,官商勾结
186,城管暴力执法
187,强制捐款
188,毒豺
189,一党执政
190,一党专制
191,一党专政
192,专制政权
193,宪法法院
194,胡平
195,苏晓康
196,贺卫方
197,谭作人
198,焦国标
199,万润南
200,张志新
201,辛???
202,高勤荣
203,王炳章
204,高智晟
205,司马璐
206,刘晓竹
207,刘宾雁
208,魏京生
209,寻找林昭的灵魂
210,别梦成灰
211,谁是新中国
212,讨伐中宣部
213,异议人士
214,民运人士
215,启蒙派
216,选国家主席
217,民一主
218,min主
219,民竹
220,民珠
221,民猪
222,chinesedemocracy
223,大赦国际
224,国际特赦
225,da选
226,投公
227,公头
228,宪政
229,平反
230,党章
231,维权
232,昝爱宗
233,宪章
234,08宪
235,08xz
236,抿主
237,敏主
238,人拳
239,人木又
240,人quan
241,renquan
242,中国人权
243,中国新民党
244,群体事件
245,群体性事件
246,上中央
247,去中央
248,讨说法
249,请愿
250,请命
251,公开信
252,联名上书
