id,name,atlas,icon
v:number,v:string,v:string,v:string
图标id,类型名称,类型图集,图标
1,能量上限,shelfupgrade_atlas,icon_sd
2,货架容量,shelfupgrade_atlas,icon_neirong
3,物品栏大小,shelfupgrade_atlas,icon_cangku
4,堆叠上限,shelfupgrade_atlas,icon_duidie
5,铁仓库容量,shelfupgrade_atlas,icon_ziyuan3
6,木头仓库容量,shelfupgrade_atlas,icon_ziyuan7
7,皮革仓库容量,shelfupgrade_atlas,icon_ziyuan10
8,化学药剂仓库容量,shelfupgrade_atlas,icon_ziyuan9
9,钢仓库容量,shelfupgrade_atlas,icon_ziyuan8
10,橡胶仓库容量,shelfupgrade_atlas,icon_ziyuan1
11,布料仓库容量,shelfupgrade_atlas,icon_ziyuan6
12,石油仓库容量,shelfupgrade_atlas,icon_ziyuan4
13,电路元件仓库容量,shelfupgrade_atlas,icon_ziyuan5
14,玻璃仓库容量,shelfupgrade_atlas,icon_ziyuan2
15,地块大小,shelfupgrade_atlas,icon_dige
16,升级时间,shelfupgrade_atlas,icon_shalou
