id,sort,index,task_id,desc,guide_type,mask_color,trigger_type,trigger_param,if_service_help,service_value,if_return,help_value,return_id,end_type,end_param,conditon_param_1,conditon_param_2,conditon_param_3,conditon_param_4,conditon_param_5,guide_btn_dev,conditon_param_6,btn_view,btn_name,character_id,arrow_direction,wait_id,next_id,last_id,
v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:string,v:number,list:number,v:number,list:number,v:number,v:number,v:number,v:string,v:string,v:string,v:string,v:string,v:string,v:string,v:string,v:string,v:number,v:number,v:number,v:number,v:number,
序列号,组别,索引,显示任务id信息 0不显示；有id显示,解释,1~全屏对话/2~tips/3~强制点击/4~家具解锁成功（界面）/5~解锁工匠/6~任务/7~npc创建/8~npc状态/9~解锁家具(点击)/10~弱引导/11~弱引导加任务展示，提示玩家升2级/12~点击NPC气泡/13~研究图纸+tips/14~人物移动/16~赠送武器/17~找到指定顾客点击气泡/18~触发式引导/20~结束/21判定冒险是否需要加速=参数1(0)-需要则进行(next_id)-不需要则跳转(wait_id)/22~判定生产队列是否清空，空了则进行(next_id)-不空要则跳转(wait_id)/23~空操作/25~英雄休息判定/26~领取奖励(钥匙)/24~tips+强制点击,遮罩透明度-需要/100,1.上一步完成 2.达到等级 3.制造装备数量达成 4.移动至某个坐标 5开场  7 等待界面打开 8 等待顾客到达指定位置 9获得对应装备,触发条件参数,后端额外支持 空：否 ，1：是,后端支持的参数数组 1(产出装备id和数量) 2:0 不来顾客，2:1来正常顾客 ，3 来特定需求的顾客 和需求对应装备 ，3:1011:1 来买砍刀的顾客然后后面不来人 3:1011:2 来买看到的顾客后面正常来人 ，4 赠送装备和数量，5 赠送道具和道具数量 （下发npc招募券 道具表中的东西，赠送图纸） 6研究对应图纸 -1已解锁未激活 -2已激活）7产出物品等阶，7:0代表之后过程不产出高品质装备，7:1代表之后按照正常几率产出高品质装备，7:装备id 代表产出对应id的高品质装备， 8:41:42:11 刷新英雄2个绿色的猎人和1个蓝色的武士，9 战斗探险加速 9:1 第一冒险队列加速，10装备制作加速 10:1 加速当前第一制作队列装备的制作时间 ，参数 11 ：resetHeroState 回复所有英雄状态  13商店每日刷新英雄，禁止商店每日刷新英雄（但可以使用金条刷新）13:0， 开启商店每日刷新13:1  14加速制作--14:2 表示下一步制作的装备只需要2s,是否跳转（没有完成此步骤）,后端辅助参数 下发两个英雄，41，42,跳转id,结束类型 1.无条件 2.点击指定按钮 3.达到等级 4.制作装备数量达成 5.对话完毕 6.创建角色完毕 7.移动到指定坐标 8.点击次数到达,结束条件参数,条件1参数数组 guide=8-->1代表移动，0左，1右,条件2参数数组,条件3参数数组（tips类型用于距离顶部位置）,条件4参数数组,条件5参数数组,引导按键偏移,条件6参数数组-1，说完所有话后，npc消失,组件所在界面,组件名称,npc_id 100以内读取工匠表，100以上100以下读取npc表格，1000代表玩家自己,箭头方向 1.朝上 2.朝下 3.朝左 4.朝右,等待操作后，不需要加速的引导id,下一步引导,上一步引导,
101,1,1,0,创建引导员,7,0,5,,,,,,,6,,3|23,1,0,4|22,0,,,,,400,,,102,,
102,1,2,0,引导员移动,8,0,1,,,,,,,7,,1,0,3|23,,,,,,,400,,,103,101,
103,1,3,0,开场对话1,1,0,1,,1,2:0,,,,5,,1,,,,我们到了！,,,,,400,,,104,102,
104,1,4,0,开场对话2,1,0,1,,1,7:0,,,,5,,1,,,,嗯，这里有好一段时间没人来过了......,,,,,400,,,105,103,
105,1,5,0,人物移动至柜台,8,0,1,,,,,,,7,,1,1,7|23,7|21,,,,,,400,,,106,104,
106,1,6,0,修复柜台对话,1,0,1,,,,,,,5,,1,,,,看看里面还有什么可以用的！,,,,,400,,,107,105,
107,1,7,1001,修复（解锁）柜台,9,0,1,,,,1,,201,8,2,60001,3,500,106,点击<Color=#3aff5c>柜台</Color>进行修复。,-85|139,,,,400,,,108,106,
108,1,8,0,修复（解锁）柜台成功,4,0,1,,,,1,,201,2,,icon_guitai_12001,店长的柜台,任何商店最重要的部分！,,,,,GuideUI,confirmBtn,400,,,109,107,
