id,link_group,help_dec,atlas,icon,btn_txt,task_scenes,jump_val,jump_id_1,jump_id_2,jump_id_3,jump_id_4,jump_id_5,unlock_txt,unlock_lv
v:number,v:number,v:string,v:string,v:string,v:string,v:string,v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:number
id,链接组id-用来识别多个链接让用户选择,帮助描述,链接图集,链接显示图标,按钮名称,跳转所在的场景,跳转的参数,跳转operations_database表id1,跳转operations_database表id2,跳转operations_database表id3,跳转operations_database表id4,跳转operations_database表id5,未解锁显示文字,解锁等级
1,1,-1,-1,-1,前往解锁,CityScene,1000,28055,-1,-1,-1,-1,-1,-1
2,2,-1,-1,-1,前往解锁,CityScene,1100,28055,-1,-1,-1,-1,-1,-1
3,3,-1,-1,-1,前往解锁,CityScene,1200,28055,-1,-1,-1,-1,-1,-1
4,4,-1,-1,-1,前往解锁,CityScene,1400,28055,-1,-1,-1,-1,-1,-1
5,5,-1,-1,-1,前往解锁,CityScene,1500,28055,-1,-1,-1,-1,-1,-1
6,6,-1,-1,-1,前往解锁,CityScene,1600,28055,-1,-1,-1,-1,-1,-1
7,7,-1,-1,-1,前往解锁,CityScene,1300,28055,-1,-1,-1,-1,-1,-1
8,8,-1,-1,-1,前往解锁,CityScene,1700,28055,-1,-1,-1,-1,-1,-1
9,9,-1,-1,-1,前往解锁,CityScene,1900,28055,-1,-1,-1,-1,-1,-1
10,10,-1,-1,-1,前往解锁,CityScene,1800,28055,-1,-1,-1,-1,-1,-1
11,11,-1,-1,-1,前往摆放,IndoorScene,17001,10012,10013,20015,-1,-1,-1,-1
12,12,-1,-1,-1,前往摆放,IndoorScene,18001,10012,10013,20015,-1,-1,-1,-1
13,13,-1,-1,-1,前往摆放,IndoorScene,19001,10012,10013,20015,-1,-1,-1,-1
14,14,-1,-1,-1,前往摆放,IndoorScene,20001,10012,10013,20015,-1,-1,-1,-1
15,15,-1,-1,-1,前往摆放,IndoorScene,21001,10012,10013,20015,-1,-1,-1,-1
16,16,-1,-1,-1,前往摆放,IndoorScene,22001,10012,10013,20015,-1,-1,-1,-1
17,17,-1,-1,-1,前往摆放,IndoorScene,23001,10012,10013,20015,-1,-1,-1,-1
18,18,-1,-1,-1,前往摆放,IndoorScene,24001,10012,10013,20015,-1,-1,-1,-1
19,19,-1,-1,-1,前往摆放,IndoorScene,25001,10012,10013,20015,-1,-1,-1,-1
20,20,-1,-1,-1,前往摆放,IndoorScene,26001,10012,10013,20015,-1,-1,-1,-1
21,21,-1,-1,-1,前往摆放,IndoorScene,28001,10012,10013,20015,-1,-1,-1,-1
22,22,-1,-1,-1,前往摆放,IndoorScene,27001,10012,10013,20015,-1,-1,-1,-1
23,23,-1,-1,-1,前往摆放,IndoorScene,29001,10012,10013,20015,-1,-1,-1,-1
24,24,-1,-1,-1,前往摆放,IndoorScene,30001,10012,10013,20015,-1,-1,-1,-1
25,25,-1,-1,-1,前往扩建,IndoorScene,-1,10012,20044,-1,-1,-1,-1,-1
28,27,升级其它装备熟练度获得图纸碎片！,item_atlas,130400,制作装备,IndoorScene,-1,20002,-1,-1,-1,-1,{0}级解锁,1
29,27,前往【宝箱】获得图纸碎片！,main_atlas,zhuejiemian_baoxiang,前往宝箱,CityScene,-1,20049,-1,-1,-1,-1,{0}级解锁,2
30,27,前往【黑市商店】获得图纸碎片！,creatrole_atlas,icon1,前往黑市,IndoorScene,-1,51013,51015,-1,-1,-1,{0}级解锁,10
31,27,前往【幸运转盘】获得图纸碎片！,item_atlas,zhuejiemian_zhuanpan,前往转盘,IndoorScene,-1,51012,31001,-1,-1,-1,{0}级解锁,6
32,28,开启【英雄补给】获得转职材料！,mallItem_atlas,shangcheng_tehuiwz3,前往商店,IndoorScene,-1,51013,51014,-1,-1,-1,{0}级解锁,10
33,28,前往【黑市商店】获得转职材料！,creatrole_atlas,icon1,前往黑市,IndoorScene,-1,51013,51015,-1,-1,-1,-1,-1
34,28,满足每日【艾莉的收购】获得转职材料！,portrait_atlas,npc_nvyindaoyuan,,IndoorScene,-1,-1,-1,-1,-1,-1,-1,-1
35,29,获得更高资质的英雄提升战力！,globalBuff_atlas,buff_13,前往酒吧,CityScene,2000,28055,-1,-1,-1,-1,{0}级解锁,2
36,29,穿戴更好的装备提升战力！,StaticIcon,cangku_pinzhi5,替换装备,CityScene,-1,34001,-1,-1,-1,-1,{0}级解锁,2
37,29,转职英雄获得更高战力！,item_atlas,90002,转职英雄,CityScene,-1,34001,-1,-1,-1,-1,{0}级解锁,5
38,30,加入联盟一起投资吧！,main_atlas,tanxian_tubiaogonghui1,加入联盟,CityScene,-1,32001,-1,-1,-1,-1,-1,-1
39,31,前往【幸运转盘】获得战斗道具！,item_atlas,zhuejiemian_zhuanpan,前往转盘,IndoorScene,-1,51012,31001,-1,-1,-1,{0}级解锁,6
40,31,前往【宝箱】获得战斗道具！,main_atlas,zhuejiemian_baoxiang,前往宝箱,CityScene,-1,20049,-1,-1,-1,-1,{0}级解锁,2
41,31,前往【黑市商店】获得战斗道具！,creatrole_atlas,icon1,前往黑市,IndoorScene,-1,51013,51015,-1,-1,-1,{0}级解锁,10
