id,name,type,dec,hero_1,hero_2,hero_3
编号,等级,属性类型,说明,英雄1,英雄2,英雄3
10001,1,hp,血量,10,14,12
10002,2,hp,血量,20,18,24
10003,3,hp,血量,30,28,34
10004,4,hp,血量,40,38,44
10005,5,hp,血量,50,48,54
10006,6,hp,血量,60,58,64
10007,7,hp,血量,70,68,74
10008,8,hp,血量,80,78,84
10009,9,hp,血量,90,88,94
10010,10,hp,血量,100,98,104
10011,11,hp,血量,110,108,114
10012,12,hp,血量,120,118,124
10013,13,hp,血量,130,128,134
10014,14,hp,血量,140,138,144
10015,15,hp,血量,150,148,154
10016,16,hp,血量,160,158,164
10017,17,hp,血量,170,168,174
10018,18,hp,血量,180,178,184
10019,19,hp,血量,190,188,194
10020,20,hp,血量,200,198,204
10021,21,hp,血量,220,218,224
10022,22,hp,血量,231,229,235
10023,23,hp,血量,243,240,247
10024,24,hp,血量,255,252,259
10025,25,hp,血量,268,265,272
10026,26,hp,血量,281,278,286
10027,27,hp,血量,295,292,300
10028,28,hp,血量,310,307,315
10029,29,hp,血量,326,322,331
10030,30,hp,血量,342,338,348
10031,31,hp,血量,359,355,365
10032,32,hp,血量,377,373,383
10033,33,hp,血量,396,392,402
10034,34,hp,血量,416,412,422
10035,35,hp,血量,437,433,443
10036,36,hp,血量,459,455,465
10037,37,hp,血量,482,478,488
10038,38,hp,血量,506,502,512
10039,39,hp,血量,531,527,538
10040,40,hp,血量,558,553,565
10041,41,hp,血量,591,586,599
10042,42,hp,血量,626,621,635
10043,43,hp,血量,664,658,673
10044,44,hp,血量,704,697,713
10045,45,hp,血量,746,739,756
10046,46,hp,血量,791,783,801
10047,47,hp,血量,838,830,849
10048,48,hp,血量,888,880,900
10049,49,hp,血量,941,933,954
10050,50,hp,血量,997,989,1011
10051,51,hp,血量,1057,1048,1072
10052,52,hp,血量,1120,1111,1136
10053,53,hp,血量,1187,1178,1204
10054,54,hp,血量,1258,1249,1276
10055,55,hp,血量,1333,1324,1353
11001,1,atk,攻击力,3,4,7
11002,2,atk,攻击力,4,5,8
11003,3,atk,攻击力,5,6,9
11004,4,atk,攻击力,6,7,10
11005,5,atk,攻击力,7,8,15
11006,6,atk,攻击力,8,9,20
11007,7,atk,攻击力,9,10,25
11008,8,atk,攻击力,10,15,30
11009,9,atk,攻击力,15,20,35
11010,10,atk,攻击力,20,25,40
11011,11,atk,攻击力,25,30,45
11012,12,atk,攻击力,30,35,50
11013,13,atk,攻击力,35,40,55
11014,14,atk,攻击力,40,45,60
11015,15,atk,攻击力,45,50,65
11016,16,atk,攻击力,50,55,70
11017,17,atk,攻击力,55,60,75
11018,18,atk,攻击力,60,65,80
11019,19,atk,攻击力,65,70,85
11020,20,atk,攻击力,70,75,90
11021,21,atk,攻击力,91,98,117
11022,22,atk,攻击力,100,108,129
11023,23,atk,攻击力,110,119,142
11024,24,atk,攻击力,121,131,156
11025,25,atk,攻击力,133,144,172
11026,26,atk,攻击力,146,158,189
11027,27,atk,攻击力,161,174,208
11028,28,atk,攻击力,177,191,229
11029,29,atk,攻击力,195,210,252
11030,30,atk,攻击力,215,231,277
11031,31,atk,攻击力,237,254,305
11032,32,atk,攻击力,261,279,336
11033,33,atk,攻击力,287,307,370
11034,34,atk,攻击力,316,338,407
11035,35,atk,攻击力,348,372,448
11036,36,atk,攻击力,383,409,493
11037,37,atk,攻击力,421,450,542
11038,38,atk,攻击力,463,495,596
11039,39,atk,攻击力,509,545,656
11040,40,atk,攻击力,560,600,722
11041,41,atk,攻击力,633,678,816
11042,42,atk,攻击力,696,746,898
11043,43,atk,攻击力,766,821,988
11044,44,atk,攻击力,843,903,1087
11045,45,atk,攻击力,927,993,1196
11046,46,atk,攻击力,1020,1092,1316
11047,47,atk,攻击力,1122,1201,1448
11048,48,atk,攻击力,1234,1321,1593
