id,hero_1_need_id,hero_1_need_num,hero_2_need_id,hero_2_need_num,hero_3_need_id,hero_3_need_num,hero_3_need_id,hero_4_need_num,hero_5_need_id,hero_5_need_num,hero_6_need_id,hero_6_need_num,hero_7_need_id,hero_7_need_num,hero_8_need_id,hero_8_need_num,hero_9_need_id,hero_9_need_num,hero_10_need_id,hero_10_need_num,hero_11_need_id,hero_11_need_num,hero_12_need_id,hero_12_need_num,hero_13_need_id,hero_13_need_num,hero_14_need_id,hero_14_need_num
等级,英雄1升级所需道具ID,英雄1升级所需数量,英雄2升级所需道具ID,英雄2升级所需数量,英雄3升级所需道具ID,英雄3升级所需数量,英雄4升级所需道具ID,英雄4升级所需数量,英雄5升级所需道具ID,英雄5升级所需数量,英雄6升级所需道具ID,英雄6升级所需数量,英雄7升级所需道具ID,英雄7升级所需数量,英雄8升级所需道具ID,英雄8升级所需数量,英雄9升级所需道具ID,英雄9升级所需数量,英雄10升级所需道具ID,英雄10升级所需数量,英雄11升级所需道具ID,英雄11升级所需数量,英雄12升级所需道具ID,英雄12升级所需数量,英雄13升级所需道具ID,英雄13升级所需数量,英雄14升级所需道具ID,英雄14升级所需数量
1,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0
2,39,500,39,800,39,900,39,1000,39,1000,39,1000,39,1100,39,1200,39,1300,39,1300,39,1300,39,1500,39,1500,39,1500
3,39,550,39,888,39,999,39,1110,39,1110,39,1110,39,1232,39,1344,39,1456,39,1456,39,1456,39,1680,39,1680,39,1680
4,39,605,39,986,39,1109,39,1232,39,1232,39,1232,39,1380,39,1505,39,1631,39,1631,39,1631,39,1882,39,1882,39,1882
5,39,666,39,1094,39,1231,39,1368,39,1368,39,1368,39,1546,39,1686,39,1827,39,1827,39,1827,39,2108,39,2108,39,2108
6,39,733,39,1214,39,1366,39,1518,39,1518,39,1518,39,1732,39,1888,39,2046,39,2046,39,2046,39,2361,39,2361,39,2361
7,39,806,39,1348,39,1516,39,1685,39,1685,39,1685,39,1940,39,2115,39,2292,39,2292,39,2292,39,2644,39,2644,39,2644
8,39,887,39,1496,39,1683,39,1870,39,1870,39,1870,39,2173,39,2369,39,2567,39,2567,39,2567,39,2961,39,2961,39,2961
9,39,976,39,1661,39,1868,39,2076,39,2076,39,2076,39,2434,39,2653,39,2875,39,2875,39,2875,39,3316,39,3316,39,3316
10,39,1074,39,1844,39,2073,39,2304,39,2304,39,2304,39,2726,39,2971,39,3220,39,3220,39,3220,39,3714,39,3714,39,3714
11,39,1181,39,2047,39,2301,39,2557,39,2557,39,2557,39,3053,39,3328,39,3606,39,3606,39,3606,39,4160,39,4160,39,4160
12,39,1299,39,2272,39,2554,39,2838,39,2838,39,2838,39,3419,39,3727,39,4039,39,4039,39,4039,39,4659,39,4659,39,4659
13,39,1429,39,2522,39,2835,39,3150,39,3150,39,3150,39,3829,39,4174,39,4524,39,4524,39,4524,39,5218,39,5218,39,5218
14,39,1572,39,2799,39,3147,39,3497,39,3497,39,3497,39,4288,39,4675,39,5067,39,5067,39,5067,39,5844,39,5844,39,5844
