id,rarity,cumulative_times_min,cumulative_times_max,aptitude_num,probability,profession_id,profession_name,talent_group,cost_gold,cost_diamonds
v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number
抽取id,资质稀有度（1-普通奖励，2-优异，3-稀有，4-超稀有）,刷新次数档次-最小值（累计刷新次数少于X次，使用这个档位的权重区间，招募完稀有，重置累计次数）,刷新次数档次-最大值（累计刷新次数少于X次，使用这个档位的权重区间，招募完稀有，重置累计次数）,资质数值,获得权重,职业ID,职业名称,天赋库随机组ID,招募花费金币,招募花费钻石
1,1,0,12,14,2500,10001,战士,100,0,0
2,1,0,12,15,2400,10001,战士,100,0,0
3,1,0,12,16,2300,10001,战士,100,0,0
4,1,0,12,14,2200,10001,战士,100,0,0
5,1,0,12,15,2100,10001,战士,100,0,0
6,1,0,12,16,2000,10001,战士,100,0,0
7,1,0,12,17,1900,10001,战士,100,0,0
8,1,0,12,18,1800,10001,战士,100,0,0
9,1,0,12,19,1700,10001,战士,100,0,0
10,1,0,12,20,1600,10001,战士,100,0,0
11,2,0,12,24,1500,10001,战士,101,0,0
12,2,0,12,25,1450,10001,战士,101,0,0
13,2,0,12,26,1400,10001,战士,101,0,0
14,2,0,12,24,1350,10001,战士,101,0,0
15,2,0,12,25,1300,10001,战士,101,0,0
16,2,0,12,26,1250,10001,战士,101,0,0
17,2,0,12,27,1200,10001,战士,101,0,0
18,2,0,12,28,1150,10001,战士,101,0,0
19,2,0,12,29,1100,10001,战士,101,0,0
20,2,0,12,30,1050,10001,战士,101,0,0
21,3,0,12,34,10,10001,战士,102,0,0
22,3,0,12,35,10,10001,战士,102,0,0
23,3,0,12,36,5,10001,战士,102,0,0
24,3,0,12,34,0,10001,战士,102,0,0
25,3,0,12,35,0,10001,战士,102,0,0
26,3,0,12,36,0,10001,战士,102,0,0
27,3,0,12,37,0,10001,战士,102,0,0
28,3,0,12,38,0,10001,战士,102,0,0
29,3,0,12,39,0,10001,战士,102,0,0
30,4,0,12,42,0,10001,战士,103,0,0
31,4,0,12,43,0,10001,战士,103,0,0
32,4,0,12,44,0,10001,战士,103,0,0
33,4,0,12,43,0,10001,战士,103,0,0
34,4,0,12,44,0,10001,战士,103,0,0
35,4,0,12,45,0,10001,战士,103,0,0
36,4,0,12,46,0,10001,战士,103,0,0
37,4,0,12,47,0,10001,战士,103,0,0
38,4,0,12,48,0,10001,战士,103,0,0
39,4,0,12,49,0,10001,战士,103,0,0
40,4,0,12,50,0,10001,战士,103,0,0
41,1,0,12,14,2500,20001,猎人,200,0,0
42,1,0,12,15,2400,20001,猎人,200,0,0
43,1,0,12,16,2300,20001,猎人,200,0,0
44,1,0,12,14,2200,20001,猎人,200,0,0
45,1,0,12,15,2100,20001,猎人,200,0,0
46,1,0,12,16,2000,20001,猎人,200,0,0
47,1,0,12,17,1900,20001,猎人,200,0,0
48,1,0,12,18,1800,20001,猎人,200,0,0
49,1,0,12,19,1700,20001,猎人,200,0,0
50,1,0,12,20,1600,20001,猎人,200,0,0
51,2,0,12,24,1500,20001,猎人,201,0,0
52,2,0,12,25,1450,20001,猎人,201,0,0
53,2,0,12,26,1400,20001,猎人,201,0,0
54,2,0,12,24,1350,20001,猎人,201,0,0
55,2,0,12,25,1300,20001,猎人,201,0,0
56,2,0,12,26,1250,20001,猎人,201,0,0
57,2,0,12,27,1200,20001,猎人,201,0,0
58,2,0,12,28,1150,20001,猎人,201,0,0
59,2,0,12,29,1100,20001,猎人,201,0,0
60,2,0,12,30,1050,20001,猎人,201,0,0
61,3,0,12,34,10,20001,猎人,202,0,0
62,3,0,12,35,10,20001,猎人,202,0,0
63,3,0,12,36,5,20001,猎人,202,0,0
64,3,0,12,34,0,20001,猎人,202,0,0
65,3,0,12,35,0,20001,猎人,202,0,0
66,3,0,12,36,0,20001,猎人,202,0,0
67,3,0,12,37,0,20001,猎人,202,0,0
68,3,0,12,38,0,20001,猎人,202,0,0
69,3,0,12,39,0,20001,猎人,202,0,0
70,4,0,12,42,0,20001,猎人,203,0,0
71,4,0,12,43,0,20001,猎人,203,0,0
72,4,0,12,44,0,20001,猎人,203,0,0
73,4,0,12,43,0,20001,猎人,203,0,0
74,4,0,12,44,0,20001,猎人,203,0,0
75,4,0,12,45,0,20001,猎人,203,0,0
76,4,0,12,46,0,20001,猎人,203,0,0
77,4,0,12,47,0,20001,猎人,203,0,0
78,4,0,12,48,0,20001,猎人,203,0,0
79,4,0,12,49,0,20001,猎人,203,0,0
80,4,0,12,50,0,20001,猎人,203,0,0
81,1,0,12,14,2500,30001,学者,300,0,0
82,1,0,12,15,2400,30001,学者,300,0,0
83,1,0,12,16,2300,30001,学者,300,0,0
84,1,0,12,14,2200,30001,学者,300,0,0
85,1,0,12,15,2100,30001,学者,300,0,0
86,1,0,12,16,2000,30001,学者,300,0,0
87,1,0,12,17,1900,30001,学者,300,0,0
88,1,0,12,18,1800,30001,学者,300,0,0
89,1,0,12,19,1700,30001,学者,300,0,0
90,1,0,12,20,1600,30001,学者,300,0,0
91,2,0,12,24,1500,30001,学者,301,0,0
92,2,0,12,25,1450,30001,学者,301,0,0
93,2,0,12,26,1400,30001,学者,301,0,0
94,2,0,12,24,1350,30001,学者,301,0,0
95,2,0,12,25,1300,30001,学者,301,0,0
96,2,0,12,26,1250,30001,学者,301,0,0
97,2,0,12,27,1200,30001,学者,301,0,0
98,2,0,12,28,1150,30001,学者,301,0,0
99,2,0,12,29,1100,30001,学者,301,0,0
100,2,0,12,30,1050,30001,学者,301,0,0
101,3,0,12,34,10,30001,学者,302,0,0
102,3,0,12,35,10,30001,学者,302,0,0
103,3,0,12,36,5,30001,学者,302,0,0
104,3,0,12,34,0,30001,学者,302,0,0
105,3,0,12,35,0,30001,学者,302,0,0
106,3,0,12,36,0,30001,学者,302,0,0
107,3,0,12,37,0,30001,学者,302,0,0
108,3,0,12,38,0,30001,学者,302,0,0
109,3,0,12,39,0,30001,学者,302,0,0
110,4,0,12,42,0,30001,学者,303,0,0
111,4,0,12,43,0,30001,学者,303,0,0
112,4,0,12,44,0,30001,学者,303,0,0
113,4,0,12,43,0,30001,学者,303,0,0
114,4,0,12,44,0,30001,学者,303,0,0
115,4,0,12,45,0,30001,学者,303,0,0
116,4,0,12,46,0,30001,学者,303,0,0
117,4,0,12,47,0,30001,学者,303,0,0
118,4,0,12,48,0,30001,学者,303,0,0
119,4,0,12,49,0,30001,学者,303,0,0
120,4,0,12,50,0,30001,学者,303,0,0
121,1,13,49,14,2000,10001,战士,100,0,0
122,1,13,49,15,1900,10001,战士,100,0,0
123,1,13,49,16,1800,10001,战士,100,0,0
124,1,13,49,14,1700,10001,战士,100,0,0
125,1,13,49,15,1600,10001,战士,100,0,0
126,1,13,49,16,1500,10001,战士,100,0,0
127,1,13,49,17,1400,10001,战士,100,0,0
128,1,13,49,18,1300,10001,战士,100,0,0
129,1,13,49,19,1200,10001,战士,100,0,0
130,1,13,49,20,1100,10001,战士,100,0,0
131,2,13,49,24,1000,10001,战士,101,0,0
132,2,13,49,25,950,10001,战士,101,0,0
133,2,13,49,26,900,10001,战士,101,0,0
134,2,13,49,24,850,10001,战士,101,0,0
135,2,13,49,25,800,10001,战士,101,0,0
136,2,13,49,26,750,10001,战士,101,0,0
137,2,13,49,27,700,10001,战士,101,0,0
138,2,13,49,28,650,10001,战士,101,0,0
139,2,13,49,29,600,10001,战士,101,0,0
140,2,13,49,30,550,10001,战士,101,0,0
141,3,13,49,34,40,10001,战士,102,0,0
142,3,13,49,35,30,10001,战士,102,0,0
143,3,13,49,36,20,10001,战士,102,0,0
144,3,13,49,34,15,10001,战士,102,0,0
145,3,13,49,35,10,10001,战士,102,0,0
146,3,13,49,36,9,10001,战士,102,0,0
147,3,13,49,37,8,10001,战士,102,0,0
148,3,13,49,38,7,10001,战士,102,0,0
149,3,13,49,39,6,10001,战士,102,0,0
150,4,13,49,42,5,10001,战士,103,0,0
151,4,13,49,43,2,10001,战士,103,0,0
152,4,13,49,44,1,10001,战士,103,0,0
153,4,13,49,43,0,10001,战士,103,0,0
154,4,13,49,44,0,10001,战士,103,0,0
155,4,13,49,45,0,10001,战士,103,0,0
156,4,13,49,46,0,10001,战士,103,0,0
157,4,13,49,47,0,10001,战士,103,0,0
158,4,13,49,48,0,10001,战士,103,0,0
159,4,13,49,49,0,10001,战士,103,0,0
160,4,13,49,50,0,10001,战士,103,0,0
161,1,13,49,14,2000,20001,猎人,200,0,0
162,1,13,49,15,1900,20001,猎人,200,0,0
163,1,13,49,16,1800,20001,猎人,200,0,0
164,1,13,49,14,1700,20001,猎人,200,0,0
165,1,13,49,15,1600,20001,猎人,200,0,0
166,1,13,49,16,1500,20001,猎人,200,0,0
167,1,13,49,17,1400,20001,猎人,200,0,0
168,1,13,49,18,1300,20001,猎人,200,0,0
169,1,13,49,19,1200,20001,猎人,200,0,0
170,1,13,49,20,1100,20001,猎人,200,0,0
171,2,13,49,24,1000,20001,猎人,201,0,0
172,2,13,49,25,950,20001,猎人,201,0,0
173,2,13,49,26,900,20001,猎人,201,0,0
174,2,13,49,24,850,20001,猎人,201,0,0
175,2,13,49,25,800,20001,猎人,201,0,0
176,2,13,49,26,750,20001,猎人,201,0,0
177,2,13,49,27,700,20001,猎人,201,0,0
178,2,13,49,28,650,20001,猎人,201,0,0
179,2,13,49,29,600,20001,猎人,201,0,0
180,2,13,49,30,550,20001,猎人,201,0,0
181,3,13,49,34,40,20001,猎人,202,0,0
182,3,13,49,35,30,20001,猎人,202,0,0
183,3,13,49,36,20,20001,猎人,202,0,0
184,3,13,49,34,15,20001,猎人,202,0,0
185,3,13,49,35,10,20001,猎人,202,0,0
186,3,13,49,36,9,20001,猎人,202,0,0
187,3,13,49,37,8,20001,猎人,202,0,0
188,3,13,49,38,7,20001,猎人,202,0,0
189,3,13,49,39,6,20001,猎人,202,0,0
190,4,13,49,42,5,20001,猎人,203,0,0
191,4,13,49,43,2,20001,猎人,203,0,0
192,4,13,49,44,1,20001,猎人,203,0,0
193,4,13,49,43,0,20001,猎人,203,0,0
194,4,13,49,44,0,20001,猎人,203,0,0
195,4,13,49,45,0,20001,猎人,203,0,0
196,4,13,49,46,0,20001,猎人,203,0,0
197,4,13,49,47,0,20001,猎人,203,0,0
198,4,13,49,48,0,20001,猎人,203,0,0
199,4,13,49,49,0,20001,猎人,203,0,0
200,4,13,49,50,0,20001,猎人,203,0,0
201,1,13,49,14,2000,30001,学者,300,0,0
202,1,13,49,15,1900,30001,学者,300,0,0
203,1,13,49,16,1800,30001,学者,300,0,0
204,1,13,49,14,1700,30001,学者,300,0,0
205,1,13,49,15,1600,30001,学者,300,0,0
206,1,13,49,16,1500,30001,学者,300,0,0
207,1,13,49,17,1400,30001,学者,300,0,0
208,1,13,49,18,1300,30001,学者,300,0,0
209,1,13,49,19,1200,30001,学者,300,0,0
210,1,13,49,20,1100,30001,学者,300,0,0
211,2,13,49,24,1000,30001,学者,301,0,0
212,2,13,49,25,950,30001,学者,301,0,0
213,2,13,49,26,900,30001,学者,301,0,0
214,2,13,49,24,850,30001,学者,301,0,0
215,2,13,49,25,800,30001,学者,301,0,0
216,2,13,49,26,750,30001,学者,301,0,0
217,2,13,49,27,700,30001,学者,301,0,0
218,2,13,49,28,650,30001,学者,301,0,0
219,2,13,49,29,600,30001,学者,301,0,0
220,2,13,49,30,550,30001,学者,301,0,0
221,3,13,49,34,40,30001,学者,302,0,0
222,3,13,49,35,30,30001,学者,302,0,0
223,3,13,49,36,20,30001,学者,302,0,0
224,3,13,49,34,15,30001,学者,302,0,0
225,3,13,49,35,10,30001,学者,302,0,0
226,3,13,49,36,9,30001,学者,302,0,0
227,3,13,49,37,8,30001,学者,302,0,0
228,3,13,49,38,7,30001,学者,302,0,0
229,3,13,49,39,6,30001,学者,302,0,0
230,4,13,49,42,5,30001,学者,303,0,0
231,4,13,49,43,2,30001,学者,303,0,0
232,4,13,49,44,1,30001,学者,303,0,0
233,4,13,49,43,0,30001,学者,303,0,0
234,4,13,49,44,0,30001,学者,303,0,0
235,4,13,49,45,0,30001,学者,303,0,0
236,4,13,49,46,0,30001,学者,303,0,0
237,4,13,49,47,0,30001,学者,303,0,0
238,4,13,49,48,0,30001,学者,303,0,0
239,4,13,49,49,0,30001,学者,303,0,0
240,4,13,49,50,0,30001,学者,303,0,0
251,3,50,51,34,200,10001,战士,102,0,0
252,3,50,51,35,180,10001,战士,102,0,0
253,3,50,51,36,160,10001,战士,102,0,0
254,3,50,51,34,140,10001,战士,102,0,0
255,3,50,51,35,120,10001,战士,102,0,0
256,3,50,51,36,100,10001,战士,102,0,0
257,3,50,51,37,80,10001,战士,102,0,0
258,3,50,51,38,60,10001,战士,102,0,0
259,3,50,51,39,40,10001,战士,102,0,0
260,3,50,51,40,20,10001,战士,102,0,0
