index,id,equip_type,skill_atlas,skill_icon,skill_name,display_type,speed,speed_effect,shift_target,if_group,anger_skill_prepare_effect_id,anger_skill_prepare_audio_id,anger_skill_prepare_next_time,anger_skill_prepare_life_time,effect_trigger_time,skill_attack_effect_id,skill_attack_audio,skill_attack_bullet,skill_attack_bullet_if_through,skill_attack_bullet_next_time,skill_attack_trigger_effect_id,trajectory,skill_attack_trigger_audio,skill_attack_trigger_next_time,skill_attack_hit_effect_id,skill_attack_hit_audio
v:number,v:number,v:number,v:string,v:string,v:string,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
唯一索引,技能ID,装备类型：1-利刃，2-钝器，3-弓弩，4-轻型武器，5-步枪，6-重型武器，7-狙击枪，8-霰弹枪，9-boss怪，10-僵尸怪，11-空手攻击,技能图集,技能图标,技能名字,展示类型 0 近战（冲锋）  1远程（原地不动）,有数值则位移，无数值则不产生位移0：不移动，1普攻近战；2冲刺,冲刺的追尾流光特效id,位移目标目标 （1-自己，2-友方单目标，3-友方群体，4-敌方前排单目标，5-敌方后排单目标，6-敌方前排群体，7-敌方后排群体，8-敌方全体目标，9-敌方最虚弱的单体10-单体敌人目标，11-敌方后排单体目标，12 敌方血量最低的两人，13我方攻击力最高的两人，14 随机三名敌人，15血量最低的队友，16随机 1个以死亡的队友） ,是否是范围性技能0:单体，1：范围,怒气技能蓄力特效,怒气技能蓄力声效,怒气技能蓄力后触发下一特效时间,怒气技能蓄力特效生命周期,技能动作的特效音效时间,技能攻击动作特效,技能攻击动作音频,技能攻击飞行道具特效id,技能攻击飞行道具是否贯穿敌人0 否，不穿透；1 是，贯穿,技能飞行道具后触发下一个特效时间,飞行道具触发的定点特效id,飞行道具的弹道表现0：直线，1：抛物线,飞行道具触发的定点特效音频,技能飞行道具触发的定点特效后下一次特效时间,技能的受击特效id,技能的受击音效
100,10000,11,heroSkill_atlas,skill_10001,空手普通攻击,0,1,,10,0,,,,,,6001,201,,0,,,,,,6101,302
101,10000,1,heroSkill_atlas,skill_10001,利刃类普通攻击,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
102,10000,2,heroSkill_atlas,skill_10001,钝器类普通攻击,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
103,10000,3,heroSkill_atlas,skill_10001,弓弩类普通攻击,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
104,10000,4,heroSkill_atlas,skill_10001,手枪类类普通攻击,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
105,10000,5,heroSkill_atlas,skill_10001,步枪类普通攻击,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
106,10000,6,heroSkill_atlas,skill_10001,重武器类普通攻击,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
107,10000,7,heroSkill_atlas,skill_10001,狙击枪类普通攻击,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
108,10000,8,heroSkill_atlas,skill_10001,霰弹枪类普通攻击,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
109,10001,11,heroSkill_atlas,skill_10001,空手普通攻击,0,1,,10,0,,,,,,6001,201,,0,,,,,,6101,302
110,10001,1,heroSkill_atlas,skill_10001,利刃类普通攻击,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
111,10001,2,heroSkill_atlas,skill_10001,钝器类普通攻击,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
112,10001,3,heroSkill_atlas,skill_10001,弓弩类普通攻击,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
113,10001,4,heroSkill_atlas,skill_10001,手枪类类普通攻击,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
114,10001,5,heroSkill_atlas,skill_10001,步枪类普通攻击,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
115,10001,6,heroSkill_atlas,skill_10001,重武器类普通攻击,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
116,10001,7,heroSkill_atlas,skill_10001,狙击枪类普通攻击,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
117,10001,8,heroSkill_atlas,skill_10001,霰弹枪类普通攻击,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
118,10002,11,heroSkill_atlas,skill_10001,空手普通攻击,0,1,,10,0,,,,,,6001,201,,0,,,,,,6101,302
119,10002,1,heroSkill_atlas,skill_10001,利刃类普通攻击,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
120,10002,2,heroSkill_atlas,skill_10001,钝器类普通攻击,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
121,10002,3,heroSkill_atlas,skill_10001,弓弩类普通攻击,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
122,10002,4,heroSkill_atlas,skill_10001,手枪类类普通攻击,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
123,10002,5,heroSkill_atlas,skill_10001,步枪类普通攻击,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
124,10002,6,heroSkill_atlas,skill_10001,重武器类普通攻击,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
125,10002,7,heroSkill_atlas,skill_10001,狙击枪类普通攻击,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
126,10002,8,heroSkill_atlas,skill_10001,霰弹枪类普通攻击,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
127,10003,11,heroSkill_atlas,skill_10001,空手普通攻击,0,1,,10,0,,,,,,6001,201,,0,,,,,,6101,302
128,10003,1,heroSkill_atlas,skill_10001,利刃类普通攻击,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
129,10003,2,heroSkill_atlas,skill_10001,钝器类普通攻击,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
130,10003,3,heroSkill_atlas,skill_10001,弓弩类普通攻击,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
131,10003,4,heroSkill_atlas,skill_10001,手枪类类普通攻击,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
132,10003,5,heroSkill_atlas,skill_10001,步枪类普通攻击,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
133,10003,6,heroSkill_atlas,skill_10001,重武器类普通攻击,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
134,10003,7,heroSkill_atlas,skill_10001,狙击枪类普通攻击,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
135,10003,8,heroSkill_atlas,skill_10001,霰弹枪类普通攻击,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
136,10004,11,heroSkill_atlas,skill_10001,空手普通攻击,0,1,,10,0,,,,,,6001,201,,0,,,,,,6101,302
137,10004,1,heroSkill_atlas,skill_10001,利刃类普通攻击,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
138,10004,2,heroSkill_atlas,skill_10001,钝器类普通攻击,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
139,10004,3,heroSkill_atlas,skill_10001,弓弩类普通攻击,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
140,10004,4,heroSkill_atlas,skill_10001,手枪类类普通攻击,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
141,10004,5,heroSkill_atlas,skill_10001,步枪类普通攻击,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
142,10004,6,heroSkill_atlas,skill_10001,重武器类普通攻击,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
143,10004,7,heroSkill_atlas,skill_10001,狙击枪类普通攻击,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
144,10004,8,heroSkill_atlas,skill_10001,霰弹枪类普通攻击,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
145,10005,11,heroSkill_atlas,skill_10001,空手普通攻击,0,1,,10,0,,,,,,6001,201,,0,,,,,,6101,302
146,10005,1,heroSkill_atlas,skill_10001,利刃类普通攻击,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
147,10005,2,heroSkill_atlas,skill_10001,钝器类普通攻击,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
148,10005,3,heroSkill_atlas,skill_10001,弓弩类普通攻击,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
149,10005,4,heroSkill_atlas,skill_10001,手枪类类普通攻击,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
150,10005,5,heroSkill_atlas,skill_10001,步枪类普通攻击,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
