id,name,order,ocp_style,ocp_story,atlas,ocp_icon,level_skill1,level_skill2,level_skill3,eqiup6_unlock,up_list,level_need,hp_basic,hp_grow,atk_basic,atk_grow,arm_basic,arm_grow,spd_basic,spd_grow,evd_basic,evd_grow,cri_basic,cri_grow,res_basic,res_gorw,cost_item1_id,cost_item1_num,cost_item2_id,cost_item2_num,equip1,equip2,equip3,equip4,equip5,equip6,id_skill1,id_skill2,id_skill3,dmg_punc,dmg_burn,dmg_ment,dmg_elec,dmg_radi,res_punc,res_burn,res_ment,res_elec,res_radi
v:number,v:string,v:number,v:number,v:string,v:string,v:string,v:number,v:number,v:number,v:number,list:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,list:number,list:number,list:number,list:number,list:number,list:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
职业ID,职业名称,职业等阶,职业定位,职业介绍,图集,图标,一技能等级,二技能等级,三技能等级,是否解锁第六个装备栏,可转职职业,转职等级需求,基础生命,生命成长,基础攻击,攻击成长,基础护甲,护甲成长,基础速度,速度成长,基础闪避,闪避成长,基础暴击,暴击成长,基础韧性,韧性成长,消耗凭证ID,消耗凭证数量,消耗证书ID,消耗证书数量,装备槽位1,装备槽位2,装备槽位3,装备槽位4,装备槽位5,装备槽位6,一技能ID,二技能ID,三技能ID,穿刺伤害,燃烧伤害,精神伤害,电击伤害,辐射伤害,穿刺抗性,燃烧抗性,精神抗性,电击抗性,辐射抗性
10001,战士,1,1,身强体壮的战士，是保护队伍的盾牌,,,1,0,0,0,10011:10021:10031,10,200,5,20,1,20,1,5,0,5,0.1,5,0.1,10,0.5,90005,10,90004,10,1:2,10,12,15,16,,10001,,,0,0,0,0,0,0,0,0,0,0
10011,护卫,2,1,比起一般的战士，更加擅长进行队伍保护,,,1,1,0,1,10012,20,200,5,20,1,20,2,5,0,5,0.1,5,0.1,10,0.5,90005,30,90004,10,1:2,10,12,15,16,4:23,10001,10002,,0,0,0,0,0,0,0,0,0,0
10012,铁甲护卫,3,1,身着重甲的护卫，可以抵挡大量伤害,,,2,2,0,1,10013,30,200,5,20,1,20,3,5,0,5,0.1,5,0.1,10,0.5,90005,80,90004,10,1:2,10,12,15,16,4:23,10001,10002,,0,0,0,0,0,0,0,0,0,0
10013,金甲护卫,4,1,护卫中的精英，被人们视作保护神,,,3,3,0,1,10014,40,200,5,20,1,20,4,5,0,5,0.1,5,0.1,10,0.5,90005,150,90004,10,1:2,10,12,15,16,4:23,10001,10002,,0,0,0,0,0,0,0,0,0,0
10014,壁垒守护者,5,1,像堡垒一样沉稳，能够守护一方城市的存在,,,3,3,1,1,,50,200,5,20,1,20,5,5,0,5,0.1,5,0.1,10,0.5,,,,,1:2,10,12,15,16,4:23,10001,10002,10003,0,0,0,0,0,0,0,0,0,0
10021,突击手,2,1,能抗能打，队伍中坚,,,1,1,0,1,10022,20,200,5,20,2,20,1,5,0,5,0.1,5,0.1,10,0.5,90005,30,90004,10,1:2,10,12,15,16,6:8:21,10001,10004,,0,0,0,0,0,0,0,0,0,0
10022,突击手老兵,3,1,经验丰富的突击手，可以从容应对任务,,,2,2,0,1,10023,30,200,5,20,3,20,1,5,0,5,0.1,5,0.1,10,0.5,90005,80,90004,10,1:2,10,12,15,16,6:8:21,10001,10004,,0,0,0,0,0,0,0,0,0,0
10023,突击队长,4,1,老练的突击手，带领队伍完成任务,,,3,3,0,1,10024,40,200,5,20,4,20,1,5,0,5,0.1,5,0.1,10,0.5,90005,150,90004,10,1:2,10,12,15,16,6:8:21,10001,10004,,0,0,0,0,0,0,0,0,0,0
