id,content1,priority,if_miss,if_crit,classification,equip,quality,trigger_percent,skill_object,attack_percent,my_buff_id,my_buff_trigger_type,my_buff_target,my_buff_value_type,my_buff_value,my_buff_max,my_buff_times,enemy_buff_id,enemy_buff_trigger_type,enemy_buff_target,enemy_buff_value_type,enemy_buff_value,enemy_buff_times,enemy_buff_max,cd
v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,v:number
技能ID,辅助参数,数值越大，优先级越高普通技能（1），职业技能（2，3，4~9），天赋技能（10）,是否可以，闪避0:不能闪避，1可以闪避,是否可以触发暴击0:不能暴击，1可以触发暴击,技能分类（1:普通技能，2:天赋技能，3:职业技能）,0:auto/ 1-利刃，2-钝器，3-弓弩，4-轻型武器，5-步枪，6-重型武器，7-狙击枪，8-霰弹枪，9-boss怪，10-僵尸怪，11-空手攻击,品质,触发概率-万分比,目标 技能对象（技能对象（1-自己，2-友方单目标，3-友方群体，4-敌方前排单目标，5-敌方后排单目标，6-敌方前排群体，7-敌方后排群体，8-敌方全体目标，，9-敌方最虚弱的单体10-单体敌人目标，11-敌方后排单体目标，12 敌方血量最低的两人，13我方攻击力最高的两人，14 随机三名敌人，15血量最低的队友，16随机 1个以死亡的队友） ,伤害倍率（万分比-真实数据保存）,我方buffid,my_buff生效条件(0:造成伤害前，1:造成伤害后),目标 技能对象（技能对象（1-自己，2-友方单目标(最近)，3-友方群体，4-敌方前排单目标，5-敌方后排单目标，6-敌方前排群体，7-敌方后排群体，8-敌方全体目标，，9-敌方最虚弱的单体10-单体敌人目标（前方最近），11-敌方后排单体目标，12 敌方血量最低的两人，13我方攻击力最高的两人，14 随机三名敌人，15血量最低的队友，16随机 1个以死亡的队友，17自己和一名最近的友方） ,my_buff数值类型，0:百分比，1:数值,my_buff数值,数值上限（万分比）,生效回合数,施加给敌方的buffid,enemy_buff生效条件(0:造成伤害前，1:造成伤害后),目标 技能对象（技能对象（1-自己，2-友方单目标(最近)，3-友方群体，4-敌方前排单目标，5-敌方后排单目标，6-敌方前排群体，7-敌方后排群体，8-敌方全体目标，，9-敌方最虚弱的单体10-单体敌人目标（前方最近），11-敌方后排单体目标，12 敌方血量最低的两人，13我方攻击力最高的两人，14 随机三名敌人，15血量最低的队友，16随机 1个以死亡的队友） ,enemy_buff数值类型0:百分比1:数值,enemy_buff数值,生效回合数,数值上限,技能冷却（回合数）
10000,,1,1,1,1,11,0,10000,10,10000,,,,,,,,,,,,,,,1
10001,,1,1,1,1,1,0,10000,10,10000,,,,,,,,,,,,,,,1
10002,,1,1,1,1,2,0,10000,10,10000,,,,,,,,,,,,,,,1
10003,,1,1,1,1,3,0,10000,10,10000,,,,,,,,,,,,,,,1
10004,,1,1,1,1,4,0,10000,10,10000,,,,,,,,,,,,,,,1
10005,,1,1,1,1,5,0,10000,10,10000,,,,,,,,,,,,,,,1
10007,,1,1,1,1,7,0,10000,10,10000,,,,,,,,,,,,,,,1
10006,,1,1,1,1,8,0,10000,10,10000,,,,,,,,,,,,,,,1
10008,,1,1,1,1,0,0,10000,10,10000,,,,,,,,,,,,,,,1
10009,,1,1,1,1,0,0,10000,10,10000,,,,,,,,,,,,,,,1
10010,,1,1,1,1,0,0,10000,10,10000,,,,,,,,,,,,,,,1
10011,,1,1,1,1,0,0,10000,10,10000,,,,,,,,,,,,,,,1
10012,,1,1,1,1,0,0,10000,10,10000,,,,,,,,,,,,,,,1
10013,,2,1,1,3,0,0,10000,8,10000,,,,,,,,,,,,,,,2
10014,,2,1,1,3,0,0,10000,8,12000,,,,,,,,,,,,,,,2
10015,,2,1,1,3,0,0,10000,8,15000,,,,,,,,,,,,,,,3
10016,,2,1,1,3,0,0,10000,8,15000,,,,,,,,,,,,,,,2
10017,,2,1,1,3,0,0,10000,8,12000,,,,,,,,,,,,,,,3
10018,,2,1,1,3,0,0,10000,8,15000,,,,,,,,,,,,,,,2
10019,,2,1,1,3,0,0,10000,8,12000,,,,,,,,,,,,,,,2
10020,,2,1,1,3,0,0,10000,8,15000,,,,,,,,,,,,,,,3
10021,,1,1,1,1,6,0,10000,10,10000,,,,,,,,,,,,,,,1
11001,,1,1,1,1,1,0,10000,10,10000,,,,,,,,,,,,,,,1
11002,,1,1,1,1,2,0,10000,10,10000,,,,,,,,,,,,,,,1
11003,,1,1,1,1,3,0,10000,10,10000,,,,,,,,,,,,,,,1
11004,,1,1,1,1,4,0,10000,10,10000,,,,,,,,,,,,,,,1
11005,,1,1,1,1,5,0,10000,10,10000,,,,,,,,,,,,,,,1
11006,,1,1,1,1,6,0,10000,10,10000,,,,,,,,,,,,,,,1
11007,,1,1,1,1,7,0,10000,10,10000,,,,,,,,,,,,,,,1
11008,,1,1,1,1,8,0,10000,10,10000,,,,,,,,,,,,,,,1
210201,10201,10,1,1,2,0,2,10000,10,11000,0,0,0,0,0,,0,0,0,0,0,0,0,,3
210302,10302,10,1,1,2,0,2,10000,10,11500,0,0,0,0,0,,0,0,0,0,0,0,0,,3
210203,10203,10,1,1,2,0,2,10000,10,11000,10201,0,1,0,30,,2,0,0,0,0,0,0,,3
210104,10104,10,1,1,2,0,2,10000,10,11000,0,0,0,0,0,,0,10402,1,10,0,10,2,,3
210205,10205,10,1,1,2,0,2,10000,12,11000,0,0,0,0,0,,0,0,0,0,0,0,0,,3
210306,10306,10,1,1,2,0,3,10000,10,12000,10401,0,1,0,30,,2,0,0,0,0,0,0,,3
210107,10107,10,1,1,2,0,3,10000,10,12000,10801,0,1,0,30,,2,0,0,0,0,0,0,,3
210108,10108,10,1,1,2,0,3,10000,10,12000,10201,0,1,0,70,,2,0,0,0,0,0,0,,3
210209,10209,10,1,1,2,0,3,10000,10,12000,0,0,0,0,0,,0,10402,1,10,0,20,2,,3
210110,10110,10,1,1,2,0,3,10000,14,13000,0,0,0,0,0,,0,0,0,0,0,0,0,,3
210311,10311,10,1,1,2,0,4,10000,10,14000,11301,0,1,0,50,,1,0,0,0,0,0,0,,3
210112,10112,10,1,1,2,0,4,10000,6,14000,0,0,0,0,0,,0,10402,1,6,0,30,2,,3
210213,10213,10,1,1,2,0,4,10000,10,13000,10401,0,1,0,30,,2,10402,1,10,0,30,2,,3
210314,10314,10,1,1,2,0,4,10000,10,14000,11201,0,1,0,30,,2,0,0,0,0,0,0,,3
210115,10115,10,1,1,2,0,4,10000,6,13000,10002,1,1,0,10,,1,0,0,0,0,0,0,,3
210216,10216,10,1,1,2,0,4,10000,6,13000,10302,0,1,0,30,,2,0,0,0,0,0,0,,3
210317,10317,10,1,1,2,0,4,10000,12,15000,0,0,2,0,0,,2,10402,0,10,0,20,2,,3
