id,skill_atlas,skill_icon,skill_dec,skill_name
v:number,v:string,v:string,v:string,v:string
技能ID,技能图集,技能图标,技能介绍,技能名字
10000,heroSkill_atlas,skill_10001,,空手类普通攻击
10001,heroSkill_atlas,skill_10001,,利刃类普通攻击
10002,heroSkill_atlas,skill_10002,,钝器类普通攻击
10003,heroSkill_atlas,skill_10003,,弓箭类普通攻击
10004,heroSkill_atlas,skill_10004,,手枪类普通攻击
10005,heroSkill_atlas,skill_10005,,步枪类普通攻击
10006,heroSkill_atlas,skill_10006,,散弹枪类普通攻击
10007,heroSkill_atlas,skill_10007,,狙击类普通攻击
10008,heroSkill_atlas,skill_10008,,怪物近战普攻
10009,heroSkill_atlas,skill_10009,,怪物远程普攻
10010,heroSkill_atlas,skill_10009,,怪物远程普攻
10011,heroSkill_atlas,skill_10009,,女僵尸普攻
10012,heroSkill_atlas,skill_10009,,荆棘失控者booss普攻
10013,heroSkill_atlas,skill_10009,,怪物钝器远程全体攻击
10014,heroSkill_atlas,skill_10009,,怪物手枪远程全体攻击
10015,heroSkill_atlas,skill_10009,,boss钝器远程全体攻击
10016,heroSkill_atlas,skill_10009,,boss手枪远程全体攻击
10017,heroSkill_atlas,skill_10009,,丧尸怪近战全体攻击
10018,heroSkill_atlas,skill_10009,,僵尸BOSS怪远程群攻
10019,heroSkill_atlas,skill_10009,,怪物利刃远程全体攻击
10020,heroSkill_atlas,skill_10009,,boss钝器远程全体攻击
210201,heroSkill_atlas,skill_210201,坚强的战意给单个敌人造成110%的伤害,战意
210302,heroSkill_atlas,skill_210302,对单个敌人造成115%的伤害,成长
210203,heroSkill_atlas,skill_210203,对单个敌人造成110%的伤害，并获得自身攻击力30%的护甲提升，持续2回合,护甲专精
210104,heroSkill_atlas,skill_210104,对单个敌人造成110%的伤害，并降低目标10%的护甲，持续2回合,痛击
210205,heroSkill_atlas,skill_210205,快速发起攻击，随机对2位敌方造成110%的攻击力伤害,火力压制
210306,heroSkill_atlas,skill_210306,给单个敌人造成120%的伤害，并提升自身30%护甲，持续2个回合,血色装甲
210107,heroSkill_atlas,skill_210107,对单个敌人造成120%的伤害，提高自身30%命中，持续2回合,校准
210108,heroSkill_atlas,skill_210108,对单个敌人造成120%的伤害，并获得自身攻击力70%的护甲提升，持续2回合,护甲精通
210209,heroSkill_atlas,skill_210209,对单个敌人造成120%的伤害，并降低目标20%的护甲，持续2回合,践踏
210110,heroSkill_atlas,skill_210110,发起重重一击，随机对3位敌方造成130%的攻击力伤害,重击
210311,heroSkill_atlas,skill_210311,给单个敌人造成140%的伤害，并产生50%的吸血效果,嗜血猛击
210112,heroSkill_atlas,skill_210112,冲向前排敌人对其造成140%的伤害，并降低目标30%的护甲，持续2回合,威慑
210213,heroSkill_atlas,skill_210213,对单个敌人发出怒喊造成130%的伤害，并提升自身的30%护甲，同时降低敌人的30%的护甲强度，持续2回合,勇者咆哮
210314,heroSkill_atlas,skill_210314,对单个敌人造成140%的伤害，同时坚强的意志能减少30%自身收到的伤害，持续2回合,钢铁意志
210115,heroSkill_atlas,skill_210115,攻击前方整排的敌人，造成130%的伤害，并恢复自身10%血量,横扫战地
210216,heroSkill_atlas,skill_210216,攻击前方整排的敌人，造成130%的伤害，并根据自身损失生命获得其30%的攻击力增加，持续2回合,绝地反击
210317,heroSkill_atlas,skill_210317,对血量最少的2个敌人发起攻击，造成140%的伤害，并造成目标20%护甲削弱，持续2回合,致命打击
210118,heroSkill_atlas,skill_210118,对前方整排的敌人造成130%的伤害，同时能减少20%自身收到的伤害，持续2回合,坚韧体格
210219,heroSkill_atlas,skill_210219,对后方整排的敌人造成130%的伤害，同时能恢复自身10%的血量,顽强成长
210320,heroSkill_atlas,skill_210320,对全场所有敌人造成120%的伤害，并减少敌人的20%的攻击力，持续2回合,火力覆盖
210121,heroSkill_atlas,skill_210121,对单个敌人造成190%的伤害，并减少敌人的护甲35%，持续2回合,爆裂打击
210222,heroSkill_atlas,skill_210222,对后排敌人造成150%的伤害，同时恢复自身20%血量,肌肉活化
210323,heroSkill_atlas,skill_210323,对单个敌人造成160%的伤害，同时为自己添加能量罩，免疫所有伤害，持续2回合,能量护盾
210124,heroSkill_atlas,skill_210124,对前排敌人造成150%的伤害，同时坚强的意志能减少50%自身收到的伤害，持续2回合,战斗意志
210225,heroSkill_atlas,skill_210225,凶猛的打击单个敌人，造成200%攻击力的伤害，并降低目标40%的护甲，持续2回合,猛击
210326,heroSkill_atlas,skill_210326,对单个敌人造成160%的伤害，同时自己护甲提升40%，持续2回合,英勇铠甲
210127,heroSkill_atlas,skill_210127,对单个敌人造成190%的伤害，同时减少30%自身收到的伤害，持续2回合,皮肤钝化
210228,heroSkill_atlas,skill_210228,对单个敌人造成150%的伤害，同时根据队伍人数，每人为你增加15%的护甲，持续2回合,战术突击
210329,heroSkill_atlas,skill_210329,对单个敌人造成180%的伤害，根据当前损失血量增加其40%的护甲，持续2回合,求生意志
210130,heroSkill_atlas,skill_210130,对单个敌人造成160%的伤害，并减少敌人的护甲50%，持续2回合,仇恨凝视
210231,heroSkill_atlas,skill_210231,打击单个敌人造成200%的伤害,英勇打击
210332,heroSkill_atlas,skill_210332,冲进敌人之中，对所有敌人造成150%的伤害,决死冲锋
210133,heroSkill_atlas,skill_210133,攻击前方整排的敌人，造成150%的伤害，并根据自身损失生命获得其30%的护甲增加，持续2回合,绝地求生
210234,heroSkill_atlas,skill_210234,对所有敌人造成140%的伤害，并降低所有敌人30%护甲，持续2回合,震荡攻击
210335,heroSkill_atlas,skill_210335,打击单个敌人造成170%的伤害，同时减少40%自身收到的伤害，持续2回合,坚守壁垒
210136,heroSkill_atlas,skill_210136,打击单个敌人造成180%的伤害，同时保护血量最少的队友，使其收到伤害减少20%，持续2回合,生命链接
210237,heroSkill_atlas,skill_210237,打击单个敌人造成180%的伤害，同时提升自身攻击力20%，持续2回合,嗜血无情
210338,heroSkill_atlas,skill_210338,对单个敌人造成190%的伤害，同时恢复自身15%血量,狂野成长
210139,heroSkill_atlas,skill_210139,攻击所有的敌人，造成140%的伤害，并根据自身损失生命获得其30%的攻击增加，持续2回合,同归于尽
