type,name,desc
v:number,v:string,v:string
类型,名称,描述
1,攻击+{0}%,
2,护甲+{0}%,
3,生命+{0}%,
4,韧性+{0}%,
5,暴击+{0}%,
6,生命回复+{0}%,
7,暴击伤害+{0}%,
10,命中+{0}%,
12,闪避+{0}%,
19,队伍中3名战士护甲+{0}%(可叠加),
20,队伍中3名猎人闪避+{0}%(可叠加),
21,队伍中3名学者攻击+{0}%(可叠加),
26,利刃装备属性+{0}%,
27,钝器装备属性+{0}%,
28,弓弩装备属性+{0}%,
29,短枪装备属性+{0}%,
30,步枪装备属性+{0}%,
31,重武器装备属性+{0}%,
32,狙击枪装备属性+{0}%,
33,霰弹枪装备属性+{0}%,
34,轻甲装备属性+{0}%,
35,重甲装备属性+{0}%,
36,便衣装备属性+{0}%,
37,头盔装备属性+{0}%,
38,帽子装备属性+{0}%,
39,轻装裤装备属性+{0}%,
40,重装裤装备属性+{0}%,
41,鞋子装备属性+{0}%,
42,靴子装备属性+{0}%,
43,药品装备属性+{0}%,
44,工具装备属性+{0}%,
45,暗器装备属性+{0}%,
46,投掷装备属性+{0}%,
47,首饰装备属性+{0}%,
48,盾牌装备属性+{0}%,
51,所有武器属性+{0}%,
52,所有防具属性+{0}%,
53,所有武器属性+{0}%,
54,所有防具属性+{0}%,
55,所有武器属性+{0}%,
56,所有防具属性+{0}%,
57,探索速度+{0}%,
58,{0}的概率关卡装备掉落x2,
59,关卡材料获取+{0}%,
60,掉落钥匙即数量翻倍,
61,掉落宝箱即数量翻倍,
62,{0}的概率所有掉落翻倍,
63,副本经验提升+{0}%,
64,英雄休息速度+{0}%,
65,英雄获得的经验+{0}%,
66,装备损坏概率-{0}%,
